Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion
Aceite de maíz sabor manteca Mazola en aerosol120 g ,https://www.mercadolibre.com.ar/aceite-de-maiz-sabor-manteca-mazola-en-aerosol120-g/p/MLA16010033?pdp_filters=category:MLA114008#searchVariation=MLA16010033&position=2&search_layout=stack&type=product&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,3.199,DISTRIBUIDORAJOTABESA,Nuevo  |  +5 vendidos,(24 disponibles),Nuevo  |  +5 vendidos,No disponible,#1538637192,2024-01-25 12:14:41
Pack X 12 Unid Vinagre Manzana Pvc 1 Lt Marolio Vinagres,https://www.mercadolibre.com.ar/pack-x-12-unid-vinagre-manzana-pvc-1-lt-marolio-vinagres/p/MLA29347515?pdp_filters=category:MLA114008#searchVariation=MLA29347515&position=3&search_layout=stack&type=product&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,28.413,TIENDA_DINAMICA_FULL,Nuevo  |  1 vendido,(6 disponibles),Nuevo  |  1 vendido,No disponible,#1617148788,2024-01-25 12:14:41
Pack X 3 Unid Vinagre  Blanco Pvc 10 Lt Marolio Institucion,https://articulo.mercadolibre.com.ar/MLA-1149621415-pack-x-3-unid-vinagre-blanco-pvc-10-lt-marolio-institucion-_JM#position=4&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,16.877,TD101,Nuevo  |  1 vendido,(6 disponibles),Nuevo  |  1 vendido,No disponible,#1149621415,2024-01-25 12:14:41
Vinagrera  Manzana 500 Cc Marolio Vinagres,https://articulo.mercadolibre.com.ar/MLA-926689573-vinagrera-manzana-500-cc-marolio-vinagres-_JM#position=5&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,1.877,TIENDA_DINAMICA_FULL,Nuevo  |  +5 vendidos,(61 disponibles),Nuevo  |  +5 vendidos,No disponible,#926689573,2024-01-25 12:14:41
Pack X 18 Unid. Vinagrera  Manzana 500 Cc Marolio Vinagres,https://articulo.mercadolibre.com.ar/MLA-1181155981-pack-x-18-unid-vinagrera-manzana-500-cc-marolio-vinagres-_JM#position=6&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,22.274,TIENDA_DINAMICA_FULL,Nuevo  |  1 vendido,(3 disponibles),Nuevo  |  1 vendido,No disponible,#1181155981,2024-01-25 12:14:41
"Pack X 24 Unid. Amargo  Serrano 1,5 Lt Marolio Amargos",https://articulo.mercadolibre.com.ar/MLA-1217043490-pack-x-24-unid-amargo-serrano-15-lt-marolio-amargos-_JM#position=7&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,33.733,TD101,Nuevo  |  1 vendido,(5 disponibles),Nuevo  |  1 vendido,No disponible,#1217043490,2024-01-25 12:14:41
Pack X 12 Unid Vinagrera  Manzana 500 Cc Marolio Vinagres,https://articulo.mercadolibre.com.ar/MLA-932326574-pack-x-12-unid-vinagrera-manzana-500-cc-marolio-vinagres-_JM#position=8&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,15.075,TIENDA_DINAMICA_FULL,Nuevo  |  4 vendidos,(5 disponibles),Nuevo  |  4 vendidos,No disponible,#932326574,2024-01-25 12:14:41
"Pack X 36 Unid. Amargo  Limon 1,5 Lt Marolio Amargos",https://articulo.mercadolibre.com.ar/MLA-1379103649-pack-x-36-unid-amargo-limon-15-lt-marolio-amargos-_JM#position=9&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,48.131,TIENDA_DINAMICA_FULL,Nuevo,(2 disponibles),Nuevo,No disponible,#1379103649,2024-01-25 12:14:41
Pack X 12 Unid Vinagre  Manzana Pvc 1 Lt Marolio Vinagres,https://articulo.mercadolibre.com.ar/MLA-1281406115-pack-x-12-unid-vinagre-manzana-pvc-1-lt-marolio-vinagres-_JM#position=10&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,28.413,TD101,Nuevo  |  3 vendidos,(8 disponibles),Nuevo  |  3 vendidos,No disponible,#1281406115,2024-01-25 12:14:41
Pack X 6 Unid. Durazno  Mitad 820 Gr Marolio Frutas Envasad,https://articulo.mercadolibre.com.ar/MLA-1126525526-pack-x-6-unid-durazno-mitad-820-gr-marolio-frutas-envasad-_JM#position=11&search_layout=stack&type=item&tracking_id=69cc86da-2ed0-46f5-81bf-5ae75f2b8786,15.676,TIENDA_DINAMICA_FULL,Nuevo,(83 disponibles),Nuevo,No disponible,#1126525526,2024-01-25 12:14:41
