Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=2&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,3.117,ECOMODICO,Nuevo  |  +50mil vendidos,(655 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1114123456,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Girasol Natura - Botella - 900 mL,https://www.mercadolibre.com.ar/girasol-natura-botella-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=3&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,1.971,ECOMODICO,Nuevo  |  +10mil vendidos,(683 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1114093225,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=4&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,6.045,Ecomodico,Nuevo  |  +10mil vendidos,(8 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1131990047,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botellasin TACC 5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-5-l/p/MLA16010012?pdp_filters=category:MLA114008#searchVariation=MLA16010012&position=5&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,11.939,LENTEI,Nuevo  |  +10mil vendidos,(12 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1150555303,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Oliva Green Olive Sabor Extra Virgen Intenso X5lts,https://www.mercadolibre.com.ar/oliva-green-olive-sabor-extra-virgen-intenso-x5lts/p/MLA28836598?pdp_filters=category:MLA114008#searchVariation=MLA28836598&position=6&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,30.704,GREEN.OLIVE,Nuevo  |  +1000 vendidos,(1884 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398954615,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=7&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,3.047,ECOMODICO,Nuevo  |  +10mil vendidos,(521 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1155991556,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Bid. 5l,https://www.mercadolibre.com.ar/aceite-natura-girasol-bid-5l/p/MLA21393491?pdp_filters=category:MLA114008#searchVariation=MLA21393491&position=8&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,12.995,ROXYRO68,Nuevo  |  +1000 vendidos,(17 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1510666850,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://www.mercadolibre.com.ar/aceite-lira-oliva-y-girasol-15-lt/p/MLA23689710?pdp_filters=category:MLA114008#searchVariation=MLA23689710&position=11&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,6.950,Ecomodico,Nuevo  |  +1000 vendidos,(302 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372848003,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Orgánico - Campo Claro X 1000cc (pack X2),https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=aAjOLXTRBH6slhrc%2F%2FDpghysT1pfLprxhIocHpE63NrF%2Bnd84ApN077BF8I%2BET%2B8uHH2i5lSPkKIn8hpA3UJfZ0lvjRyyTHKuq7uk8EnOryoSVmD7KhcYnn%2BEumFDKbIKQ0vPcgvJrjRTzAVJDBlTOSJp86UqZwHQHCBmAVsSjfL8vqmRLRHYwXQyHAy30jR7zKgsAlXOab1HCFOgQTciKh6CFCeWk4YTIsw7XPpQaXVeJwyMKyr91njpcASI3%2FTu1AQYOahs6fN1p5VOyagBMZYBBlIs3Qf05DxYtB3uHt2SY7QuutMxXy1w3T3hCCv7Zr5qySLJnYrpyUHsBv%2FIMKc3KGN8QAxHkAAy0IEgXdGjG82Yy10KyZN9s0LgKXnVmf9W5oy9fPB5W0nq5gO6F0H1a7xwR2Q3%2BokgGITAnFMag3pGA%2FO%2BluLL%2Fjr0%2FYaZPwwXji1dftDCepdPSC2iKGQELh%2B3PVmJMdlPaG6IC2BLV4WwzutnOijp6YO7a1cJWzAzvrH9tFi%2BmYjaETMjm6AGxOk6swat1AbvQLTY3g4azTUp4jNorIwJ4mN%2FMr5Mc1GwlYAw76LAjzFcq2li%2B2X0RG5nMjK0PaXHiJrjEGN%2B3%2FIdNjL%2BNpdJKHFxhqLcU5RdxhOMGI7md8J55SveA%2BHXsnyO38Y9oBl8CHLe0qwWFhPFqWhnomuuCEoH796t2xTjpi3%2BtaeTte8PXshbXXQAg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,16.000,MULTIORGANICA,Nuevo  |  +5 vendidos,No disponible,Nuevo  |  +5 vendidos,No disponible,#1116788264,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Pack 6 Un. Aceite De Girasol Alto Oleico Granix X 750 Ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LtTFav1WlP5B8GgEwsgJKizsdKi4RfRy3tBFA4CD5jqJxRVIZPG%2ByLygPhCsPvNCzRYUf9K7Vy9FqpjLgYO1IF%2B6jNYEsso4YLUKN%2FP5jDkIF4lSwaIgy3ECWivRg7Oq3y2Dadv0W4ceqOG%2B1oso1oU0vYQZCfehLv%2FC4A6a4BT6lfVbXVVJ2rsmLG3fySzCFwXO3dkvIc7QNvASBJPCJLAgeGvlu3cu%2Fq49Wtg3UexjSAHEtBx3KAKMV51qoZANLL0M3RKrTCwSbV%2FfxPusdMnC7Vk6p7dB3ph%2FURR%2B%2BMReFOpK1Wfikn33d%2FjWHKRV7mGfmjWJnfvYBBsWuf1oHm6Rbm090l2yBmcJ0eCcLtGL2stG6IPzqWgDkCzxjirAjrEBcg9jDyg54sXlQRUHmTlnw3OvH%2BOdsj3PPbX%2BF1LcV6ZI6r82e%2BbbHTzPWao94qXvXBIoLgT%2BPYp57vZ36tlbRYB0M6F1S%2FomlsiR%2BdE0QTMyEtKjQnZUuyB%2BUzn5kdafpO%2FflMsFNUVXr%2BqD7TokkHhq0fAzjD2%2BavCkDrxo0A9C4XpqJZd3zUE6d5GTpdoK7iAG8Xj52rFaSm%2Bwvz%2F2Rlr45LWjHht9jofNgovNCaL07ZEJq1v5VxDG0BAdmq8Tbx3OcC86JWvHb22u4KRnQAjjuONI%2BUqEU0D5oeL13C8edJIq6HsYgb1hZmTcLKO5WdtquwFzP1PfpiSV%2FkMAVg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,32.080,LEONVEGANO,Nuevo  |  +50 vendidos,(14 disponibles),Nuevo  |  +50 vendidos,No disponible,#1101065749,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Caja Aceite Girasol Molinos Cañuelas Vitamina E Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1387125576-caja-aceite-girasol-molinos-canuelas-vitamina-e-mejor-precio-_JM#position=28&search_layout=stack&type=item&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,41.439,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(19 disponibles),Nuevo  |  +500 vendidos,No disponible,#1387125576,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Cañuelas Girasol Botellon 5 Litros,https://www.mercadolibre.com.ar/aceite-canuelas-girasol-botellon-5-litros/p/MLA19784591?pdp_filters=category:MLA114008#searchVariation=MLA19784591&position=12&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,11.537,MATIASHERNANL,Nuevo  |  +1000 vendidos,(627 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1272810353,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Green Olive - 8 Litros - 1 Unidad,https://www.mercadolibre.com.ar/aceite-de-girasol-green-olive-8-litros-1-unidad/p/MLA19931067?pdp_filters=category:MLA114008#searchVariation=MLA19931067&position=13&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,14.610,GO GREENMARKET,Nuevo  |  +500 vendidos,(10 disponibles),Nuevo  |  +500 vendidos,No disponible,#1268325678,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Cañuelas 1.5 Lt,https://articulo.mercadolibre.com.ar/MLA-1188201900-aceite-de-girasol-canuelas-15-lt-_JM#position=29&search_layout=stack&type=item&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,3.023,GRUPO ELNENE,Nuevo  |  +500 vendidos,(15 disponibles),Nuevo  |  +500 vendidos,No disponible,#1188201900,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol Pureza 900 Ml,https://www.mercadolibre.com.ar/aceite-girasol-pureza-900-ml/p/MLA19779092?pdp_filters=category:MLA114008#searchVariation=MLA19779092&position=14&search_layout=stack&type=product&tracking_id=460e3428-2477-4267-8753-ca25a3fc04fe,2.215,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(67 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1227954453,2024-02-28 11:00:06,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
