Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=2&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.779,Ecomodico,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1114123456,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botellasin TACC 900 ml ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=3&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,1.590,Ecomodico,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1114093225,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=8&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,5.700,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1131990047,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Plus Cocinero Omega 9 Vitamina E 900ml,https://www.mercadolibre.com.ar/aceite-de-girasol-plus-cocinero-omega-9-vitamina-e-900ml/p/MLA19567150?pdp_filters=category:MLA114008#searchVariation=MLA19567150&position=12&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,1.334,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1166887813,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Lira botella1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella15-l/p/MLA16010000?pdp_filters=category:MLA114008#searchVariation=MLA16010000&position=14&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.054,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1147095784,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botellasin TACC 5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-5-l/p/MLA16010012?pdp_filters=category:MLA114008#searchVariation=MLA16010012&position=16&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,9.990,Mayorista Masivos,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1283575073,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Oliva Green Olive Sabor Extra Virgen Intenso X5lts,https://www.mercadolibre.com.ar/oliva-green-olive-sabor-extra-virgen-intenso-x5lts/p/MLA28836598?pdp_filters=category:MLA114008#searchVariation=MLA28836598&position=18&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,15.875,GREEN.OLIVE,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398954615,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=21&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,2.151,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1155991556,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Orgánico - Campo Claro X 1000cc (pack X2),https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Bmz3laj4xki2yf74gi9PaFeULebDj16S0INZ2eENdA5%2Bdg%2BilQcV4L0YfjqM3YFpIOlm1tj55ggzl%2B4Yzdb2PfY7NdWLrfCEtmBK7duw0Uf87g5G4ZTVLTiWZrozPoMBAPW3M2fN5TM8syLAoBQeX6XByyCZregX14aUBM%2BdZdU4TcCSqj2u%2FZ6WUjNbD%2BDfdJYsQW19wYGwlonschgYKojgJvJlJYfzHZeHnUurDCfYuQZGuCR%2BFRKYEugwv5dOgJ%2BBjw%2FgtrkPu%2BJTQ3kLBlCAYw0svSlGs3KQEdya5H6tAdDVuYSzuGccT%2Fe8ymeiDrJzuyWklRzo18ks%2BkCwB0hdNLVeofYLNdglir1IJ7mSMmBiG7Q64DNvC1trSytABmBMldyOlC7o8OfGwxa5FCXalAg2cB0ptS684EQhkywmFbDkZe5VVDmbVObI9g5M3caUh3Ow5cXXn3vOAagi%2BeDc677YTPT%2FUAyg%2BCULctBg5GkK3cZ5IXcJfyTWFWX0kObK7zrQLa%2B0Ru8Yem3i02wv4bIhGEjeCx0G6u1VpU2bJSBolmcgu1fTJGdtYe67VcUlFCRmp4Xbe563jdxRy8dnnvved4Lxg8bmNStoXCTEodTI%2FWo78VqruLzfyh5K3v9SwKSVUaDVwhcSO9l4S5XTFaGozbwBSHz6%2B7ILfyPXVKDk%2FM3p%2FolWuONjAZAdHg6xY1Nelx1Yd8eIjGTgaV0RHw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,18.952,MULTIORGANICA,Nuevo  |  +25 vendidos,(5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1116788264,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Girasol 2 Und X 10lt - Ideal Restaurantes - Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Ld%2Bch9DgKM5wIXCgNT33PpgxtMdF3FiEDTz9Rgvh3%2BWhhzJDrNu7r72FYu%2F22bgIuBQCxWeMx4kU%2BwQWr4l06fD2eiqhAFq0DdLnDDXWB9CWpMuWjEYWbTcQQDRcXnXsmNWzRM6kvUdIUAp8R%2FaWC57E5NJxjCvw%2FiwgAD1kvTtK8OCvEucn5oRIMb843Mzqlf7xIOOYMaQAIuCxG2T6j%2BWKdP%2Fv%2Fj6oNWBa2cs7OHlwWYHgDGDuU0I%2FW7QPNj9uJqMkVUgkeePj8DOSGaNLsThDW1ysBuBK4ykGuq4yS2XaKzXZn5ch512zm8JeD8YxaQzIU1o9lqTp4ggB%2FGsEmAKwTUnOJHpL8gEDdNWq7BqFoBe0dqryTuy6vS%2BuDbSRgRY1XXAzAWbC4xoFz7lV7Y8noHwIR78hw4quYY%2FijHIds7fNfoO6%2BllN5CzOOx5qKtmqSE1Il5UqWU1kkOVSvR75PwGRMD6FcJRax6dn1yMs0eXGOo2qfaaDkU852XNkZxfzmYkjsRGS8i0Nqp0xwco1bkWkzuBK4XZj49ftG7eCAgsSqFME5XBpU4rqXI%2FEKhaGR3U3ObB5YISagONtvu2FSRKt2IHBmtwHYTTaI%2F8Ot%2BDDAkb2O0H0qYjkeX3zT69XU26kbg412UZ7pdt5HEPGhCUOZJF5CC4JZzkRNbC4LvA8wND7PfrW2z9dHrgkVyi2LPDrbTkIhKofTNVY%2BYKM&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,47.075,IMPORTADORANACCATO,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1364664311,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Lira botella 900 ml,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella-900-ml/p/MLA16010038?pdp_filters=category:MLA114008#searchVariation=MLA16010038&position=22&search_layout=stack&type=product&tracking_id=d9818ec8-3a81-4754-a7fd-2855126713f9,1.667,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1130294110,2024-05-20 17:25:45,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
