Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=2&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,2.963,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1109481795,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=3&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,6.707,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1109475707,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Natura botellasin TACC 900 ml ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=4&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,1.796,No disponible,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1114093225,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Oliva Green Olive Sabor Extra Virgen Intenso X5lts,https://www.mercadolibre.com.ar/oliva-green-olive-sabor-extra-virgen-intenso-x5lts/p/MLA28836598?pdp_filters=category:MLA114008#searchVariation=MLA28836598&position=5&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,14.300,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398954615,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite De Girasol Plus Cocinero Omega 9 Vitamina E 900ml,https://www.mercadolibre.com.ar/aceite-de-girasol-plus-cocinero-omega-9-vitamina-e-900ml/p/MLA19567150?pdp_filters=category:MLA114008#searchVariation=MLA19567150&position=6&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,2.065,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1168345328,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=7&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,3.244,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1155991556,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Lira botella 900 ml,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella-900-ml/p/MLA16010038?pdp_filters=category:MLA114008#searchVariation=MLA16010038&position=8&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,2.084,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1130294110,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Lira botella1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella15-l/p/MLA16010000?pdp_filters=category:MLA114008#searchVariation=MLA16010000&position=11&search_layout=stack&type=product&tracking_id=4a2ec970-4a90-411b-8d14-40efc9374ec4,3.380,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1146823145,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite 100%girasol Legitimo 5 Litros X 4 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=NpJmtoEC0S4%2FL5fuvlTNzYITXt4y6o0M3lv2XgVeSXjo7d5TkmQGp4MM4FQmB%2F0PxfBHu6BDxx37EGBDPrVmX0wnSGMmaQnvZHd%2FirAXELPqNWyrJvMzD0QWgJeWGrjxQIPCOF9tS84S%2Fg%2BTEeGT%2BMADAEsMzpQIuSfWcwcrtpH7tVdigQPQjRyaJugvWxI7HcqFyfvzhWvTarmOOGGHm%2BGXrXOGIlo1jRTgWnXNqWX%2BLE8cfsKGBY6YfYS%2FQIjTVCjbIeGhR26V9z7shWi1ovd70PeXbGgLmyypq9iDQgkJYP6ZXQ%2FJz3TTkDosKkIxpFVtYyAo5mT3z06C33wGyRbcW9XinC9V7tCQSH1F775%2B8XXhU9YH7ax%2BCOf59E2UKcRw9CQtRcoYPfj60qF%2BXyDvnfaAjs8zdCOap9tz%2FliXjAdxdo0DkolaZQMB0qZiflHysDwS8L7YJm3Z63Teu47PgVB0hROoBQ0m2woZTUl7C5wcKZHUG5MAtI97w1QJTf5H2kkRKXgLfu8dX0XPBp07JdcoH8zbYqNGoS8joETUoM8nRoNGIfLmVxBmTb1Iob91hl1ULYwJbNGAmJrbWgwv3pzRmRtnTShF6Ql1OyulaR6%2FG6oLmjuUM5UzI%2BcKEivONsrOP66Cq%2FdTqNPHepICgZEggy4iQXG4Mq1fsf2awhOoiy%2FD3IKPENyUXIfO%2Bk3gLuoaBWGIj21Z&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,53.906,No disponible,Nuevo  |  +5 vendidos,(4 disponibles),Nuevo  |  +5 vendidos,No disponible,#1598275308,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,Aceite de Girasol Legitimo 3 Litros
Aceite De Puro Girasol Alto Oleico Granix X 750 Ml X 6u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZIcL6fPHkQo%2BFW0Q3ONqTF2J7cd7zQOQIbdHVwCGKLDhT5lqt45WD9iSpNuzw86kEwQxaFaMhlLkQzE%2BSTy930hv3BXJH8MxHn%2FG%2FYiwJDbLOqVCXxyj8Pz%2BcYereYef4BR8o4x0qlnnqqYbBBXn%2BTZFk2J93Dsbv0PraOZTZe13zZsHJcqniizSt8p%2B79F374ixVhO%2F1o2vwJzLY8u9PKGGrkp92P%2Bv6euiJ8EYa207vnCfsEvcnfC9VgOVTzanD8K34sRdacuu8KBUy34INXawwwWoEvD39aBXnpnd6RYblLxpRCAc6OJwxfHmVHLjhF2gquEhNAIacndLyg08lwoi4eqlXgQosj8nrPdFiZWuQ1g2rha06fbQ5roloWCu9TzaXcMRx%2BE4wrd%2FArtl%2BcP7K0QKyEZoIyWrzM2scWVXPT269T6n%2Fc8ydku6Fn%2Fx%2BhmAMgBTSWZzvATYV6UdTZxi9OG9U6PaIxTzkqDBrXRjkuuSt%2FBk63WosMiBF4YNjTOydg%2BLUrO82mqYPAsVHko6TzF73IOB6EuMN%2BNBJpfC6wPmja6RKtQzVsH%2F%2F1FKL2q5ntrZqYmmL0VgHVJxz6LNzdv5YQ%2FH7nWoSBAbA6j5RkfHeYxG1QepZxfgD%2Bo5ICsiF9TDrjyexbokRXkZVPoWh%2BSqOUog889Q7WmFTNFvvJc3IvXGPvTDbWSqeqcswnYwvUL52XYuf2zal0hLi7SyrJtn&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,30.250,No disponible,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1169118237,2024-06-05 14:11:01,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
