Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=3&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,768,LYDAR SRL,Nuevo  |  +5mil vendidos,(64 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397586831,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=6&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,772,Mayorista Masivos,Nuevo  |  +5mil vendidos,(47 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1249318883,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sin Gas X 6 Unidades,https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-x-6-unidades/p/MLA27285711?pdp_filters=category:MLA413907#searchVariation=MLA27285711&position=13&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,6.099,TAP GROCERY,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1391775879,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villa Del Sur Pet Sin Gas 1,65 Litros",https://www.mercadolibre.com.ar/agua-villa-del-sur-pet-sin-gas-165-litros/p/MLA27285710?pdp_filters=category:MLA413907#searchVariation=MLA27285710&position=14&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,1.111,TAP GROCERY,Nuevo  |  +1000 vendidos,(168 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1528985190,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  con gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-con-gas-botella-500-ml/p/MLA16168870?pdp_filters=category:MLA413907#searchVariation=MLA16168870&position=8&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,432,LYDAR SRL,Nuevo  |  +500 vendidos,(255 disponibles),Nuevo  |  +500 vendidos,No disponible,#1475943476,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=12&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,671,LYDAR SRL,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#1476021722,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=17&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,549,LYDAR SRL,Nuevo  |  +100 vendidos,(67 disponibles),Nuevo  |  +100 vendidos,No disponible,#1595912612,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Natural Sierra De Los Padres Pack 6,5 Lt X 2 Un",https://www.mercadolibre.com.ar/agua-mineral-natural-sierra-de-los-padres-pack-65-lt-x-2-un/p/MLA19754709?pdp_filters=category:MLA413907#searchVariation=MLA19754709&position=11&search_layout=stack&type=product&tracking_id=436195e7-ab07-4d97-9f8c-e4b49f1238d2,2.866,QUIRINO BEBIDAS,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1319297366,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 48 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=h9Fvj%2FDpHkR1I1PizXtSqaxefP00o23mpWm5JnRy%2FbGLIWPT4OKQuMgcdILklLjv8WFA7ltH3Y4sVOjeJdB664LsVBC1h87%2Fm9PnLcT9%2FBBGga8g8K%2FhJYaX1UsS2We9qWwFEnz3hGowdGnnvb%2FP4EaAWpkCNWXVC1crQO5UsJUmR4LT8LRLLrDu%2Fy403cs3YcJRKbqSGpKzRoCq2VFA%2Bcz%2F9T0ZM5vGFMJnh1Z%2FnZ%2FqE7VjCP%2BLdxIvnsgKlwfazNsTs4a0tf2%2BW%2BBUsCTSTc%2B96Hw2kCvSStVrY0uDyy%2BPC%2BUXvoehHCQ47sJ1jvya0Z%2FaJzZtFMQM7R7QCGb79DWhwg9X0eD3BjCG2mQadkDVbvc8veQagnOPsbJUlKimB%2BE3Mo9fYszrF%2BRwOckiHhN%2B4a9eQitxFeKCTdbg11W9Jj8etjOt77WY781hKCu5wPIP5AsyT9Qtz46Z2jvP9HhvxalGRsA6MzRQXKfgfV3nKyN3vhiNcowEWKGrxH1hahTAxafLP6nyA35mOICmLnRIIYt4Ps7M9bkkm4LhH11DkEyCNIaEfQ0bYjPszs%2BuMA%2F0M2bX%2FrGe0%2BpVpjWuelxYP0KbGa2%2FiREory0aOdKqTYAd6TQ7OD3Ky7z1oiAy1wiUkaFGzUcSHDCPnjI9JL7vthXmyCO2yKaJYLZQgp8GpO%2FMXWCsIsKdQYn1Wwweb%2FcnuYD1p4YP9NzsORhg0aHpmBE%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,34.633,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(54 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372314629,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 36 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QKYgKhSMn7Ckqs3W3xPQbw1m%2BgYm%2B9%2FzzI6fn40NhQWt1BjxlqaFbzcexVLwoaPepFmVtnBe6ylXTGhBo4%2FADixEyGeyAO%2B3GHr0eifPYHob0QTx2x34jQADsfOD4u9rY7NmfXEPdxBVl3I%2FMqxXPTMAIFy0yNc65BwZSa2dHHAO8vKCD%2FRcWBgV8Xgm7jV9ExOVZ%2BDhBkbQQ47CpZ%2B5pB0THf5YWbMqDYV2m36g46SGh6fJBiusgEqY%2BvWvT0q4awq6zzUYquK2OFfIr2hKuhI1u%2BIInGTySRCb4jqLfyEUiBCHh3ZOb1Z2%2BpHmolSRq%2Butj4or3dBFRVKNsNO0qhNEsTOU0proRdtqXsLnJ%2BXO9MzbYz%2BCLUk1%2B%2FpCLXFElncDR0%2FWOCSnJC6NNuHiw%2FvaBelA17Gq1XsEGwc086%2Fm1nZCuXpVxgkJ5ty2A8IwutroNQcZDboehM%2FRpJ05Iz89%2FD4WsC9kqf0ShIjakYBWiM7u%2F0u7NDlwpSFlck5IgmZfFQ4YIcXvceqgvG3mZjQnxlo8ZPS0aRv6bhHtfVaHIH20%2Fv5prHsMbuB0%2Brpem1aXvVlbNG8NZ7t8Nt%2BhuatR%2FIRQKKEj9MCecWJroFfXPM9t3J%2F89znqiU5i9tPnsIj%2F%2Bev6xX%2Fn4MXrBi8d1zH80lFZ1q%2B95a1Ei9u24f1ykA9%2FXuIcRGWRijpKeC5dKJbmSYQR8XS8jMxmGfkPyDFQJvNe&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,25.974,ZETTA BEBIDAS,Nuevo  |  +50 vendidos,(83 disponibles),Nuevo  |  +50 vendidos,No disponible,#1372262997,2024-01-26 12:33:06,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
