Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=4&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,820,Mayorista Masivos,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1249318883,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=5&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,2.125,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=2&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=3&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,5.157,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=6&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,2.131,Mayorista Masivos,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=11&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,2.799,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=1&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,4.427,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=14&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,1.229,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#927110757,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LaxYQLGQrVrqDDoqtuEDPuMrZWcx0gyiPkYZWg5k%2FG33rnFX%2BFz0ttlAJnOyNn6LZG0UbMTUS8SQwHc9K18PlaR3Uos%2BQrdxqvkDUx1LJvE9mPJjCBOEC4LYYSVSvo8W%2F25BcPV2MzjWfqKQriS2QUEoq8VkiUfBx2fMLMiaUH4OeOEl7J5F3Ss224CBlNtfLI7u14u0%2F17LybL8NsWIIXIaCjm5FASKxcQpwqvRgIDn624bujeaH695GTKzyYV4mxFi0mG7%2FnmUDT9tErSuOqtfwhcIUDfVWhfl%2Bwkpcg1wdtXtIX9e5hDsjq2WYrgVUgjaHzWD1uSIPTANN9EzPQcbGCZ4UZPuXLzI4FCq%2F56wQ4QZoHbYGEXo8xcfIMGzd%2F8aIdnnJDpWNpAaBVCjrkdKck6XOwQAGz693tqeKePZuhouVs%2FW9tk2sQN32vK4OYjiCFDXdV4p%2BnaeRgMY0irKPIdBIvecUUjcIryDuqg8tJeDdtwU1Mx4f87%2ByxdUmJlkaRqc2sUnPscl37qeJqGPsNUWKdISCzA9plCPDWOhdbHDByELTN7g3%2BNRwgt8G48AM6M6FKY7y81AuPGLD7%2F6b0ODtwm%2BqZV6epA2WHpqp98T6OkHveQbn1x7Pg%2BOagFLtqselsU145IpRFkqAPkgAbFRrLcORh7z1H0LuUPR37iG1feqMpPQhQEhTXpGNNhBbHc6tyKblfevQqWuvSx%2BQ06EwQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.124,LA BARRA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio Sport 750ml Sin Gas Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=m5Izsf3wKPBRiFHHGhhzYeiJh%2BUgNigRf0060hJrEmd4iq35pSwdtqp7K6tESwpWeXPGsxQP4bDJCT5to12J%2BwSU4Qxw1aZjPddHAEOKe3a0NwrNxh8DlNfGpjQ19G7M6Lzs2iykpJnMe%2B1f%2Be4Hd8cTVnz2rG%2BAWp%2B%2F5NNAnLnYTDrW5u5LL75RaZhiJd1Vm%2FfuVx7nkHxDDvGZOVRhtY5I0P70TrLHHwgtoL9GnIj%2FcMnydRAOWk2%2BJL13EXkwnB5K%2B9FuGQdCAoQi1RqzqvfCtVN5JxV6kPpgwBnhlpJGs7GkDJUaojFb2iGwwvUfpmxceoYprQ1X4p8yltCvplncFJ6mzk2YfC9Pk2T8236yU4ErMwXkdKTZDG%2F8pD12vsPwdJmO359NQryX3%2B9inQLFDsuUbZ5cGMdloxNb%2FAPNCo842Il0sigPYq31XvYp4wjMk8XGhbjohsNLXI5VivM4EHM9AK0MzW%2F4DQ49i8HeU2gDkflF6x8tUbrbdibr1lK0TCKQFoEhoNOU0kHlZ3g7%2F0x59OFjXCLPJi46bZDxJxHhdeSP4ORkfYtSxOobnuL3xPxe5cvo0kSYTOEsv0Z3s4v40rXf%2FrOj%2Bid0oWlQgrmYAL%2FzazP2XD29mRQhC%2ByIJioEp1MOVITRtYqv1aVEVNE13E8iMhoIpDfaKsquWhM5uBbeukO8kfCzehuIZd2Qko8yIbcAPRJ5K1xriQ2MADim&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,18.727,LA BARRA,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1494786272,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=16&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,6.548,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=7&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,962,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=12&search_layout=stack&type=product&tracking_id=8f27efac-1225-447a-889e-3530d73f21d2,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-30 19:30:02,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
