Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=2&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,2.844,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes sin gas botella 2 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-botella-2-l/p/MLA16168867?pdp_filters=category:MLA413907#searchVariation=MLA16168867&position=3&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.164,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420172655,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=4&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.837,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=31&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,11.832,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Saborizada Sierra de los Padres
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=5&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,1.034,No disponible,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1417949617,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-898613883-villavicencio-500ml-agua-sin-gas-pack-x-12-zetta-bebidas-_JM#position=32&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,7.087,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=6&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,2.490,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=7&search_layout=stack&type=product&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,20.868,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=HMTR2WX2NK7uVogadMl7bFwEq%2Ftv1EqSyEuzBZHvu1n3L%2BB1uQHPb8Lk0WPkrm1Wc3qL4JpW6P7FrxMfdx7UoGLaIKltZQ7H6CFfq06dlzngsi0e7Xob8c%2B1Lky9ePRt39m8e22sbAOrJavnHXJY4dsK3pgyTdt8elrp9y1igIF5G75yJcdz1pBqOE5woDJaFwX8XTm5lw6VcoqVrWfqizC7JwpkWDs6Ov3Er19WUOeIQBRgPylYQWOKnE3005xx9ofJeGjS6A8kk8svhr%2FAEVzXFg7DH9xEbdyAZoypQOhN9iAwdbQGmHHscTjm47dZW%2FPTe3hGgWPFA3yjFTaGFFZkaryuA3grztpKzBmqbOWYm2SQqqggV1KcdZPQl2cHPmWWNBhaOE%2FfEX6%2F86US2ne9H%2FkAPRCduiPTyZhY7Q0o2cnNzwAG5Q%2FQ3HI7qPHTnV9wEgzYs6nqTH0H33u7T4Wr%2BMwT3ksEEobCbgVo4MgiLlyUgN6IMNq8KcsaSrq6jFI3dqpzzRtJOPCjrVONRLfY79AfjnJ0LCWfbTn7sNK7plyL5xi%2BH2fmQQpN2THL3NaQFed1UkT%2BKw%2BCMdL0ur%2FeGiC6Qk7TCC5djbieTjWfXjzrlVQ%2FopH%2FvgcbapjCE2A75Kyn9rS%2F25xdcAMZCa%2BK%2BXbKopSC68xk0khyECa%2BTKcuANQYnh%2Fg16otFWKn9FDDyiIUEZa6U%2FwWnTO3Ueht&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.087,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Glaciar Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=PUmYs6aO%2F7PBEK4OvIel%2BFbfNhuRl5MkqfFYpYulG8bVPa%2B4d6IXjfmBBWdCsvmL%2FZHlN4eeXTvCMoCzI8Uujpa9FNaN9I0T1J5EtX2GHMmoc8LZSeNA02FcsZhl3ON32QOHvYCzvtI1OYi5TMejPk05X0%2FiMtiGbG9er%2BR54%2BJLpRBemyKoYsDijxLTwsndGo8QJkD%2F3wjCle7Utg9S5dTbIGRQIfE9xHaeHupL52G9MLOBX8q5vwYIc9YFxjLfIXfe0cs6vk%2Bc2LlLJrqA%2BTl63ztEbdwcCyk8Hf7B7wudVXUx6YK0iseZh7qrknwEpFzgSTLIJVOaUzWkRyoSktzYW84IvDwNhlezv9v0BBuETdQ18prvbU9F7eVeBhB5YFPTUZFg3wsnwV72TVvKpViR7DxkUp1IBJnmvnzoCYcLgV9QbV2wN4nBr6yAxhMFYjtkLPQMzUSMlIqc%2BCEFQMIs5v0jXjXIajAw927lf9LQ1NA18BW%2F%2BM%2Fl3PWQpAJzL42ilnA0Gx4zGRL5ZcPfmjaixGV2Fv3S7iyLnANCLxNkfPtMBdGTn6budzg2LSOeu38Gd69GOEp0vDW17pu5GF84JNaQsTZj%2FhdDXQub0a5NK%2Fv1l1Kwht1JIad%2BCA2NdFNKMcWcApC9tW16iytTgFbULHIEkRbdl9lzdqzy1wIlCsw5qY93BB8v2O6m1OX3HM7IMkY7FQp4&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.979,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1400284481,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=33&search_layout=stack&type=item&tracking_id=e5d75833-9a4b-4eb6-9b88-8f53e971d7f4,703,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-06-05 14:19:22,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Cellier
