Titulo,Enlace,Precios
"Gaseosa Coca-cola Sabor Original 2,25 Lt",https://articulo.mercadolibre.com.ar/MLA-1137422116-gaseosa-coca-cola-sabor-original-225-lt-_JM#position=12&search_layout=stack&type=item&tracking_id=0baff2ff-caaf-412d-a23a-092ba5b28e84,1.683
"Gaseosa Coca-cola Sabor Original 1,5 Lt",https://articulo.mercadolibre.com.ar/MLA-1144240255-gaseosa-coca-cola-sabor-original-15-lt-_JM#position=13&search_layout=stack&type=item&tracking_id=0baff2ff-caaf-412d-a23a-092ba5b28e84,2.007
"Gaseosa Coca-cola Sin Azúcares 2,25 Lt",https://articulo.mercadolibre.com.ar/MLA-1137450091-gaseosa-coca-cola-sin-azucares-225-lt-_JM#position=14&search_layout=stack&type=item&tracking_id=0baff2ff-caaf-412d-a23a-092ba5b28e84,1.807
"Gaseosa Coca Cola Sin Azucar 2,25 Lts Pack X8 Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5NkITFHmXZnNBtpqvl0oCEQNri3E2FiBXqEPHwHkEOm8IObC2%2F3FsVOus2ln3mgsfHEt4FMOJvSbdpqdlWR%2F4SM%2F3o2rYlE3uSPTd%2B4n7Rkoiej2m4pW9ErL5ozd99VHmi4CJoi4evXwRKuutdNR9Z6%2BFNhWyiZODgRbFFRhnhROe4qNuBiNibfOg8E8Efk8BvRdtkWWF33T9P4eA6cF40Z%2BFWQK1dVV8jUBk4OfUJ2JjQ0lXWLYLJuDT%2B%2BOB4u2gfcKXvxOMdC1tyuMF2fGSPhbf%2BSoQxxL2mLolKy5m6SelfOSbVcio%2BKIh7grvyqsTQvT0e4z1Y4tnzrYM8%2BOSoJTQHPs2rhQqdbwvkdRrhOdgYoxpTXuhYVPkPGfn3zvyP7cX30t0ZizFk1Cf3JEBlBl%2Bz%2FeN09kze3XHiLV7K96vg%2BAX9%2FhpNsmwuXPmCvp433h7YdpaqaPAzbiX%2BwGJCONyAWDwy1mXjXEjpf6AKPRtPMXh2kJG6hjcEcGxjdEMkjST%2B0%2F9CSovVOytSuqxeEij%2BWSqwU1YNEh7Z7QT7kizCbAg3eQQk0miYB%2FclIMuYHrrmXJP59PXLtKON5aF%2BFfRvIiPrOyCQsd2FK7mT1YiFERgE0ZrIxZFqYU9GgUEVycjF2N%2B61mxCNLQjJa9s3hXzqWePv13bsOodPPFva9d8wbdqCAB5CoAgtCDEFHjROY22y6iVtUKPngfB8%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.380
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts Pack X8 Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=zcUjzZnKp8NSYj4RR8RMgEl7gyHFXsriUmiRnkwEuEX%2FRtwsepQSbTZZXlfZZmT5p483fsYCnPXNWt5qrrIUz2iCb%2BT%2FaXQckoVdPzrulKwmcC5kadsb9t9jzdzuEJcNH8Ehk1wpdWoOcxTebRZeHe2iMOnLWtQilRDSJJP4LBZCY8irEzexsBZM2BZ3dwZSwNC5vQoki2uI4e3nKFXpm5mqcaX6Wz9cFsEfA7iL1gs%2FjigBlYtfsu1WhaH1QzZ%2FumjJZhpWFBP1m9GJOncPH%2BETGv2tdjqQbaiN0ovBsxbe2zSNf9lAvS2uOiTH9aXR0k%2F5IZPhio%2BAKt5NfsfEYG%2By3hOAwxfbim6lA0gn1f30%2BHAElGxDG31wkoRrB%2F1PxrQF17qqBPp1wv0cIejBTl8sH4u2nTF0a3pYalt8bDwUSjRBLZSFOUwthsWeDmQB45XCB%2BFI99oSFbgjnahpiwEmvE3z49am5yeVtzcx38PmJVqUwWyILX7ORm%2FRaF7MuzKmvm5oMBS48lQ27hDQNUDIW8Y%2BZIwRhz1X2Tlu%2BmqttHsIomqvUsta%2BdSb%2F2OLpQVfzxHyT0o%2F%2F7dZzs%2B%2BY04V%2FylHwF%2FfdQTzX8xnwVjauBFkVvbE3xcz3sR%2Fd4LP%2B7MJgbUirqpT3yzsfkW09XZUzg3BJ01uztTZyJFtwEX3s9rltApZ31REMJzYp2CbPVx9VmApTV5kclwE7xSxX5c9400%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.380
Gaseosa Coca-cola Sabor Original 500 Ml,https://www.mercadolibre.com.ar/gaseosa-coca-cola-sabor-original-500-ml/p/MLA21614194?pdp_filters=category:MLA178700#searchVariation=MLA21614194&position=2&search_layout=stack&type=product&tracking_id=0baff2ff-caaf-412d-a23a-092ba5b28e84,880
"Coca Cola Botella 2,25l Original Pack X8 Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-905340768-coca-cola-botella-225l-original-pack-x8-zetta-bebidas-_JM#position=15&search_layout=stack&type=item&tracking_id=0baff2ff-caaf-412d-a23a-092ba5b28e84,13.568
Coca Cola 2.25ml Gaseosa Original Menos Azúcares Pack X8,https://articulo.mercadolibre.com.ar/MLA-904840533-coca-cola-225ml-gaseosa-original-menos-azucares-pack-x8-_JM#position=16&search_layout=stack&type=item&tracking_id=0baff2ff-caaf-412d-a23a-092ba5b28e84,16.380
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts X6 Botella Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=alsICcfLQr7v26fvEzeFegOhDtEaCxFgCVX8dX1bYItIOQxByFGakIEXIvro04tfjyPXl%2BGpx5OFuD%2BLXXK3Wemk8lgXsE40SLSZHzQjaqM8XKnvY%2BBth9%2B8SyJI8ATs%2B%2B7AaleKG5EptDxZVs7kZpBy3EjPxE7GuJfct339Cs4yLbKFo8lyfDIVAmf1IXrDWfLrVP8ArUdijOXyeGFRIIF3dhoU3CDVWXm0PHXAd5mTm2ln%2BBP9irDM%2BNn3A746kYpAmOldOici%2FT1X0KHPZhEm2Q0iKK8onvP0W2lXnIpyOyUaU%2BrgBdiqKXo8nxwGRDQzBVc4CFbcZYnTF7VkSw6P%2FUtzm1WOMgjMdbV2U%2FZOcDvsfFCwwgRBCJLkrSfKO%2BDtplb1ty2jdF7CCGzY3MeSVWzb3En7K7VI4eKYOxZN8VD8W%2FZGDwL%2FgXL%2FjQzeRHOflUescJoMhcbo4QpPGf4WW53JF%2F3UQVh1yP%2FwRrHlUfJsUw62KvcIqT2jkHqMMZ%2BKnvmH962gPYfmd6dKXZIw3gYiN5UmVGyTtGHM5dIWLpCbU0%2Fok5QM13BGaxDaDy4wGKKQVgivqbrrTobkPtAKEOWIJAOUC9ChOXOTg3rdNfAnD6ce%2FEfF3aoK6gl6v6%2FvKj3D%2BlR7ObkV2iMnV9bD6zFkzD0EWt45zjoD3LWauLzUJ5EokIFiU6gGghrBiaAGFEnCi5icRsfRyek3XTjqD50LKA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,13.800
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts Botella Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=VHRIVFmlpfGbbnfThybmdiQu8a45sgKAHrbvHGlVmgZpFyGZLO1jUu50vCcCSQuc9aCvKwVDMmh7x5UxMQF%2BLuhwJ%2FBipKAk7R87pwKgNf9oP%2BIjeh5dgCYLmwEC4pp5L4zRW3uRqadFnmT8fTeCFcDCSxAaa2%2BPXvJia4BAqIuk9LsTGguyDAaxCnH0t5ZDD4K%2Fh5Tqj%2B%2BgROdN4F9eGF2j75cCTiWxcwZzk%2BJyBofSLNu8iRK1a8WEQz671Kk54Otke9NHg%2BjWQmqs2e9Klo%2FOjZk9FnRhW%2Fxt4UZy%2F%2BYeWb%2FfcrTRocOyXMcUDhIaIKBeoIe8WXeBD9CbvWC8CJ1Ntshf%2BdQeiSLvjjlLZyDgkO7sAV%2FShEiUntu5Md%2BWJ7sxQ82qu6%2FeKRw2OwuTQch4dBgLoPq1HU5z2diCn08OF6bEwVYkRCz1AZ6tWfRDgbaEOWWvdQtZwaS%2B9wr%2FwYY1G8nLznyLAVcK1zOzpiVphx7X3x45rImL9SHA0zaGcAjGH4g7r3l%2Fx02oaQnWetZ%2FSD9SZwR4PD05h%2BDlKz9xsFzkDf4HKg1lch3J5dFDlbcXOEBAWWGwkdK3tl5mRg4WsEjMMlEi42PwgrQbpqD9DKUrhmqQYYEG3Szc%2FV4yMXBMxeWhwQed56sXnPug5LXHTfs8ARuupXLh9SjNR6Fqh5RpvOryX2ohLTCevg%2BvgZ%2FQuOAhUg%2FY0f9Nfl3577pdczA%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,2.800
