Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion
Turron Arcor 25 Gramos Caja De 50 Unidades,https://www.mercadolibre.com.ar/turron-arcor-25-gramos-caja-de-50-unidades/p/MLA20014204?pdp_filters=category:MLA194317#searchVariation=MLA20014204&position=7&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,8.500,OPEN25HS ML,Nuevo  |  +1000 vendidos,(489 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372011230,2024-01-25 12:08:01
Chocolate De Taza Familiar Aguila Grande,https://www.mercadolibre.com.ar/chocolate-de-taza-familiar-aguila-grande/p/MLA24345532?pdp_filters=category:MLA194317#searchVariation=MLA24345532&position=5&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,4.249,TAP GROCERY,Nuevo  |  +1000 vendidos,(28 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1451891708,2024-01-25 12:08:01
Bon o Bon chocolate caja de 30 unidades,https://www.mercadolibre.com.ar/bon-o-bon-chocolate-caja-de-30-unidades/p/MLA19992762?pdp_filters=category:MLA194317#searchVariation=MLA19992762&position=2&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,6.000,OPEN25HS ML,Nuevo  |  +10mil vendidos,(491 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1382702645,2024-01-25 12:08:01
Turrón Arcor Oblea Rellena De Pasta De Mani 2 Packs - 20 unidades,https://www.mercadolibre.com.ar/turron-arcor-oblea-rellena-de-pasta-de-mani-2-packs-20-unidades/p/MLA29354262?pdp_filters=category:MLA194317#searchVariation=MLA29354262&position=1&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,3.699,TAP GROCERY,Nuevo  |  +100 vendidos,(130 disponibles),Nuevo  |  +100 vendidos,No disponible,#1614631416,2024-01-25 12:08:01
Gomitas Mogul Rollo Frutas 35 Gr Caja X 12 Unidades,https://www.mercadolibre.com.ar/gomitas-mogul-rollo-frutas-35-gr-caja-x-12-unidades/p/MLA20719183?pdp_filters=category:MLA194317#searchVariation=MLA20719183&position=3&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,3.580,TAP GROCERY,Nuevo  |  +10mil vendidos,(91 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286251173,2024-01-25 12:08:01
Chocolate Cofler Block x 1 kilo. BLOCKAZO,https://www.mercadolibre.com.ar/chocolate-cofler-block-x-1-kilo-blockazo/p/MLA23126006?pdp_filters=category:MLA194317#searchVariation=MLA23126006&position=4&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,16.059,SOBRE-RUEDAS-JUGUETES,Nuevo  |  +10mil vendidos,(37 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1369930417,2024-01-25 12:08:01
Chicle Topline Seven Xplosive Mint X 16 Unidades,https://www.mercadolibre.com.ar/chicle-topline-seven-xplosive-mint-x-16-unidades/p/MLA21252651?pdp_filters=category:MLA194317#searchVariation=MLA21252651&position=13&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,8.400,OPEN25HS ML,Nuevo  |  +1000 vendidos,(49 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1370053837,2024-01-25 12:08:01
Bon O Bon Blanco Arcor  Caja 30 Un,https://www.mercadolibre.com.ar/bon-o-bon-blanco-arcor-caja-30-un/p/MLA20723238?pdp_filters=category:MLA194317#searchVariation=MLA20723238&position=6&search_layout=stack&type=product&tracking_id=2463b7c4-220c-4a5a-926f-c4c2ffad87f6,4.900,OPEN25HS ML,Nuevo  |  +1000 vendidos,(143 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1385249459,2024-01-25 12:08:01
Chocolate Taza Tableteado S/a Aguila 9985 Caja X 5 Kg ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=PpHX1wlMrYsIzQuC3zBbynz8v%2BUiPayqn8EQtoZFdOf1L18jwe873fqCnATVjEfCZQvJUb5qFDEwiXxcPx3jeRN0r%2BRY4lprvcgoeiJ0vQZrZ0qfcfE3xccb%2FZIO8lRXEzllHHSmLca7LgYUyiEKvqwYd0R8mbe%2BgWzs%2FS4sC9jxcTCQ8d%2F6JMW18XcUiJUHNR3qStN6Fp0%2BO7M323HnaQaqJrdtRWyJUKE8pdfE65bODiPsW2bvWD9KLEoeTwTxh4gvilD0Ew%2Bc2UK3MkI4suQ%2BqSIr41dDBAbDUoCjKvyCuS5TRESBCNtRn6Vm13hqltYropvCCAqpdpDXTD%2FWftosPdjHqDNQ%2BB4tShbwMgCCuz1R7qcQt1wCkR58L0Gu8nJQ4KbwXZLXTd%2BNb5QPujDCBQbt84JWWIuvbIrotCw3iAm5wvgBXY0HHz1ssRTMGBxIYIa%2FzKlL0B5SZUzih645w1Yd9xEIkGTvhiU%2BqZ8L3o9VkwLBnwEIf%2FK9Czutf3PoHKNNvCT698QtCO5%2B7EyBN8ntPJ%2BBnAOi1%2Bs9MUF2j4gBAMJdQNPpUO81XHpimyIwAN75T5zUb5szkTVmnKidPYOUFIPdb4IdLMa8D4adZojqyycQkgVehtBagHUJllyE0wRymerBAxwiPIiC7CrvEQNh20emhFnUJjJrtg%2Bt9vbNSxSAVST5lJz6u3ASbPRGTXgz4lNQMIGR1FVH&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,54.219,PAPUS SERGIO,Nuevo  |  +1000 vendidos,(270 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1101857716,2024-01-25 12:08:01
Bombones Surtidos Selección Arcor X 24 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BWSKoyhKfaHvKfDk5GbkvvGjuFstjn7WXO553I7EyQLHZ2DRtO5Oc4ibxGT9K3ofTh9azUUkdQsBul6CKVyXlqHBeoJJ138JfMGxCWM2yNP4OUTCnE0b1AbJtwXYgXi68L9tTlyapQbkFb%2F6S5nU3qu1zKaRMraKioV%2FrD5sMZ7cNwY99fu0UYG0pJAstUdo7Kx3mMDjjSX0zjw9leDFA%2BviT%2BOPhlNCmoe6B9Wb83lqJXo9NjlTHIpamyzd3KH8gX%2Bf5DxO9QoloV4mGmDJWH469SEsYzepKAcSdlt6tBxxK3m6AlDIdTfGHsPfU1wYUUASPKpkxEhzV%2Bm022T%2FGbLNBX6VFLlufeRfPq5BBWE8ldmGCC0lEgk5ip6bE9E9K%2F%2Bn4Xt2OEMPCWmBT7ClpAIBatVkAh350UbBKsp4Lf0I%2FMSzrPmFZmL5yGTTI6drryNlLfqFLr0gxtcRQ3m5R31gzAJG6AXDzYEegUYzXX1sxfpTJICxR69OqG%2B%2FsfOrfzxzkdNdE9bs%2FZ1VfAbm427aNd2F30CwgfS9HGeX4nXKtSLhH4kIdIWpPiOKL5y9x6r%2FtTF3E66O%2Faf27uqDXYfW7bJkl6yfQKKOJ%2BMqzuyH9Y7CH0loY7XL0LmXw0KtnCBsKOMBr94xpkF4xUD4haMn%2B95SDe%2Fm9Px%2Bu1E9Hhp%2Bcuju%2F3nmoqGrHv7txfs8WVmKGonn%2BsD1JA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,4.949,TAP GROCERY,Nuevo  |  +1000 vendidos,(109 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223908313,2024-01-25 12:08:01
