Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Arroz Parboil Dos Hermanos 1kg No Se Pega Libre de Gluten - Sin Tacc,https://www.mercadolibre.com.ar/arroz-parboil-dos-hermanos-1kg-no-se-pega-libre-de-gluten-sin-tacc/p/MLA19936763?pdp_filters=category:MLA1423#searchVariation=MLA19936763&position=2&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,2.999,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1411360722,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Basmati X 1 Kg.,https://www.mercadolibre.com.ar/arroz-basmati-x-1-kg/p/MLA21851144?pdp_filters=category:MLA1423#searchVariation=MLA21851144&position=3&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,13.056,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362427971,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
 Yin Yang arroz integral orgánico 500g,https://www.mercadolibre.com.ar/yin-yang-arroz-integral-organico-500g/p/MLA19943138?pdp_filters=category:MLA1423#searchVariation=MLA19943138&position=4&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,1.705,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288660597,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Dicomere harina de arroz sin tacc 1kg,https://www.mercadolibre.com.ar/dicomere-harina-de-arroz-sin-tacc-1kg/p/MLA20719722?pdp_filters=category:MLA1423#searchVariation=MLA20719722&position=5&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,2.923,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1302133241,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,Harina,nan,nan
Arroz Oro Parboil Gallo X1 Kg,https://www.mercadolibre.com.ar/arroz-oro-parboil-gallo-x1-kg/p/MLA20018406?pdp_filters=category:MLA1423#searchVariation=MLA20018406&position=6&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,3.593,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1283572282,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Dos Hermanos Largo Fino Paquete De 1 Kg,https://www.mercadolibre.com.ar/arroz-dos-hermanos-largo-fino-paquete-de-1-kg/p/MLA19957485?pdp_filters=category:MLA1423#searchVariation=MLA19957485&position=7&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,2.899,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1657851254,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Barra De Cereales Cereal Mix Yoghurt Y Frutilla X20 Unidades,https://www.mercadolibre.com.ar/barra-de-cereales-cereal-mix-yoghurt-y-frutilla-x20-unidades/p/MLA29546064?pdp_filters=category:MLA1423#searchVariation=MLA29546064&position=8&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,9.999,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1421304987,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Arroz Oro Parboil Gallo bolsa X 500gr,https://www.mercadolibre.com.ar/arroz-oro-parboil-gallo-bolsa-x-500gr/p/MLA19957490?pdp_filters=category:MLA1423#searchVariation=MLA19957490&position=47&search_layout=stack&type=product&tracking_id=8251fd50-0d67-4c30-82db-56ed2212143c,2.171,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1543916066,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Basmati Ultimate 5 Kg Pakistan,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ryUoOOQQBvftOWDt8XGzBPVI7%2FoP4N67GPyRhJnXU0xEJGObvg3ycfaPI1%2FEkDxO6yEkYkWDQhx7dk8bIYYEGxC%2F4Du3CpACq8JaEc0C1tsGaTEnVvlbRyq%2BvxdRz5S3LzHEQogLUAtSnJiaPmmnGEdPvprdjbUqaktNIVRmcyjosCkr03%2B%2BYb9BGhs4b%2Fio48%2FUhv%2FkfYLXpN2QGcEhudaCOlWDBlVrjEXozncUuoN8hiIdJgC60VtEMycxFhgkSw%2FYYZC3G6NtfQg8MhWY9mS5wCiNbMLXhedvuQ3duzHjyy4b4tp6QaTtqaSJUBu%2FCJwUs4O8twDF36TZbjB1vU%2BFWD82T9Xmoorf75mmY6jFU0OiFPSUK%2BPwaXtPWfsegzvF0zP4OiySuiFm1lQ9rluZebgG7%2BZncNXjNb2ZOdnnF7btQvslEzMe%2F9OqM%2Bx12W%2Beftt2MuRG4WqBCHCxRdx820prErrYCMx0oFe8%2BRVxocVonrBy3P4BvEOI4q9f5U31VJqZk9NrlEOUeGyc1V7uGeIU4i0qcfJUZQ4ypwkB2C6hpA3GEG73M3IaLSWVqPe%2FyRV4Z300vxdggGpmMlXyv8DINtzHIO3UfCWT%2FLp4U2PiCfnBxmZQcgcdw3hnG%2BaFtpsACoSe%2FjEwawLVLqFQ%2Bft4uKFqWdVpclkvN1N0ZwZTRMFgTiP1FlqPjSI%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,40.318,No disponible,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1711414518,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Jazmin Negro De Tailandia 5 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5N9PHaOIhvFnTDR1PdKszpPoFLwtaMKPz1oJW0VkCvORPMTF%2FALMJQSJXssYzMv%2F1HkytfMxpbZ69Uhrsup6RYJKF%2BGxF4m0Ine4G5%2FdMkt3IG37hvHegfpWS%2BNPUAlW8v7YpUOVQN23N0XPyuA5Q07vufiXqVFet8JHcuhuo0xkHTRRfc5WJ44WozQghGCQpquaH9dbN3nmAclmM2JhHvUMvh0oS9%2BS5eyr4O%2BEMdQUWLSWcP9nvx2IWIp5x7okcyYB9jsMu9TwyEErKJokAMjfZmzF%2FWqHmy7I7HCPAywq34FldFslfCNQc1hbCk7SmLBkA3zO9oyyhwk6EqbNq%2FI8i%2B%2Be8YDUgweKB6Fe9nrbxqYJhyp5F%2BWhOznzvBwssm2S0NB4cNG2hSlfmZPpIDKPrR1b6HnFIc5Q2QrqCKrPJpN2G6GkZPMAEHhJCtyNkh0z6gCNBoRT9EZsshe870K4UU2fwMXCz7FoS%2BOxbqot0C2suQLB6kVJ%2BSMxyTyiFoWocw3OucR5Vs2o9dnjGejyB01inXKLScKuUK2%2B5g%2BsGcr0Faf9U5%2FVwmn6HugvhDWgmrHqPJIRoLndFaLsDoUR4ImVTVz1Xq%2FCyrJ2onraLRozUOaIczbeu39pUkeprxB%2FBUf7K0dAqOKT2t1RauOPvnsVZO1FV9BuooDVLgxbpNfqdkaX9J99ec0S1fOB0A%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,45.450,No disponible,Nuevo  |  +50 vendidos,(3 disponibles),Nuevo  |  +50 vendidos,No disponible,#1147843635,2024-06-05 14:22:38,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
