Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia
Azúcar Ledesma Clásica 1kg,https://articulo.mercadolibre.com.ar/MLA-1317424046-azucar-ledesma-clasica-1kg-_JM#position=29&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,1.989,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(2308 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1317424046,2024-01-25 15:00:31,No disponible
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Pack 1 Caja,https://www.mercadolibre.com.ar/azucar-ledesma-seleccion-blanco-1000-sobres-5grs-pack-1-caja/p/MLA29666896?pdp_filters=category:MLA1423#searchVariation=MLA29666896&position=2&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,16.124,Mayorista Masivos,Nuevo  |  +1000 vendidos,(63 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1629372090,2024-01-25 15:00:31,No disponible
Azúcar Fugaz Tipo A 1kg,https://articulo.mercadolibre.com.ar/MLA-1373744849-azucar-fugaz-tipo-a-1kg-_JM#position=30&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,1.590,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(551 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1373744849,2024-01-25 15:00:31,No disponible
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA1423#searchVariation=MLA20721602&position=3&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,11.970,Cafe Martinez,Nuevo  |  +1000 vendidos,(282 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1308505910,2024-01-25 15:00:31,No disponible
Azúcar rubia Chango en sobres 100 unidades por 5g,https://www.mercadolibre.com.ar/azucar-rubia-chango-en-sobres-100-unidades-por-5g/p/MLA21888697?pdp_filters=category:MLA1423#searchVariation=MLA21888697&position=1&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,2.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480984926,2024-01-25 15:00:31,No disponible
Azucar Individual Chango De 1000 Sobres,https://www.mercadolibre.com.ar/azucar-individual-chango-de-1000-sobres/p/MLA21049595?pdp_filters=category:MLA1423#searchVariation=MLA21049595&position=13&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,15.190,POSTA LOCALES,Nuevo  |  +1000 vendidos,(7 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1306027200,2024-01-25 15:00:31,No disponible
Azúcar Blanca Común Tipo A La Muñeca Dulce - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1432303300-azucar-blanca-comun-tipo-a-la-muneca-dulce-mejor-precio-_JM#position=31&search_layout=stack&type=item&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,1.280,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(224 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1432303300,2024-01-25 15:00:31,No disponible
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA1423#searchVariation=MLA19979543&position=8&search_layout=stack&type=product&tracking_id=a523fb85-30b0-43fb-a667-7d50c97d2f3c,6.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(337 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-01-25 15:00:31,No disponible
- Azucar Impalpable Keuken  X 10kgr - Mataderos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bC4BGkBDTeW4GW%2FgwMDC%2BzmtUb61%2BWU5i%2Fo0kZRXWEJviAIGnYK%2B0tq%2BiFrCZO0yuQQ6vE1mlYK4JuEMeVDt8ssT8owtIVeNm6GwjTDOHqGRgOW37bs%2FQFK85n%2B6OpVsHAKnAoDuGEsztsYnrvNirlJ4iUYOkoYOatzurD0qetH6SzOgaQQLbz7uMsPNWIRIeFrg8CkgbR2gFcbIMboG1rW7aehNDO7XY0oIrYWpXATxdr2zBYpwEzq5QPQ2zec0p%2BUpL9u%2FbiaDUaKwng9yEdIPLBKNk%2BorPUgo389nI7As2MAElztsp%2FGgZNcUbzyZpSha6HdzgJ5pGE%2FpO2bK%2BYokNnyeJ%2B4RAtGgPgXeOyL0yD2ipKy%2FgB3ahjtqOT3IHOla7d2jo4kUQ6eiURWFwsila3KBlO4cRMMCibUtaaCF59dl9Kv2m3tv13cf6GDZ0QTLzZeMCsWj1tMHVRHWumyLCnxYpUqDw3K5THWKMg3t%2BfXBxtuLkH2APU1zUGwZ0iyfAEdpF00c7Y7bV%2BEOu5hC6eSnKBqgijB8RjDGEyjh4JJH1nwrZvCrtC%2FMOZQOTdd04aklguUQw7GzqffXk374DkyiijtOPIL1EJsc5X6eOla%2BeY%2BBxpWzdkrbUqcvV4SnLDiZkq7M4SisBG3wpOWglBZIf%2Bj2H%2FfaeJSYutwpNTMzXJkNiqT9xro4OF18rdEoLg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,19.995,ROXYRO68,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1102779270,2024-01-25 15:00:31,No disponible
Azúcar Mascabo Integral De Caña Balajú 3 X 500 Gr ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=hasxFzzSZhSKsCgbgrG0zaL80tWrmKnYFUG00dC9q87Vvh5idUwHbv60lpWqJTxhuQxKl7nkvy06JjQLUSK3vlGvOmVUYkrfBqODrEfgrgKgTen8aJGnMpnUl80ZxttnmuirTavtGqG37QrJVd9kQaPI37hiwlsjfVwd5hAOYyGD5UFogG86YXbpWdLdB3Yk264FmqzAF59%2BX5iuVKUCK8eqrJHtxOXX3jdlPKiGb3R3yS3kYXn0DnmjRL%2FEak2%2Fr5%2BYMa%2ByCAyo%2BcWHCAuy0cmJuBvvyk2GM%2B78LORWh%2F%2Bieg3qSBdWReAs77d9JNn9sZAou0GO2DRrekTGswXxuU5SMXkMjzE4Cp2JTAOet%2FuGqmUbLY2K3qPgJnWpJk6y1Qqh2LJtG1epZdkNHWrDOjUc%2B%2FeuDFqTFTNM0%2BidE64UjAyAjyFqiOTkaFy4Fw3Z6Twfo2brxeK%2BKvHozg0kKr4NHjXCuxUGLe717Tt8vOMv11rTH4jYXLQUWTMbVXGKKTxnaSBQKZpb%2BECYzLoCtesLQS6RYKPfBMIPQMBpET2U2vvUmBn2WWSwQ8TR7MVwquzvJmiAbWpSqD9pnOTAok1P%2FgTdZF79CLIgCHXlTXt2cRyz4F8c8aX79shGf69ClTZSHF2M%2B%2F0iEjlyzzHDiDvNMrMS2xQECPCCYfggaB8z1q3rcN6bxnwshFNLuub7xCEq2WT7pC7n3U4%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,6.825,SEMILLA VIVA,Nuevo  |  +25 vendidos,(18 disponibles),Nuevo  |  +25 vendidos,No disponible,#1173064353,2024-01-25 15:00:31,No disponible
