Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Azúcar Ledesma Rubia Mascabo Paquete 800 Grs,https://www.mercadolibre.com.ar/azucar-ledesma-rubia-mascabo-paquete-800-grs/p/MLA19936260?pdp_filters=category:MLA1423#searchVariation=MLA19936260&position=4&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,1.799,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1384625577,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Ledesma Clásica Paquete De 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-paquete-de-1-kilo/p/MLA19992609?pdp_filters=category:MLA1423#searchVariation=MLA19992609&position=12&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,1.799,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1495494430,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar De Caña Organica Ying Yang 1kg  Sin Tacc Vegano,https://www.mercadolibre.com.ar/azucar-de-cana-organica-ying-yang-1kg-sin-tacc-vegano/p/MLA20011156?pdp_filters=category:MLA1423#searchVariation=MLA20011156&position=22&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,4.017,No disponible,Nuevo  |  +5mil vendidos,(3 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288628150,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Pack 1 Caja,https://www.mercadolibre.com.ar/azucar-ledesma-seleccion-blanco-1000-sobres-5grs-pack-1-caja/p/MLA29666896?pdp_filters=category:MLA1423#searchVariation=MLA29666896&position=13&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,14.725,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1416380231,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Impalpable Talco 1 Kg,https://www.mercadolibre.com.ar/azucar-impalpable-talco-1-kg/p/MLA20723150?pdp_filters=category:MLA1423#searchVariation=MLA20723150&position=17&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,3.800,No disponible,Nuevo  |  +10mil vendidos,(5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1427262797,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA1423#searchVariation=MLA19979543&position=21&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,7.499,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azucar Blanca Chango en sobres x 100 unidades por 5g c/u - sin tacc,https://www.mercadolibre.com.ar/azucar-blanca-chango-en-sobres-x-100-unidades-por-5g-cu-sin-tacc/p/MLA21888697?pdp_filters=category:MLA1423#searchVariation=MLA21888697&position=1&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,4.499,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480984926,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA1423#searchVariation=MLA23792131&position=8&search_layout=stack&type=product&tracking_id=b558bdf2-6034-48b6-992b-4429d873f767,7.426,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Oferta! Azucar Blanca Tipo A Delicada 1kg Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=afrgTCpo7B%2BnOxQS7Dd1e1q3u4GtjbQfERnBzI0ZnLC1rqxNM6nmLGE4fb16SuecTCTHs43E6%2FA9K88l2WHglWCTQntInq8SlNuMIdaUlTkSPvYScnOTMXn5MPJhjmIZvBU%2FhvphAwcr2Dmm6%2Ftzx%2BuqFl23Hrb74NJdngoCB%2Fc1o3FaSRtL3O%2Fp0kI80kSGXOuj%2FDhbKYPmvkS6TJLuyZVuEi2Aht1j5azHTdLFFE%2FECgFttDieBUBAiDgbF7JZqelxszQHgBUrHpvUUGnzj91NxVjcbVvDzdP3ODM0%2FO2puBKII%2FLBbPMwUMEVxs%2BxG1hMm2rLuiZdxtMgSYcBhSFAVcgEyylUTEHw8ScSDdVVhSLRH2%2F4BlE3klwI6qm%2BlancHwNjKPe%2FdbQjI9Dy7bTC6JdMF0kQHvp3X1x0goeYStcc1K6bkM%2BABLCJyvpI%2BpzAMnbMFTPHv%2BSL94tg9okQCjkvZoqS3SuOcMkX1CtwbFNYCY02lGuazJTXI5M0wzmHJeCui%2FXFk%2BJhbu9tRQ55JijVLd0A3B58mhsgddROtiF%2BXqj5XsCuGYuA7dN2IXU1xI6M%2F%2FAYUUbCLk%2Ba4G2S22XYs3AZnLXe7ypHplwMF58xXnEULavmEeQOKSulKyZ6DPMng5839gmEF9RwiDnVc3PsGwVB9l7pGtNtZC5EWMmel4C5bTtCkU%2FmomPLAzE19rrvgmOz&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,989,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1455749198,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Impalpable  Talco  X 5kg.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2FhM%2BwzY7yHMCe2O3VEaqo3qkTc9Feev8DB7dqN1A8dXISpzlKdgTHNLmY2oOuHyxR7WpEvB3fyTwXOU%2Fge8GBl0K6ZX354t%2BGpbB8sgVq3sGWLYQLmU3jIBJFY7fZhCez6gfjvqIrS4CNlxmez5qnZ93qmGM6Fvg%2BTr8w%2FsvyvT9ueCAbimgFzNz70qWgigfiWCnCl1fV7%2FgjLM6W1t4nOKGY38YxouMwmSP%2FLJcCIL2rP5Y1ePdxKOJT9699mXzEHAEyvBc9XPxJ6yV5WIXr6i%2FQT4SfVBk6OKT5pzfn9kzZquXlbbwBYVr08eyukpnpk%2B001d4I%2BMyZSBVNeecoJSk6HC3feqYvnbf8T1VA85jDytmCA1Ke8PgkHRlfd3nqg9B80R%2F%2BIyFIg%2F812LyBQhK48jlwVJBrO1LeHu2yKGm0KE4rmSXD%2Bo5OTKgYtndEtZg1RuR8Z%2FSwM%2BzW76eRokWt%2FP%2B9uwjtXc1HSvl%2BxRhlSmiz9CZaWiZE1B9UxYe8uoRqQZFz%2FrEKOM2tUFDDIzDh6pp0V4gDbzXzPcOwnxbnUCVAHOWkRU8m8wSB65QTpXWeAxvPlvLHaHjh9baAFBPnSP9n6lHDzVCOBqs86dhz26qHgKsM3I8rtlPuY2DT57uQljy2faDAQikb2QGqh3XIvRy0lqJN1fGtaE6l%2B4c1DhkvHmOxg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,19.790,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#772171180,2024-06-05 14:25:48,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,Azucar Impalpable
