Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA409407#searchVariation=MLA20721602&position=3&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,11.970,Cafe Martinez,Nuevo  |  +1000 vendidos,(265 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1308505910,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437?pdp_filters=category:MLA409407#searchVariation=MLA19958437&position=5&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,13.121,ECOMODICO,Nuevo  |  +5mil vendidos,(39 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286562737,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=8&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,12.643,Cafe Martinez,Nuevo  |  +1000 vendidos,(147 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1293219917,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Gold Espresso 100gr,https://www.mercadolibre.com.ar/nescafe-gold-espresso-100gr/p/MLA16112984?pdp_filters=category:MLA409407#searchVariation=MLA16112984&position=11&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,8.457,Nestlé,Nuevo  |  +10mil vendidos,(1958 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1581909988,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA409407#searchVariation=MLA19979543&position=15&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,6.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(337 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA409407#searchVariation=MLA28567354&position=14&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,8.457,Nestlé,Nuevo  |  +1000 vendidos,(7014 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1397928537,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=13&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,10.078,ECOMODICO,Nuevo  |  +5mil vendidos,(151 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286549775,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Torrado Balanceado Molido Clásico La Morenita 1 Kg,https://www.mercadolibre.com.ar/cafe-torrado-balanceado-molido-clasico-la-morenita-1-kg/p/MLA20025875?pdp_filters=category:MLA409407#searchVariation=MLA20025875&position=1&search_layout=stack&type=product&tracking_id=3a787a6a-bd0d-4889-893a-a98e7d2dc762,13.121,ECOMODICO,Nuevo  |  +1000 vendidos,(259 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1389191696,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo Segafredo Zanetti 250 G. Pack X8,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=lLrn5dMxQcw5vkViIn2JOLY7NXYx3PJyj%2FulHVH%2B%2BCrwp42onDoIzEGtl4isaGyeLxMrTEuQ%2FMWOrXxygOgbyTuC3Jm%2B7EC90XfOpbeAYYJMyu%2F3ehscC0hUKsqcdqnx6alGsQn7G6R852J3ZYpDNl3qKxauXjUhyF9CS5PeeUkiXGy1BAz11n4DRGFhBNnA24qasjsqJ1p9JY8D5d2sVQEI%2FeMLjT4yOVPLr4do9kzeC73%2FQL4GThbKus1gdydpPW9Mju7qaccrpEOFM2Vp7WnvcZAVvF6W62OHbIXmafkNoe944YEKHErEnxBuxkF9y%2F9LzdFBV76O1hQfkqyQ0%2Fo6I5xQLGpAd2tJB2XzyYHcVokkZQtvvg%2BVh85PVBRyv9Uq1yoW4nPqHkKR3UGBszNcLYatmDsToXW9OFQS66SVFGO0EsIWyso8MO%2F68tIizCVucHbQKp978RqI3ktE2ldWIonj%2FUzPfs5UbDW6wGz0zqtNcQOT9YumbsVjKNiePQ1AY407y4iqzRGMTphlT6Em69pSI91pH6FD2wAHjHRNzDEvQu6cUIWmS%2F1hQqNukUA%2Bi3469u0fUF5J3U2CaAVnaG6cRwPMFLNko0HJ9Q8c62EBaqi2jsLiPCSvNqO8ynPOPqkwpalp8vt8xXbRHgDYnuVsH9BMEoy05RoR2kPPkxYRDr6orypdaZUzH4xcWIKicIU%2Bg%2FnbKv80Ipecbn0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,43.560,MERCADOGOURMET.ONLINE,Nuevo  |  +500 vendidos,(51 disponibles),Nuevo  |  +500 vendidos,No disponible,#1291700353,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo Segafredo Zanetti 250 G. Pack X4,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=m3CoTSJd0D0DrWivzzR8zssjUAKp4%2BUNN1cKeHsj8m7%2Bp1MUujoKOpBRpp8CZnfLIe7FYatMb3YfYgTHjJJzEcC3ul%2BlZBqkOLfAtYRY4F8oTh2LKAhqXmLLr8UopIETJ9hTPzW%2FUdHRL7BHjk3qzs8gksQNGkttVfnvdoKAj6l2KXxoBxrX1Qt41DwDbhHw4mrlecig%2BqF3A076LY5Et%2FVayQX4aiRlqolz%2BmJJmJDVdTYkXW93FNTGaiN48XCpE3nKg%2BnEwDVU3lx5HZTFfXE4FeZ0Mb1eMjhVYbvQzu1djGeUVv2pufu7hFWVWxUmowDO7VyssuqjlXMjilKSzPPmL4Dafyyl73F9AJbaiBr9BFaKNQjKhFL3FAGoeYarq3%2Bhk6cj4F64iF6Do8nc46ApDy7NF2gzBvjMSFuFqZasd2Yxe4dEt7yEuLnqiyV3hhqatvm43FX2m8hnjvRGQGqf7MO9JUW4TL6vXMIPCC1zqf0x203KLYT1%2FKVs%2FvxlVZFQj29XX0BAunGd%2FGcPiRKPq1VI5aHkBQzlukcYexkR6sbi5DPu4Bc8AGjpbcXB5JhwzLUsoeUEHU1kqQetUE20u%2BNkvBDjso%2B8%2B9za%2FL5L%2FF9JeKy5pQSb%2BFWu2c5rxJQHE%2FdnVREa%2F9NU%2Bw2z0TvMmCjGMpVcZft6o0LBVc7mA3cUfnIeK8QN3JIwy5reYwF3I%2BGmHyj88BzTLRvOof9Cjvs%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,25.573,MERCADOGOURMET.ONLINE,Nuevo  |  +100 vendidos,(105 disponibles),Nuevo  |  +100 vendidos,No disponible,#1291745542,2024-01-25 21:14:35,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
