Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA409407#searchVariation=MLA23792131&position=2&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,6.072,Cafe Martinez,Nuevo  |  +1000 vendidos,(250 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA409407#searchVariation=MLA20721602&position=3&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,13.340,Cafe Martinez,Nuevo  |  +1000 vendidos,(477 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=4&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,13.294,Cafe Martinez,Nuevo  |  +1000 vendidos,(209 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=5&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,11.250,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(13 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA409407#searchVariation=MLA28567354&position=6&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,11.275,Nestlé,Nuevo  |  +5mil vendidos,(1486 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397928537,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Instantáneo Nescafé® Gold - Doypack X100gr,https://articulo.mercadolibre.com.ar/MLA-1659944572-cafe-instantaneo-nescafe-gold-doypack-x100gr-_JM#position=49&search_layout=stack&type=item&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,8.146,Nestlé,Nuevo  |  +1000 vendidos,(1258 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1659944572,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA409407#searchVariation=MLA20732424&position=7&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,12.900,FICA20240115095756,Nuevo  |  +5mil vendidos,(62 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1413919913,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887?pdp_filters=category:MLA409407#searchVariation=MLA20025887&position=8&search_layout=stack&type=product&tracking_id=645878e4-0a03-454c-94a9-016a4c825d93,7.249,CAPSULANDIA,Nuevo  |  +10mil vendidos,(410 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280709825,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Espresso Casa Segafredo Zanetti 250 G. Pack X8,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5i0VZvXGUQeBDphT2EjaV1HFFvV9ELGUXa7v4j06mhew%2BcWLLlhwzUErCTkzPYmVzysZJIsHhUfEld9KEI%2BxUF6KQ8uoT4Aoir4yD%2F6iq62zUheHD8FCGRCSh5L23CLg644thWSVXaK3N5dqlTui1%2BdSKB92a1kPWu4g9FhdBg0%2Fhd4sUkWeTYkYE8AF8znJ9P8PKvaoT9iCyZaU7UcCAq8Ezmc1eTyvVJ1uo47cQjN7awEBgOV%2BSo6g6pBEKYHu9G3b3471YteS4Kd733xBQ7gfF%2FjQunR46T1YOLyyfSKry%2FZ8j0qK9u4A7i6vSzZgydiPo5II6C5AGEcKGTzhB%2FB9pBpI8KAeOm%2FEvQoTaIvNYrCRimsqKk%2Bn3aWv%2FhU2yG7fuzG4YtiIx1Dx9INgEp%2BxIl%2FWXTghl5aQ8sfXKbVBWft8YvBQ64OQzfXfaTlJ5BTBE7M7l0f69CszYidSfbVyB%2FYrv4BuXq9l%2BtNqjtJjkxZwUaQ34j1lFo00r1OXUnYX5iCAkdywOTjih%2F%2BqbXI3janRV4%2BbaMNl1w9nz463NGUZWDZdExFWwjmPTYwtk3Una7kjBVQRMVJyyTCJJXyk9PZpZzRY2AZIlKgmh8TiMvx%2FjZrYd9rM2fHGHjFfbr0T5ab16dfTbX8Y%2BcXo2TP4JXehJgvjB8EW5fk7t46MqIARBSoIDROQAzEHZPBH9uF56A%2FByoFF9akWjOJJekv%2BcXJMhw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,58.761,MERCADOGOURMET.ONLINE,Nuevo  |  +500 vendidos,(149 disponibles),Nuevo  |  +500 vendidos,No disponible,#1291745543,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
2kg - Café En Grano Tostado (1 Kg Italiano+ 1kg Colombia ) B,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7I8Y5r%2FE7uDQQaYiP1IQanMA4VcIP8o1GTMa0sW2kmlzhlwlFoNpbi2jfqAaq%2F9%2BTdDAZpJ5PAB3sGAeyKUl4fmlSMgcBLJiOMeto6SgRybQnR29IeAjkIQJ91Ngn%2BskeFniSR5IB7h5570HTQ2JiprHsNThC9J3XLt01lpMIUmtnhI4qvcMOIJm50Znzxd44CpYyjerb%2FndNiajhyq4YOBv%2FSZhIU9KAdmDbOfTlRP2Q8hUG4I4si4wDgp2n5xlsxA0UaZXJUMuU2BePOym3W3cn9%2BidX8qK0HO4Wk8OpAGcKMJVCUcdbIp3adUTvK%2FcUU%2F64%2F3CUQ6kjK7FJsNRaoUKIJuc9sKxzASvtkAqmKT6yLxiiA812kBIX2WmeqfleGBsQWN0DLuCETI6ynlfsTYvT9nkwDm2cH3pA6C%2FvCbX4gJpbMnM8JZbk5XAN1ebVtmbOBKNY15uqVrZWVHjUJttBAhvv7d8lKXEZXzFjwwNUhzmTHlOGodLtLZMN0w5TN%2BToOaLlKS4OW98mUthqpv61whLkkh9cga1lWHLQioB4v2fHdZ8iL2UDCbtAT8JMVzMLSdlh%2BroWhkhnz66MMOwW8enlBpy6iXyQpYyshPqgx6cBZLp%2Ba02PCw%2BtA3tyvSPv3FtT32X%2BB0xSkw0zVhJVYhgnJ2%2Bw3W2iROG32Vl8nAyfTmaPYjdMFMOxvdGVnD77yB03o7N01i9K14%2FLrFGiRfrg%2FZtbssxylChtw4hYp%2BluNg8mT8tiElSFAT7ntRwCEAPdR%2BjbubWir6zKQqVI%2BU7FYHfemK%2BdfjMukmKs4P%2BA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,66.490,CAFE GROUPP,Nuevo  |  +50 vendidos,(43 disponibles),Nuevo  |  +50 vendidos,No disponible,#1434513598,2024-03-13 18:16:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
