Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354#searchVariation=MLA28567354&position=1&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,13.220,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1658654866,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019#searchVariation=MLA20026019&position=3&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cappuccino Instantaneo Light Dp Sin Tacc 100 Grs,https://www.mercadolibre.com.ar/la-virginia-cappuccino-instantaneo-light-dp-sin-tacc-100-grs/p/MLA20018573#searchVariation=MLA20018573&position=4&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,2.611,Ecomodico,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1281953271,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=5&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,12.706,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286562737,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508#searchVariation=MLA19944508&position=2&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,10.400,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=7&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,11.999,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1698275646,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Lungo,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-lungo/p/MLA16167699#searchVariation=MLA16167699&position=8&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,12.699,CPT Oficina,Nuevo  |  +100mil vendidos,(+10 disponibles),Nuevo  |  +100mil vendidos,No disponible,#909583929,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Bonafide Sensacion Intensa 500 Gramos.,https://www.mercadolibre.com.ar/cafe-bonafide-sensacion-intensa-500-gramos/p/MLA19944516#searchVariation=MLA19944516&position=11&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,6.359,BLIP,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1455051362,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=hSySuyr%2FSsDk%2BIsL0JR1d%2FA2Nn6KaNYoZGpxDtfayLfisiOPEB%2FTwgGOmFBxJBDkGtAkqiviNiouPdaW888s0N1qifbG6H7hqfA%2BnullzEIUeUZ0%2BvVx%2FS2A6z%2BYskWiWjNGiwDU%2BfFAFwvESggD1I1eHR8GfYTAz7C07ziaSIYuskzV4Oh4%2FbLj%2BKSRBjwirTdQPGgLJ7p95oxDROJKShRECUVsY7vt5Rv9sKluDv3fnWLmgv4Aqm0D09Aqri%2BOkyvc9bMQP7tV3LefCrRNAmBTQGVJGH6CLFVUPNlTZHNbB0fXxXANKtPxsRuAW%2B8vnuDx%2B2ov%2F8mI0nhtTujyOQBN5WxKuqJvCB%2FbKMz6LUBhQFSz8RWj%2B20Lh5qtLJfSGoRnEglwDnafV%2B3Ld0pLRpQoJWZQzVHc6Cf6qgG1%2FTeCZl5GDNYOcPJyCp54YQWDTpCpdkwsugSblO6hhm%2BLNV1%2Fd408puzOXlOrlKiS4jQs0gE08Dk7ioKhoJgh52wTX9epomkTYzLXnVp47ncZugo5yPlcpa8%2B1K7g9QNP7uHol3G0uA9SPfyO%2F83BiytQNaeW4JIjZYo98R2aWnIt7xWt%2BrSVyxaNQDqpo0WB2YcD8yE4lts0oBmBLaYw1fIC0hyDSh7M0DBAhQVS2jbTJv8J03Hw2CRIegH5PXXOZtzC0MxYlMCy%2FOraIsNFEccpJMwj6VdQd17ZvBXuURguer0buYp5&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 3kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=DXEJP7JlUXNYyXggTXwcB03QYinb6%2FPe2CXJ060zx6CTq22I2n3XIq9FV%2BrV6JF%2BrXjJVCXlYu3EgHDIsk3%2FHwL7DUte4BbQAimvqcRdsXxkxmOfH5tvQjhRksCdqDikPgkpUaV6h1pLiJR%2BIYdu%2F51QPguJrR6OdmTsLgmmgakhIwukP5%2FJPskYmELFvtnBG2ZHsitk48DZTjk0eAoTdZrrIa5MeY7Dr3eQKnfxiiVP%2F8aGBVaeiyisCDqDN3aFb6f7oG%2FNMlhs5b81mxGqnsZoKF1UvpY1r4MwQV1hnTg8W%2F9m%2BOtEaCRUK9hS5XqOCMbJqRGeS8XQUQppGvoBDvP0cDatk8RWFbSKIUQiCNUnEqNcQe1l3V4pQ0YeAIEb72pfJZxk0lQKUC9R37TIMBOr4z%2BwELYqDBrgGIkRDy%2BF10ZmkXysTf8roolUfZwvXjjvdd1hPnG%2BKdj9tNFxpRe0n939%2BqSjtNRxdm9O7ARQrWCGeb0%2BUX2mZwW8EZ6S6YodyQnAkK4OADFqoQOThEh07xRJDZ%2BWCS3Az6olx9budlD5lKSs4Mhul3fWNP0QlPRpRWRm6KUWC9zTs4O5fvyUP9VGGdL0TpdpVc2Zc5zxRJ66quLq%2F0rfHgw6fh2OIni7J7pEvEUYo5C7y7vOU1eFjMhwkE7Dut6S2Gl1DsdrxTSdGI0WsBCcNRU4aMARpJywKn7M8W5oVq3VzfyVq60%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,106.287,PARÉNTESIS,Nuevo  |  +5 vendidos,(+10 disponibles),Nuevo  |  +5 vendidos,No disponible,#1397278099,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Cappuccino Tradicional La Virginia Repuesto X 125 Gr,https://www.mercadolibre.com.ar/cafe-cappuccino-tradicional-la-virginia-repuesto-x-125-gr/p/MLA19640009#searchVariation=MLA19640009&position=12&search_layout=stack&type=product&tracking_id=2c9d825c-e082-4104-a6a9-937696c04696,2.470,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1186155476,2024-04-10 12:15:51,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
