Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508#searchVariation=MLA19944508&position=4&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,9.630,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286549775,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=6&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,12.706,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286562737,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Nescafe dolca clasico 170g facil de batir sin tacc,https://www.mercadolibre.com.ar/cafe-nescafe-dolca-clasico-170g-facil-de-batir-sin-tacc/p/MLA19609652#searchVariation=MLA19609652&position=18&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,5.460,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1667711362,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=21&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,10.899,AVFX1,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1698275646,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232#searchVariation=MLA22834232&position=13&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,35.500,NUTRISERVICESRL,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372484559,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=11&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,8.376,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1707092820,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Daihatsu  cafe expresso  CM5403DE  Negro  220V  Expreso,https://www.mercadolibre.com.ar/daihatsu-cafe-expresso-cm5403de-negro-220v-expreso/p/MLA28533636#searchVariation=MLA28533636&position=17&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,149.199,TRENDY DEALS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1581819598,2024-04-30 19:35:44,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=1&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,13.519,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 3kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5aApW8vHhNtBGOySA%2Fc0loysiqODxqnJg58KbGkJNuGkGTv%2F35F7bDXjNJwC%2FV5oMG110YqpQubHxspbZtXERHU524zhIqo%2FW%2F%2BvTZB5%2FyBc%2FsokVi5hQyxjzV%2BIB6TrWByX0boDj71WYqxQpM9AEKvdI8j5AQR%2F1A2U0Vaqcb%2Bp3NvxIvOgfC8ETUxJUaov3wmX0ZPfdiCdqE5taF4qzPfWfsI8MyyCXOHJGYuckUgt8dc3OJNa8HcbJ9omqvxnDrchtgOW0zlqhUA2IdSOVVYIBZJXeG58pxoGLyfb%2BbAvGXNluOEbCaErHEHvU18ws1lCuWXPXlLeX2amnyHq%2B1gOU%2BsKvgkqyShQ907n0zTTx%2FxSLcY8guYq1La0p7QzOfrDPVXIxwYGbQOQfgLIhcG%2FOWYdlTP2TiOFfd52PxorzzWEK9sKrr5APMo6lbHmIjKdk9bkY%2FAIdpCMRo5W7AwFZDnRfPH0dowBUB0oJWAuFlaci7pxVJgnjTR9n1aosF8TuPBBTWqAFvZpnCUwZG7nRxZ%2FDR4fuNL%2BiLUDlW4wdju0rUcsofold5S92SGLNWOEQA3qQMhblv4cpV%2FQsl6EC%2FcGvRffm8DsoeRTYzuXsOaEddAHFvKST64CuLqhWofxETwl%2B9uLkqusWvEUkrR%2Fp4tHItiMSb6p7hPfeCFK11%2BgG7I2yT1uBlMIoWKuUoZE%2FW9D7m5BfPxg3cU%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,105.119,PARENTESISCAFE,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#1397278099,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Pack 2kg - Café En Grano Tostado Natural Colombia Premium R1,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=2K5KCdaEoZNLQlKLWifD%2Fs%2Bhi4lU5qq3Jao7ExriCEBMLp0gBCJ%2F3QIo7DoxVWDILSrWcub6F%2FdMmGd0coLet5kgDovBiEOlyRdX0bJLSY70O5k0o7TGQe1Jmq4jyXnKqsSolek2bdJNF6codFVui7oPi1jIb8s4e3E2XYENhKQRE4xm38wZP74Gbq8bEPHk8z%2FH8PVcnitsJ9mOa53EKJt0k2CsN2pzklPCOFe4MPcmC%2BmHXCARer1wmePPYAYSfPc34pAemKbGdCckk%2F%2Bnv302Qv0Ns5Qgzg8jZirSfDosMMdBSyb1VsopR98C25Jlgbs57fhtGwvpDKAeaxVovGEQI9RSf4VvRhcYu%2FcFbymRVJQjChw1bn%2Fbna43j%2BVnpYbJfSAVTYBuh34OSpvCC2Z05LHlTEUVsZPQmylmRTPMg4xjO0Jaek9j4PxC9ft5qrjPn5bVEPzQjrCSDg8DPpHddyC2L6RixIp2Hd%2BDYqudVRCmMoPo4%2Bkp5h8oJK1qAOLYWcF%2BHMY4zlwdaA2r5MxQgMZ97siKLkBOOtarJFIEFVkd72NzQBoPkrA4yqOYHKg6dnot6Cfu5VcVmQ7mwygu9H83rw4Lfcn88RSJi08WAHNXnn3eiH72d88B5inmXenDX1GIpm9IERRYb%2BwhqoXPTHGNIqi1RCzM%2BDlgeBJPP9GTv9EgaRAGGX5FLj4L4ceNu2kxF8ok2aYqU7CeR7oFLURHJjk%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,66.490,CAFE GROUPP,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1640226122,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Starbucks Caramel Macchiato X 12 Dolce Gusto,https://www.mercadolibre.com.ar/capsulas-starbucks-caramel-macchiato-x-12-dolce-gusto/p/MLA19938866#searchVariation=MLA19938866&position=8&search_layout=stack&type=product&tracking_id=c748e7d8-f8ac-4ef1-a5f3-ca3bce06a97e,8.624,Dolce Gusto,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398766733,2024-04-30 19:35:44,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
