Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=51&search_layout=stack&type=item&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,438,VÍVET MARKET,Nuevo  |  +5mil vendidos,(207 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141531811,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=1&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,2.940,AEH MALL,Nuevo  |  +1000 vendidos,(14 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=2&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(384 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=3&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,8.907,PUNTONUEZ,Nuevo  |  +10mil vendidos,(235 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1640273046,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Cereales Quaker Honey Graham X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-graham-x-190-gr-desayuno-merienda/p/MLA19957870?pdp_filters=category:MLA1423#searchVariation=MLA19957870&position=7&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,4.500,XPALLET.COM.AR,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1367225301,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereales Quaker Honey Nut Oats X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-nut-oats-x-190-gr-desayuno-merienda/p/MLA19957869?pdp_filters=category:MLA1423#searchVariation=MLA19957869&position=5&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,2.762,PepsiCo,Nuevo  |  +1000 vendidos,(60 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1282862986,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletitas Hogareñas Mix Cereales Tripack Mediano,https://www.mercadolibre.com.ar/galletitas-hogarenas-mix-cereales-tripack-mediano/p/MLA20941266?pdp_filters=category:MLA1423#searchVariation=MLA20941266&position=4&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,2.473,TAP GROCERY,Nuevo  |  +1000 vendidos,(24 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1297602625,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=6&search_layout=stack&type=product&tracking_id=85aadfcc-4842-47f1-aa08-8ed56c290d22,4.990,ALIMENTOSFUENTES,Nuevo  |  +5mil vendidos,(72 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Tutucas Dulces X 6kg | Primera Calidad | 100% Natural,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SiyOOiVLssBnuyjwMAPITHxfjHO9NluOSTrOpcuzsZp9O1lIlsfSarUfXxoFDLOllg70tPgYbZ4xXeQ9oouoAV7MuYyFWvLjmnX0mTEF4eVpFfDN2D%2FCcPrc7rqHyYwUNHTlZoYvy1%2FfCP0OHxPwLMmxcYQnQlVdIIWGTRFaqBHreJptbxctpyT7y8T4oh1PiuztZotEB9v6vC5vbCzNnS5bZ40mmIBkzPY21JmSRnygIhzCFXEa7GPBKXYa65KJV88Qzu2oLkULcfuQdeBhNsaryatoWs0BgZ3nAfCH4Y%2BVq%2F%2B8dojXOGedU3MPzmqttXJUiPQ77SUYi9N6r%2BvTi3EMWPa%2BIE1LGsmtSD4e%2FTjiZ%2FqHNu8BZFCWFIBZFyudJetpBdLajrERvGxz58%2FHxdog%2BqY3krhqvOhVXMk5IQe9f6VSH0Lz76E5zfbwR8Iu72BAaQZkKt3dFB%2BUMimEBEQaPuB2qwaEFejBU%2FwYLW0l9bmw6LW%2BbZvG%2FEy6Oo9o%2Fkwu3fOLGvcbMEQtsVFR%2F1ZXrJ98uQdcqzEYScyYAHYnC%2F6%2BJkggVvhrXYuv%2B%2FEZhwtG83s6n8iq7GifklUmGeVfwIUu%2B9IYJJnEXnb1J7JHW0yzURMcOjE6sSLYbo8X4XgwEs2q1Mo%2FCcjXTSMfcrXX6oFVVvxqHI9BtRGDZ8XmigG6bdy625RRaF0QpOMN%2Fp9mnypA0MSZlw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,20.206,POSITIVA.ARG,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#1222718064,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Frutilla X 500 Gr - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tOUXPPLAkMv4iqnaXktEycczKZpptJwHZTyJDNYmwhRY2cAfnzcnjzgtOgvOXBTFZhWkyg9hxn3YeJM6sIjKtA3fherhEL%2F78S6NJDghkKp%2BjG7WrNPazYZvg4PHjg2RvN1PkCJNt%2BW%2F4mrma1bguV%2BzYrjXcz%2Boo0HUiPsjd1aGhPGxdCzhHVb1%2Fx73DMNkMJpUQFZAjCtuixROOHk%2BomRERnwwLlq76zS9L9T2pKdmiHtg%2BvrIRIya63bI%2Fb1oIheP3Uc9EVcE%2BYL3lM%2FAouXo7EdnMLukkXqFJhf6hK%2BB8%2BIefEPXkzcJZuzVbQe78Mcss9sp1lF26hsU0%2FZg3fMpjwCUnOwDX1dp23YdOi0Fr%2BwmHniVjdno7EpSJK3CRTgG7A%2FmMUeYu1u95rz5stwPFk6Ruev7tRq80z8FhrQadqgmqwpfab%2BLx1Gi5ynpv8Lw4u6MWymTBuzS1JWri8GqgTolpvpUdMTvhDJhw1FYWyPgtD9JaDLXwKzDYEJFbyFrskKPQ%2BM4hrPpU7fGuB%2FhGJPyKmrN3%2FwdA%2BlvGNENh74IhBGqjnaPsmticTjllo2KOwuWk%2Bdu1VO9GlI3hp%2Bqxtk9E7Kh%2BubuDtTKcM%2FJQdmedr7o3qitLkE9FUT6ka7T70856umg9Q19ywJ5SzWBfzuQh3sdN%2FZ3RjVMhLOmmosUr%2FMGu3RLaBPs%2Bti%2BsxHajCxnKrf03GqcbLI%2BRyP%2FAzc%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,3.716,POSITIVA.ARG,Nuevo  |  +25 vendidos,(7 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169054703,2024-01-25 21:25:08,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
