Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=2&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,1.953,GREENANDML,Nuevo  |  +1000 vendidos,(37 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Quinoa Pop Inflado Con Algarroba Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141504199-quinoa-pop-inflado-con-algarroba-yin-yang-_JM#position=45&search_layout=stack&type=item&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,495,VÍVET MARKET,Nuevo  |  +1000 vendidos,(98 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1141504199,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Pasas De Uva Y Almendras,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-pasas-de-uva-y-almendras/p/MLA21266471?pdp_filters=category:MLA1423#searchVariation=MLA21266471&position=3&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,8.400,OPEN25HS!,Nuevo  |  +1000 vendidos,(31 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1417247734,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=4&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,8.640,MORASHOP,Nuevo  |  +10mil vendidos,(27 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1381102545,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=5&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,5.799,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(55 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=46&search_layout=stack&type=item&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,438,VÍVET MARKET,Nuevo  |  +5mil vendidos,(222 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141531811,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=6&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,7.920,OPEN25HS!,Nuevo  |  +5mil vendidos,(51 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1417133754,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=7&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,4.390,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(80 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barrita Proteica Natural Con Clara De Huevo Ki-bar 40gr X10,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nRY%2FNzDCT9CzN66B7LhoVtPE72y088raLdC7tLWQ68sYVyL5%2F9u%2B1M6P3%2BGAjPEibk%2FVshN3A94M0nFkKCE8aSFXVfqi6CReCVYfdrcBxfdgTfnzfiGGJRb9yFBqunPIX5QzjrIO44ZDMoE%2B1gLt9tklteRBy1DSp04%2BUo9t5gKeYLRX5IkhiAvS2ZNyLyl2snjoANKVosDiuWbY5ltYCiBbLUuK6jQR%2FWGVnE5rIq%2F6IDCzJU7w8XyFxPi2QfDIrEutp6fW0%2BdiHN5rkiiOHuRf4crd6qwgXJb%2FS2HL3Z0JoyUhTCBHId58cvRlq2I5QsAEhupPhPXwIQ3qb9HEPoQO%2Brd%2BBMlrgYApep%2FS%2BjEDL%2BDvG9k76Tyck8FvGseNv9YHKEvuvScjXa293mZJugt82ak2y3uVIBeNxvCvraU83dNkAWfzpdRwbHGcfiSFupUmRgBuirGPwLJ0VP0c2Adsi3u71r5Xeopkqs9FA%2BMQ5vnNVFEK9lkNxCEmuChyHiHfVcFWUpd%2FEWYP2qomkulQJanFxgG9MFChTFU6ZyHjSoQfzzoFDMLi1IFvZb0e6W2iM3VspHUErVZttBOXYzqX%2FLwzJZimUEQ%2FK627e%2BMlFw5MCEsoDn8OLMR0hRrHMQ2J6JGSIxy0WDRafAAlzkSrMEGQFlKxrk3aC0weSKRizhgljhZRLib09CpoTbbM9VFqImRCru1y2S%2F7O7P93OwP0cbASg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349&rb=x,12.599,OLIVADONMATEO,Nuevo  |  +100 vendidos,(9 disponibles),Nuevo  |  +100 vendidos,No disponible,#1387944799,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barra Cajú Y Arándanos Integra 41 Gr Caja X 10 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=eFgp10LmhP86IgMuU2nYsMkB0EPl97GtQnLeiFU99xjjsdvwCVioO1PqC%2F4fS2ELFf%2BdsukMqhYDJK5HdzT8Z6qpLAANX%2FxnjtFNA5xkMZqT8y5s%2BwPx0lUt3mTZH590zam0KVPtuLjF7CoxFre4%2B2rl0loLuz2ePf8osnHz0r6aJEWACTsQ6lAe%2BeAsUMLdt2G8iPs7ATwgEQ3bDy04A5%2BVV9BTeZjGiLSWUtN1splbJSTLTujLE0IukkB5IB3zq8G29dVH9VPx0a9N97Lgl%2BHwyjzQS5tSufrcJeC2OAH%2B%2BKC5bE%2Ba4npr6IieOb%2BYrxQ6DyxW1LdddL4hZBw5Xzok5vNbzHqPOoJoHaILGgsiAO4px88e%2BAR2jN4kCt7d%2BgyBNwuZk317GptUHYVmIqMMAS6GtJKUBzJPlVB4i9jTkgM0vNbm5DFBlFcHfonndcg1UQ8ll1xuH%2FJsIBMXYkkodOyKSZvG9RUjGLvxjROnXf%2FLvvWDHe4u1c0JXuuHfs6hTNKz70SLTuiMkkdF1H1ewOjvWtU%2B9RG8QaHcauOp8m%2FlxjeilSxv1LwIrIsWtdvy%2F0bqygKYfWKkan4ZIId48JM8k5Apy9CE3H15M2cZdRLbGJjPXaoOxzMH%2BkD43xAg4EcoLUh%2BR6PavZmiEhCcnuI0M59x2vnqp%2BqjgZuPgOGMQNani3U4wm%2F1n4UmDGu7eQ9o7MImgFSDFU9uY7ks&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349&rb=x,9.623,GREENANDML,Nuevo  |  +50 vendidos,(11 disponibles),Nuevo  |  +50 vendidos,No disponible,#1574810484,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=11&search_layout=stack&type=product&tracking_id=32a6bc09-ef00-46dc-9b6b-713950c029eb,4.055,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(424 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-02-26 11:07:30,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
