Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=4&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=7&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,1.953,GREENANDML,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=2&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,4.969,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=3&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,8.660,PUNTONUEZ,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1680825256,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=6&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,5.590,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=1&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,5.990,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=9&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,1.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=13&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,5.790,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=12&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,4.969,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=8&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,3.379,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=10&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,4.190,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=5&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,12.500,PUNTONUEZ,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1640273046,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arroz Yamaní Pop Yin Yang Orgánico Sin Tacc 80g,https://www.mercadolibre.com.ar/arroz-yamani-pop-yin-yang-organico-sin-tacc-80g/p/MLA26444834?pdp_filters=category:MLA1423#searchVariation=MLA26444834&position=15&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,578,VÍVET MARKET,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384788535,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Caja X 10 Barritas Integra Chocolate Y Mani 41gr C/u - Dw,https://www.mercadolibre.com.ar/caja-x-10-barritas-integra-chocolate-y-mani-41gr-cu-dw/p/MLA21204927?pdp_filters=category:MLA1423#searchVariation=MLA21204927&position=18&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,9.197,PUNTONUEZ,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1342809665,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Nesquik Cereales - 400gr,https://www.mercadolibre.com.ar/nesquik-cereales-400gr/p/MLA24244810?pdp_filters=category:MLA1423#searchVariation=MLA24244810&position=16&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,8.557,CPT Oficina,Nuevo  |  +500 vendidos,(2 disponibles),Nuevo  |  +500 vendidos,No disponible,#1640801714,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra de cereal Wik Taste sin TACC  sabor quinoa/chocolate 20 g de 20 u,https://www.mercadolibre.com.ar/barra-de-cereal-wik-taste-sin-tacc-sabor-quinoachocolate-20g-de-20u/p/MLA23221511?pdp_filters=category:MLA1423#searchVariation=MLA23221511&position=23&search_layout=stack&type=product&tracking_id=852498a4-0f25-4e68-b0fc-4a73c0015b8d,11.235,COLLODESESAS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1410071569,2024-04-10 12:18:23,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
