Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=2&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,4.035,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=6&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,4.707,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=11&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,1.722,GREENANDML,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=3&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,5.790,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=4&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,1.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Frutillas X 500g -envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-500g-envios-a-todo-el-pais/p/MLA26444831?pdp_filters=category:MLA1423#searchVariation=MLA26444831&position=7&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1384746937,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=1&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,4.707,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutales Granix Cereal Bajo En Sodio,https://www.mercadolibre.com.ar/aritos-frutales-granix-cereal-bajo-en-sodio/p/MLA25677571?pdp_filters=category:MLA1423#searchVariation=MLA25677571&position=8&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,1.084,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1467791944,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Copos De Maíz Azucarados Granix De 1 Kilo ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=rW5qiokdjsmyboeI0mksGcml7PX%2BNZkIP%2B0mpq8Er26%2F7Pv8YRwezlQPXtOfLk7B5vmP0LxeliMUZivS%2FjjnOTuhTdex6NvUKOh%2FWpZlFW1VTcRzw0Hscv3w6hx6wAdYh5CyTx7c2HUXudziu%2FX2aFusV3ibl6ZQKWTx%2B5EqEkb4t1A%2BfjwHoK9PU4vCTKmS1Q8w8%2BFN%2By1qAphFzdvvVL8L1MoqQIOsz24AyaMyebPPwi6iPeZYDM7mVp1MZI2bsMPVARMJg5JbZEH2EuZvrQ1%2FUN%2BOdCput65hSGEeGziWMLXoIDfDsSVwF8VQqSxypzq14uFoCOv%2FGEBI2fec28GSzWNPBvYgB55JZ%2FUMK6OKz%2FLSQnmcnxXt%2BL0jjd4n4rXprvclSeyze%2F4X0mOVFdp3V5Zz567X4Z6nMPDIjcmYu7FNzTTYZb1rtl0q9XIVJD1TML4F%2Fza7zhxW3qv1jAy9SXu7%2B9MqUsAJUW4%2B4Lww5fBPfi7le%2F9bfZ2mR8tU9Q%2FQbpetfAX3sbV38xRRsePXu4EqOwoM9c83BKApgGSWE14KNgZWQFS6wQ7bxoNPTBEczWyJInfmEKU6QZTXUMe%2FGmn66fz1NuDCyKQXeNgP4SQdTnVHFBMQAOSgzM2iesHV4EK5k6LTNmeLVTw28yBMxMxRoytYEHcEmifu%2BJbhvFvLlmRZMjiZ94gTHXnT8Sjw&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.694,POSITIVA,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#912584716,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Semillas Y Arándanos Integra 38 Gr Caja X 10 Unidades,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=H1kN9C8na8UDI1DGDtsD%2BciPQA6S3v%2BbpoilTE3YH4HKSGOchlBucmcnGG%2FXRlYV%2F0FT6BfsuI4Hr9ZmdjyBK4K0GGbnmmMTlP7GvMFJvxpA7jG%2FYhUBkVVtOkHHg6jy9bR9Uhph7V%2FI8vtQTgxZ429nT%2FSpbRfAqD62fKdAJjM9WUdkg%2FVkaiwx3VtZ6kCZw8focJqxhpBAFoFLFG7YtL2IIS%2FPmhus3xf8kKKx0GKtDGpv522ebkM9ETvY72CzwKGX0lMi1LCy0CaNV0QdR2Cx3X7AcfEXOu5duoKIrfAUH158TUy0WBthFlJCs7sCVT0Wu7Q3FofFpXzxAk9TdsauuVA98SM05AnDCi8ttV4hn6nlmcyIDo9NCzSvfTpC%2BsfCFSqvW7YGazkmaYJkZpBGKa%2Feijtu%2BZwMEGwuDOxUsWDXjg1brLm1U735TjWY%2BJGSLWpT3EmDwnPIovQPohJv55Uc0Uhih%2BLp%2BIIj2KdFQoSxvX16v3XG31w4dt2JAnGix12%2FGfesusLqAqX3eTp8NI%2Fi5dUPYS%2F8lWqnmia2JeXpU90rp6M38nQlQD4Dg8kAInWRWjUkPougCluy%2BEH4Yj56dmk9xAe4TqyFGOxkBV40M2Y3zMX7MkFc5IxhGdkeWhGNc7SGj00I7O3G%2FHJ917KvtgYKCFS3ukPmUWpfW%2FlVEN%2FLa1BVuU7rMei6ElaaAZzQaTiUMdBCTOH%2Bi4tNUJtODZU%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.382,GREENANDML,Nuevo  |  +5 vendidos,(3 disponibles),Nuevo  |  +5 vendidos,No disponible,#1674168108,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barra Chocolate Y Avena Integra 40 Gr Caja Por 10 Unidades,https://www.mercadolibre.com.ar/barra-chocolate-y-avena-integra-40-gr-caja-por-10-unidades/p/MLA21622805?pdp_filters=category:MLA1423#searchVariation=MLA21622805&position=13&search_layout=stack&type=product&tracking_id=77d47c1c-4a7f-423a-9597-4571b19b6f87,8.490,Integra,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1339938326,2024-04-30 19:37:27,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
