Titulo,Enlace,Precios
"Gaseosa Coca-cola Sabor Original 2,25 Lt",https://articulo.mercadolibre.com.ar/MLA-1137422116-gaseosa-coca-cola-sabor-original-225-lt-_JM#position=12&search_layout=stack&type=item&tracking_id=01e2d9b2-2e27-489b-89ae-cac1851ebb15,1.683
"Gaseosa Coca-cola Sabor Original 1,5 Lt",https://articulo.mercadolibre.com.ar/MLA-1144240255-gaseosa-coca-cola-sabor-original-15-lt-_JM#position=13&search_layout=stack&type=item&tracking_id=01e2d9b2-2e27-489b-89ae-cac1851ebb15,2.007
"Gaseosa Coca-cola Sin Azúcares 2,25 Lt",https://articulo.mercadolibre.com.ar/MLA-1137450091-gaseosa-coca-cola-sin-azucares-225-lt-_JM#position=14&search_layout=stack&type=item&tracking_id=01e2d9b2-2e27-489b-89ae-cac1851ebb15,1.807
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts Pack X8 Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=zW4rjlHODf5i7gkTlSyFhz%2FKHHDEFGGl6xJd5gWiE1SDx77Ye7Tf52vNsYr3A6XJRMYldbd%2Bf2Dfq9YNwSiCIH3KMccrXd5IJmXPI1ThxiD7ywCGxQ9cqBA0woXu5zpPc2CJv3tnW2OM4uTtG4EoQJypoF0LY2QRQ2dhEmcYu%2FBi8M3C3b4hr6gVaARvGMkWz7qvB2U7FyXXB7SY09ubodE9nRpxnL5E9Vph58adI452hj1yPHdtlS9d5hMgmkkNRqOC3Vew7u3CntTJTv8E1bL%2BR3PgqBpJn8DJis71Yd7Skc4yzGEAOsDdvRJ3bHUKi5JBEAL2Jdw1xb5x%2BWsNGUCNvDKwaxx4AE2ivpgvplU4sd6DSRRpsR4%2FVGcI9mg%2BXesDuauIvl2HUFZr3PAwr%2BY9BGuKWKplUJh0gE7WWoM7SeqTrgvxoeRby3MM0Cbh2iiHFqHjDvnjJ0YD1zbtLUrZAF%2FIbhbT1wtWdiazAXGhgtGscg2hotWnW3dRVxWOrMP0qqUTJkMwYLLPwL2xO4iNLiomyfnEKBpTKs4vYFZmEoDtK2dp2oL0OLHCVK6GL%2Bgteb9v8eqbQLTXLCX%2BS6YJa6z04dLz00%2BxT4e%2FIrCniTdV7bHyfz1DowSQ%2FyEzj4lKBIW39llSElKkAdngcHsae80swrXgcV59AmErVUbm5bCqzBir9yvcdN3Tj4fQwivRBdM4f3I9qlJsJuhyCRd86UI%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.380
"Gaseosa Coca Cola Sin Azucar 2,25 Lts Pack X8 Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=He1grCYWDFwbMa1NswlCvrk6OdfhCaXcGM0tDODGPZXNbOMDB5n%2BjIaIIJc8I7NIxItsGulKyYgLfwRdk0SYKvbjl4h25K1HY1aPo%2BlNHjFpmBFIP3IMmSW7rPcoM711zgw4yBT9h0Y1wZQUkA5FrBhGFfK5b2KAXRBSXiPKDoARiiSbT78ELmDpW%2FTepvfiUtlJGozCx9x0s2%2FklugbW%2FXbIDpLOb9zO5DlBtQHlZZ0%2BeTkPnTvwv2hdSV5ECLkKaYfXK2vgHMkMywHFoAMX%2BsW%2FRPJL4B9FtWKNylhNDHVSebKpitvxuQOXHTvHz3jeNeGkMB9wUP3mrgcPwKyyhKit8pGVaxiAWzcAuub0n5cXzqJg6vcLRLd45AJsaGD%2Bxc1GbITfh2mfVVbsGqyLw2sBDY5%2FM7Zbyu3a4Mph0yjLyoebmoZSyXrM5ei7%2BLOfTPQhWIJf%2FVnwvyzSMHPFBObmECRWb2sDeRwV3TRNhBEloMTor2wYwbDCgN%2FjjL2I9p0ib2uomqzlcGnqaWTE5xDb3eiukxWRrM7%2FMD5fauHAwQjNzXZsTveoK4N60mPXl%2BEiQ5RAqRkHVq4N3p7DHHbY8B7TsN%2BlUYhPYSmY4YpSBtZzoQ4PGR0cOQRSAKzX1w4tMR%2Fm2Fvl%2FlGz1Gho2SUkX%2FdpX6pEOPMbtw0aNa8iNu0eUoKHDfois61bgGnKGQAjobJRuo9UDDD0Q%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,16.380
Gaseosa Coca-cola Sabor Original 500 Ml,https://www.mercadolibre.com.ar/gaseosa-coca-cola-sabor-original-500-ml/p/MLA21614194?pdp_filters=category:MLA178700#searchVariation=MLA21614194&position=2&search_layout=stack&type=product&tracking_id=01e2d9b2-2e27-489b-89ae-cac1851ebb15,880
"Coca Cola Botella 2,25l Original Pack X8 Zetta Bebidas",https://articulo.mercadolibre.com.ar/MLA-905340768-coca-cola-botella-225l-original-pack-x8-zetta-bebidas-_JM#position=15&search_layout=stack&type=item&tracking_id=01e2d9b2-2e27-489b-89ae-cac1851ebb15,13.568
Coca Cola 2.25ml Gaseosa Original Menos Azúcares Pack X8,https://articulo.mercadolibre.com.ar/MLA-904840533-coca-cola-225ml-gaseosa-original-menos-azucares-pack-x8-_JM#position=16&search_layout=stack&type=item&tracking_id=01e2d9b2-2e27-489b-89ae-cac1851ebb15,16.380
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts X6 Botella Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=F4%2BEyHHf2emiBEhQMFnLvVgoAvjvG%2BC6E0rcWEGpL2pBwtVOGYjMCXN1rNRd6fRJXpFllnkct1Fq30njaDbObLK6NasjY8PL2LtcxwSb8%2Bw7Q8olH7iwfvMCXVdxov4jQMoIksfnj62jF6bA4aEUl04BflROJKE%2F1JuC83EDcpaOz0MFY8J2GFHUG0mNmC87ovZ%2FNuPcfkENxi0TZAhOLAk9AnR333q00mwPRPSP69m5%2FUDKlNLb3fEIB1JYx9V5f%2FtSqWiaDkBm4yka%2BEqj4zlYwqrs9sjkfPp10323MegBdsuTb%2FkvbZ6pnv2S%2BjWa%2FK2RybFqU9y52SB23IbO%2BtcFf6CwtS4BT6j0uPNWfCbVPIlcMbLnaqv1ur%2FRxTkyy4u0uGrMmotUvCMzh6tHxQR80PHBavpfd%2BY2rgm1awHaWTt4q7rT%2B2EkhyTvcnZyYYaeP3svKVm%2FAhijGv3veRg%2B0kTZvLSZAzFTNlFn2GVtfSZuwIo%2BqDCbtOUnqtYg7vdOfEYkS6qjkNOs1lMJcdIbZCBb6fHJ1XZSYvj1ImAhSksfHPJAcAx9O7M9msMewRqRTrrE%2B2LuBafKp4Rso0ZfxcojaQ6TAekOjP%2BfCLNlJUiu2p2NZGp2DLw6d3PYEMQYc%2FIhEP6MxlqK7iizSCUXeFYW1yPNKVVpZIzXeTgyF9KW8YekDZugc2qM5SlFR%2F2j22r5tOyXNwd6KpEcOMV723%2BC4A%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,13.800
"Gaseosa Coca Cola Zero Sin Azucar 2,25 Lts Botella Oferta",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=iOBUTwFR3%2BBgNy2x3HJHsaq7DHC7fARKrWk1upsMOuSYdvTzbGHxVlp9%2B7GGXCuO55OvtNOWrdH3%2FWWrVeqqjiExXDN4Nl23AR%2B42lsuPCw4wMtLRbzNis0xCm269nr3cv4Np9%2BdeWVcCzf6pBqLp4KCH2MHEUhDQOa9bVXzT73mobxEHeMVRGexLUlF5kdatQqFEqeT5v5GXh%2Bq1PufH49SVushGpbkGRok9K8pO4zG%2FDIPaCj95OVvTr8gfHhw%2BxDI2fq7j2dODQr9ezZpfh%2BOmgiVU5sTAlJQo5s7sFMv1JjCH7X6xZnHdJaxfZClok2gwVu2eDqZC2j%2BPp08gETHXfBe3kqG1RlsD86hXphM%2BGKolK7YhkvSVisCuqBX0aoZNoqxFybM%2F%2Bws0PrGCIvMr%2BQFFnThNu2LfBjsb5SshoHdeIQHEKyK45WI6RZxBxr4srFWvI316YZEgYAV1tjdn77LD7swgiR0cBRT7PUxxalsQGiyQx5WLAceqPYeTRdhWKRhh%2Bbu9rAUXHHXJfiK5GXKbubjdSEAdVxMr5bXL0woaroDjWudCE3ZR89N8I5mg6PYyt1geEnJJ7IzlPlSM1xA2lR8Bs1c1XtmDEKKHuX9%2BdN0N8fxmzZcL%2FwFv4FlJh7oX%2BjK4kLiJnFogokdJaPRCTKJ7vXIdpz9Rhvqez6ngJDPvXSufl2e9%2FHOws16OAaTm2RrDEo7YBKk9IYvI%2F%2BP&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,2.800
