Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Neumático Tsw Arisun Rapide Road Speed 700x28 Kevlar 60 Tpi Cor Negro,https://www.mercadolibre.com.ar/neumatico-tsw-arisun-rapide-road-speed-700x28-kevlar-60-tpi-cor-negro/p/MLA27209669?pdp_filters=category:MLA371625#searchVariation=MLA27209669&position=2&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,33.338,BERTOLINA BIKES,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1659885842,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Par Cubierta Schwalbe Delta Cruiser 700x28 B. Marron Color Negro/marron,https://www.mercadolibre.com.ar/par-cubierta-schwalbe-delta-cruiser-700x28-b-marron-color-negromarron/p/MLA27127273?pdp_filters=category:MLA371625#searchVariation=MLA27127273&position=11&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,72.990,CELERO BIKES,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1388646941,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Bici Ruta 700x25c Schwalbe Lugano 2 Crema - Color Negro Crema,https://www.mercadolibre.com.ar/cubierta-bici-ruta-700x25c-schwalbe-lugano-2-crema-color-negro-crema/p/MLA28279069?pdp_filters=category:MLA371625#searchVariation=MLA28279069&position=13&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,42.890,CELERO BIKES,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1587796932,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Schwalbe Lugano 2 700x28 Alambre Ruta K-guard 3 Color Negro,https://www.mercadolibre.com.ar/cubierta-schwalbe-lugano-2-700x28-alambre-ruta-k-guard-3-color-negro/p/MLA22642097?pdp_filters=category:MLA371625#searchVariation=MLA22642097&position=5&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,32.475,SALAS MULTIDEPORTES,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#1670649860,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
"Neumático Maxxis Detonator M203 Road 700x23c Arame, color negro",https://www.mercadolibre.com.ar/neumatico-maxxis-detonator-m203-road-700x23c-arame-color-negro/p/MLA30976282?pdp_filters=category:MLA371625#searchVariation=MLA30976282&position=8&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,22.872,BERTOLINA BIKES,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1669818258,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Llanta Maxxis Pursuer 700x28c Plegable,https://www.mercadolibre.com.ar/llanta-maxxis-pursuer-700x28c-plegable/p/MLA22554232?pdp_filters=category:MLA371625#searchVariation=MLA22554232&position=12&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,44.528,NITROBIKES SRL,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1527057502,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Continental Ultra Sport 700x28 Kevlar Frosted black,https://www.mercadolibre.com.ar/cubierta-continental-ultra-sport-700x28-kevlar-frosted-black/p/MLA27204037?pdp_filters=category:MLA371625#searchVariation=MLA27204037&position=4&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,77.700,SOLO BICI MENDOZA,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1391035219,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Bicicleta Ruta Gravel 700x28c Mitas Arrow R16 Kevlr Color Negro,https://www.mercadolibre.com.ar/cubierta-bicicleta-ruta-gravel-700x28c-mitas-arrow-r16-kevlr-color-negro/p/MLA22572200?pdp_filters=category:MLA371625#searchVariation=MLA22572200&position=3&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,78.500,MUTANTBAIKYSAS,Nuevo  |  +50 vendidos,(+5 disponibles),Nuevo  |  +50 vendidos,No disponible,#1530389092,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Llanta Bici Ruta Maxxis Re-fuse 700x28c Plegables Maxxshield Color Negro 700x28c,https://www.mercadolibre.com.ar/llanta-bici-ruta-maxxis-re-fuse-700x28c-plegables-maxxshield-color-negro-700x28c/p/MLA29030358?pdp_filters=category:MLA371625#searchVariation=MLA29030358&position=10&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,68.996,OSCAR_BIKESSS,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#1399613525,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Continental Ultra Sport 3 700x28 Kevlar-bikegarage Color Negro,https://www.mercadolibre.com.ar/cubierta-continental-ultra-sport-3-700x28-kevlar-bikegarage-color-negro/p/MLA27864905?pdp_filters=category:MLA371625#searchVariation=MLA27864905&position=7&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,65.500,BIKEGARAGE ARGENTINA,Nuevo  |  +5 vendidos,(4 disponibles),Nuevo  |  +5 vendidos,No disponible,#1636571584,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Panaracer Closer Plus 700x28 Protect Ruta - Celero Color Negro,https://www.mercadolibre.com.ar/cubierta-panaracer-closer-plus-700x28-protect-ruta-celero-color-negro/p/MLA28187850?pdp_filters=category:MLA371625#searchVariation=MLA28187850&position=6&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,60.201,CELERO BIKES,Nuevo  |  4 vendidos,(2 disponibles),Nuevo  |  4 vendidos,No disponible,#1570410160,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Neumáticos Continental Ultra Sport Ii 3 Kevlar Speed 28 700x28 Cor Negro,https://www.mercadolibre.com.ar/neumaticos-continental-ultra-sport-ii-3-kevlar-speed-28-700x28-cor-negro/p/MLA22605899?pdp_filters=category:MLA371625#searchVariation=MLA22605899&position=9&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,65.500,BIKEGARAGE ARGENTINA,Nuevo  |  2 vendidos,(4 disponibles),Nuevo  |  2 vendidos,No disponible,#1636584598,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Panaracer Cubierta Agilest Duro 700x28 Color Negro,https://www.mercadolibre.com.ar/panaracer-cubierta-agilest-duro-700x28-color-negro/p/MLA28279657?pdp_filters=category:MLA371625#searchVariation=MLA28279657&position=1&search_layout=stack&type=product&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,91.395,CELERO BIKES,Nuevo  |  2 vendidos,(4 disponibles),Nuevo  |  2 vendidos,No disponible,#1716871958,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Michelin Dynamic Sport 700x25 / 700x28 Ruta- Celero,https://articulo.mercadolibre.com.ar/MLA-1129892611-cubierta-michelin-dynamic-sport-700x25-700x28-ruta-celero-_JM#position=14&search_layout=stack&type=item&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,41.890,CELERO BIKES,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1129892611,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Kit X2 Cubierta Obor Mojo Stamina 700 X 28 Kevlar 700x28,https://articulo.mercadolibre.com.ar/MLA-1491190320-kit-x2-cubierta-obor-mojo-stamina-700-x-28-kevlar-700x28-_JM#position=15&search_layout=stack&type=item&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,51.176,GARIOTTI,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1491190320,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubierta Ruta Obor Firebolt Kevlar 700 X 28 60 Tpi 700x28,https://articulo.mercadolibre.com.ar/MLA-1349442981-cubierta-ruta-obor-firebolt-kevlar-700-x-28-60-tpi-700x28-_JM#position=16&search_layout=stack&type=item&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,28.423,GARIOTTI,Nuevo  |  +25 vendidos,(+50 disponibles),Nuevo  |  +25 vendidos,No disponible,#1349442981,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Cubiertas Ritech 700x28,https://articulo.mercadolibre.com.ar/MLA-925681306-cubiertas-ritech-700x28-_JM#position=17&search_layout=stack&type=item&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,22.000,CROTONBIKE,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#925681306,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
Kit X2 Cubierta Rct 700 X 28 (28-622) R28 X 1 5/8 X 1 1/8,https://articulo.mercadolibre.com.ar/MLA-1398555129-kit-x2-cubierta-rct-700-x-28-28-622-r28-x-1-58-x-1-18-_JM#position=18&search_layout=stack&type=item&tracking_id=17a7b5e6-0e7d-434b-acad-85a654595b5b,25.077,GARIOTTI,Nuevo  |  +5 vendidos,(+50 disponibles),Nuevo  |  +5 vendidos,No disponible,#1398555129,2024-04-22 13:50:06,Deportes y Fitness,Ciclismo,Repuestos,Cubiertas de Bicicleta
