Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=2&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,3.117,ECOMODICO,Nuevo  |  +50mil vendidos,(66 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1114123456,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Girasol Natura - Botella - 900 mL,https://www.mercadolibre.com.ar/girasol-natura-botella-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=7&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,1.971,ECOMODICO,Nuevo  |  +10mil vendidos,(506 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1114093225,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=8&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,3.424,ECOMODICO,Nuevo  |  +10mil vendidos,(451 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1155991556,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=12&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,6.175,ENOGARAGE,Nuevo  |  +10mil vendidos,(45 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1668603328,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Oliva Y Girasol Cocinero Ecobot X 900cc,https://www.mercadolibre.com.ar/aceite-de-oliva-y-girasol-cocinero-ecobot-x-900cc/p/MLA22045876?pdp_filters=category:MLA114008#searchVariation=MLA22045876&position=14&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,3.991,Ecomodico,Nuevo  |  +100 vendidos,(121 disponibles),Nuevo  |  +100 vendidos,No disponible,#1410458369,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://www.mercadolibre.com.ar/aceite-lira-oliva-y-girasol-15-lt/p/MLA23689710?pdp_filters=category:MLA114008#searchVariation=MLA23689710&position=17&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,5.999,UPSTORE RAMOS,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1396288825,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Bid. 5l,https://www.mercadolibre.com.ar/aceite-natura-girasol-bid-5l/p/MLA21393491?pdp_filters=category:MLA114008#searchVariation=MLA21393491&position=21&search_layout=stack&type=product&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,12.995,ROXYRO68,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1510666850,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Caja Aceite Girasol Molinos Cañuelas Vitamina E Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1387125576-caja-aceite-girasol-molinos-canuelas-vitamina-e-mejor-precio-_JM#position=28&search_layout=stack&type=item&tracking_id=6df7e191-105a-4a10-ad29-d9dc7a7a2740,43.620,MEJORPRECIO.COM.AR,Nuevo  |  +500 vendidos,(15 disponibles),Nuevo  |  +500 vendidos,No disponible,#1387125576,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Pack 6 Un. Aceite De Girasol Alto Oleico Granix X 750 Ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ItzoLXvsAXYESiiMBC7t%2BOdTj6Z3QZCRuUpbHKRGhRutkA4a0XNWQnN8tYxgtsF0Z8hiNy%2FxRUOP%2FkTiFf%2Bb5PFNxzSA77jxt5IlMwjblWuTpvMHZiiVoT3neHDN8UBf%2BIaEp0N7oGQemsjyWGPdrAfq00HrweYwVpW087cfxSlGCOmdtme1wAHtFWh1lkAtiPxiNsndE3tSiXEFK%2F8O9Bho5kDSVjH%2BmAyd0jMhvKZz1GHGkCKPTgFjQMs0yWhP%2B3QYUsWa0A5exXZzpa9z2v7MtOUEgfeH2c5mJobBbtUvimEv0JDmiiXUbvz%2By1JAvYuYpzF9s9gpUpetDQ%2Ft1NwrxE1nBAj4ysTgZXshvsUeH0QfNhNLo4vfQC8S0fWmwwMmSqvQ8sc3uFHrSwLN62lPqXzkyrDhm3KNlTG7j%2FjDiHKscrMFDuSje7aUXdZJPoTlrlAdWWRVQWYgWynXVhrGFBkpg2FohRXY1v2aJpWwoBAoxufjPsKC0SmZ2m6FXKbqJwDjQS%2BNvDtO78mpM71RI%2FI3w440rLiRZKIx%2BQgA%2FexAW1dIwV1kfXATI%2FbHrdD1ADF4%2FyvbecqWTI26cfGnnVh1KMD%2FTp5M9jPjFDGoYT5X8LB%2BuZ4qDwTGmPOfRBH8p3TmjCqWTZx1Zr2BNu1SLpA8%2BA3cWmpPdjiJZRtB3iT3cYFeics9WOb%2BXyyZUTYhWXZ7H%2BVHzkRaVKPe2tZ1&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,32.080,LEONVEGANO,Nuevo  |  +50 vendidos,(14 disponibles),Nuevo  |  +50 vendidos,No disponible,#1101065749,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Orgánico - Campo Claro X 1000cc (pack X2),https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=lmNEcwKEXSUGK9vkUULi1EjC%2FVBTeJKKySvX8uQctaeTMyDt4pMqcmFrbqDIUC2r0WtifdY8AIBxnox%2FsKWvBcjzZAl%2BqMZRCc280YzYrfuXyssev7vI2xJjfbu746WO4mHXX1qF%2BZtpAART%2BgH2p0C6B8%2B6Z52pSCzm4tkGh5DrYixKkzqWRW5x3YIuKguvKwhX0mGnFIkR5yX%2BhOqfk5hbrflKLYpmshSZ1L1%2FNNmkG%2BX%2BnW3kcCcJS05ud6InWijD8OYQZ0BELzhF8e1prETM%2FnmRr6NdvzvZb73IBLsw1mmxjG5Uk%2FlqiOZ%2B%2FbJ1qxMoAvBQa0kh8EZlwfeFkZ44ZLMdVWbA2%2Bve3KQGdiIUgzIWPgos%2Br%2FXa%2FcYcMWvQ%2FXeV27VSs2FCN%2BKIM9eIPhwvP8rNC4n9wmB8aeKFwVAR1HgbSUmvp7KipzjYqYJWbVsXmCymCvbZ0j1qBKBt0MEZBXqqKEF%2FbA4LddpeQ8psebBfh4amXjQnRtSC2hCnCnyn09662Fgsjexrs2S9Y1UAeRwocBARh91xv5oWclDn4I7dmLFoveWtgsGenfNu%2F%2BZw%2Bm43rOxY7m2MWdPxOp9Wpu3RZ84pJVm8xuj7r0ODyJzK7MHREfwkya2KELx7Z4M9CkMOwIfQ49UxTUBNhOarwXKR0mEB3Dac7s9OfAg28%2Fz0iJFYSbVD1R61AXm7AX6gSJgx1cqkB4Hv4D1aS%2Bb3ok%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,16.000,MULTIORGANICA,Nuevo  |  +5 vendidos,No disponible,Nuevo  |  +5 vendidos,No disponible,#1116788264,2024-03-04 10:41:22,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
