Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=2&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,3.260,Ecomodico,Nuevo  |  +50mil vendidos,(1534 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1114123456,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Girasol Natura - Botella - 900 mL,https://www.mercadolibre.com.ar/girasol-natura-botella-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=3&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,2.086,Mayorista Masivos,Nuevo  |  +10mil vendidos,(367 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1123869889,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=4&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,6.371,Ecomodico,Nuevo  |  +10mil vendidos,(102 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1131990047,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Oliva Green Olive Sabor Extra Virgen Intenso X5lts,https://www.mercadolibre.com.ar/oliva-green-olive-sabor-extra-virgen-intenso-x5lts/p/MLA28836598?pdp_filters=category:MLA114008#searchVariation=MLA28836598&position=5&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,17.150,GREEN.OLIVE,Nuevo  |  +1000 vendidos,(169 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398954615,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Lira botella 900 ml,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella-900-ml/p/MLA16010038?pdp_filters=category:MLA114008#searchVariation=MLA16010038&position=6&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,1.890,Ecomodico,Nuevo  |  +10mil vendidos,(893 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1130294110,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botellasin TACC 5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-5-l/p/MLA16010012?pdp_filters=category:MLA114008#searchVariation=MLA16010012&position=9&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,10.379,COMPRAR MARKET,Nuevo  |  +10mil vendidos,(30 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1389047487,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=12&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,3.293,Ecomodico,Nuevo  |  +10mil vendidos,(378 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1155991556,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Lira Oliva Y Girasol 1,5 Lt",https://www.mercadolibre.com.ar/aceite-lira-oliva-y-girasol-15-lt/p/MLA23689710?pdp_filters=category:MLA114008#searchVariation=MLA23689710&position=15&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,6.098,Ecomodico,Nuevo  |  +1000 vendidos,(234 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372848003,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Bid. 5l,https://www.mercadolibre.com.ar/aceite-natura-girasol-bid-5l/p/MLA21393491?pdp_filters=category:MLA114008#searchVariation=MLA21393491&position=16&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,12.995,ROXYRO68,Nuevo  |  +1000 vendidos,(18 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1510666850,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Natura aceite 100% maravilla botella 1,5l",https://www.mercadolibre.com.ar/natura-aceite-100-maravilla-botella-15l/p/MLA25576932?pdp_filters=category:MLA114008#searchVariation=MLA25576932&position=18&search_layout=stack&type=product&tracking_id=588818a5-dbae-4a04-aed8-7cf6d8ac8149,3.126,ENOGARAGE,Nuevo  |  +500 vendidos,(282 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1410899163,2024-03-31 00:41:58,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
