Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=11&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,2.963,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1109481795,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=7&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,5.669,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1668603328,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Natura botellasin TACC 900 ml ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=5&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,1.796,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1114093225,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Oliva Green Olive Sabor Extra Virgen Intenso X5lts,https://www.mercadolibre.com.ar/oliva-green-olive-sabor-extra-virgen-intenso-x5lts/p/MLA28836598?pdp_filters=category:MLA114008#searchVariation=MLA28836598&position=3&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,14.300,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1398954615,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite De Girasol Plus Cocinero Omega 9 Vitamina E 900ml,https://www.mercadolibre.com.ar/aceite-de-girasol-plus-cocinero-omega-9-vitamina-e-900ml/p/MLA19567150?pdp_filters=category:MLA114008#searchVariation=MLA19567150&position=6&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,2.065,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1168345328,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=12&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,3.244,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1155991556,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Lira botella 900 ml,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella-900-ml/p/MLA16010038?pdp_filters=category:MLA114008#searchVariation=MLA16010038&position=1&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,2.084,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1130294110,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite de girasol Lira botella1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella15-l/p/MLA16010000?pdp_filters=category:MLA114008#searchVariation=MLA16010000&position=4&search_layout=stack&type=product&tracking_id=597b2bff-a123-4763-a69d-89a3b8b259f8,3.380,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1146823145,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
Aceite Girasol 2 Und X 10lt - Ideal Restaurantes - Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qmeARk6%2FlmXbubXpZwNXlinuvSiGxiZZhVUFXDhyoUu1ZzL0s%2F7z%2FEj8FpqM6hRTYjU5Gw9x%2FsRx91Pv9rtckCxlOf%2BnsaKmRfp%2BzGDPW77Oola5Ziwwx%2Fxc27hhMTb1kl%2BfpSPiAokyPDT6Za9ZVRvPGumafYPFkUtd0UBfCK0a8lVowqJyOajqjVvD6xBNYjth2kfpedgKm7H%2Bon4VaBxBi0VMldfaxvxaK8Wuke%2BgCWu3Htl%2BBNSlpxWETmBLgkCKAE%2FK9W3YwjfOnWtaW7xor2M2PzK%2BRfCcVimxKGJGPms8R%2BZlz%2BZw4IoEk6escC3yUs5qqE3UhVGq5pMtwGB1PnFWX9wvmyzPN0XkiYgdDB0Jm6K0aa2meqh25L9BEIIx5lF3sMFjV%2BX1hsipN4D%2FxWaH7R5%2BytkStDXzCFa6eddqJ7GA5SX%2FoQ0jgmsrC%2F3kp87V8PEdXWzbZoxGvnZJON8je2ryda%2Fcawh5E2imMofhxVoJ0TaZ62YCA14RlENQcMDVNlxvsScqCDfPDXwAB24RK9i6bSOcvak7m7pIVspiiuFxooSKTiGC9o71h%2F6y8thSD4eaA5DeO6OK6mMJUCPLGkQo3v841u877sE%2FE%2FQLTTnyr%2FY22p7Q56aI6Gin9M92xacmGHG%2BCAkIk%2Bvk4P2PYlT27FZhpAY3IYTvLeOd4SaC5uipZJgP1JJKW%2BbQDzPYPoprOWHS9VlW8shL&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,53.035,No disponible,Nuevo  |  +25 vendidos,(+10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1364664311,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,Aceite Girasol
Aceite De Puro Girasol Alto Oleico Granix X 750 Ml X 6u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=HozNCn8GcCoW4xSsqubxXnVK%2BqFYbpPAx1PCE96nLKrQ9TrBQruh%2BPK7qTOGiPcApRos9NsnYb4P5%2Fty0DUmUy2MeGD4efLH%2F8KCzMCiSYHgeNv8cgTWaxZcPTrdKh2rnw0jtXqZjtqFa%2B8GJ55pvQg7uavxilwjEGN581KUHvbNp7bT8PttNtE1r2BAX2L2aHJiLxLLZ1LGDeIYJhBLlEYpbFy31hfN5H5ngNSc1PlRdFwI8IcKk3TW8vtQWu6rG2DCTZixizF%2Bx%2FQelphsHy6J46yr45IepGf7FjqaW5WIrNinc%2FxFtToFPhMOPb8mVyN%2B8IKJHzJLX2V84D2pbdOlDeEH9du6oBx0R9QellTWfQCJ8RD5Ix3wk%2BDD0VkERkv%2FOh0mkBt41%2BnQ8OKGTLSClqBHjkgvGThSw%2FIDTsyf8nGW%2BRfAzEoA5la0s6uFRAdm%2FNt9pqrISYusSQTgvdqCa5AlXOjXtTfgvax8qkJ6fYvAZ2krxwM6w1FCqOgl3bYtyqgmDCqAbDVng%2FmVl7CELaPCtabksiCawkHQwagWrUzdSpw8RECGGZYejfU%2Bz5tVxYJtLwBOY7tRz6USb%2Bs67fFdGxiNO%2BzBlj8aM6QAwmHD2huBQa4om%2F2gPu4ijJnhYkc1KbhgypbZZglVcVeGEmSZ%2BW%2FTcJ%2BZb%2BhovbJnlFJg8iQwprQDmeWFlcK4X%2B8qtjUc1UGicK68Pq%2BZI2%2FvMDs%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,30.250,No disponible,Nuevo  |  +5 vendidos,(+5 disponibles),Nuevo  |  +5 vendidos,No disponible,#1169118237,2024-06-04 16:57:49,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites,nan
