Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=1&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,768,LYDAR SRL,Nuevo  |  +5mil vendidos,(80 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397586831,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=5&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,772,Mayorista Masivos,Nuevo  |  +5mil vendidos,(35 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1249318883,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=11&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,671,LYDAR SRL,Nuevo  |  +100 vendidos,(27 disponibles),Nuevo  |  +100 vendidos,No disponible,#1476021722,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  con gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-con-gas-botella-500-ml/p/MLA16168870?pdp_filters=category:MLA413907#searchVariation=MLA16168870&position=22&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,432,LYDAR SRL,Nuevo  |  +500 vendidos,(261 disponibles),Nuevo  |  +500 vendidos,No disponible,#1475943476,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=24&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,549,LYDAR SRL,Nuevo  |  +100 vendidos,(68 disponibles),Nuevo  |  +100 vendidos,No disponible,#1595912612,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sin Gas X 6 Unidades,https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-x-6-unidades/p/MLA27285711?pdp_filters=category:MLA413907#searchVariation=MLA27285711&position=16&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,6.099,TAP GROCERY,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1391775879,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=15&search_layout=stack&type=product&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,2.446,Mayorista Masivos,Nuevo  |  +100 vendidos,(17 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sin Gas Nestle 1.5 Lt,https://articulo.mercadolibre.com.ar/MLA-1169855131-agua-sin-gas-nestle-15-lt-_JM#position=32&search_layout=stack&type=item&tracking_id=4d2b9bbc-eca5-44be-a4f4-f3d08e833278,1.080,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(985 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1169855131,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Acqua Panna Agua Mineral Sin Gas Pet Caja X24u 500ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7dc1QlxxXPkrAzSH%2FkHX4xAdtdy1iK9CMTeEvml8JL7y3lFz2dX%2FyDvZnkhtSvMbrHb2SQG9wIXa33icKDSMEUfNxD%2FWaBBmdmFkSjsokvN07DbjcyTGvpwHLEAyVkxktGOiyhZMHqGAJuxXZwLFQJeDooSHbwGsS8%2FupJrHzPrDILI4gRRoLDjDh94R7y%2BjZSg0aREqgDWRu8EuzqIHEBYuAFcVM%2B0u7cvX9hZyA%2BhflmNSYgahqlw9UqPnE%2FFnazpDkm9nm332jg98qJ2z%2F14%2FY7HkItv6e%2FskWrW1zp93s3n53t%2FIl2NpBOefnaSjTymnNSrlYtwgHsbU9vX3KvSiJv%2FBicgkfqMHgTArjVHkWI8wL1cvWzyVPTMoHf5ekxGH%2BZFLKqIDf9SzyLFcxVfH8mXErfN%2Bthj4XF9nhORwH6sM2uYhz5WyHJgK7UYLJg%2FPzY%2F2BzHGwrgyH5h60DWqAtQ7MMWJOimC2qwJtrVfzLcqJDRybqAZ4txQM8je3%2FfAJgLGl4HwEraoVStK2a4bMzpOlmU7kGZ6L7mnTfAowPx3rFuMvGMOqIM0KnswTUYRG9cGbH%2BoGAGS2b4Bz0Lg0M8130MXTotrIDpFawR4JsP2dKtFXBhRPOCmLUcM9E1nQuCXVqxnGRsxi1NGtqdzYLL6pigTr08KfjRR9Urc%2BjynamV48AcPZHUrMFscBd752PZM36oEqDsQqWIu&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,159.210,DISTRIBUIDORA BORRACHINES,Nuevo  |  +5 vendidos,(62 disponibles),Nuevo  |  +5 vendidos,No disponible,#1112883874,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 Acqua Panna Agua Mineral Sin Gas Pet Caja X12u 1000ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2BBSnIfxwSheofuAsuVNK0BUhHGRzStumkMFOKgfKWwSbrcyDkpPeuYBOPjrn%2B5sOO9w0LVb1DGf91h16%2FnsdpDaAwgOcR3Dcb4INPN7uSQ9eQYGgqWg%2FspDJJ9kljJ5mb2n9CKBeil6GFngbU4064h8pFH%2FA7%2B43vSkXWw%2BV88RuTWNkqd5j%2FcKBGLuHoVkfAAv%2FaIWpsgCt7%2FIj0zjrrGfj0WZOM%2BKMgJm1fDXOenyDvyKxgiQi%2BJc0ZT5BPMKrHrl2fDucxQrM9eDBTlsJaXLZY4pRovWFw01NLUhT3NhtmarnEWOL9qEpnC%2FxtFLzofwat%2BSw1fSOT0tS%2F%2FYdqGxzRmTDYgZiEC%2BFdzIusLLXnms%2Ffb75qTScLik1kEJ0t%2BK%2BOCotYAbyEc5RAfzKF5p8179H1X70%2BeNoSEMU%2Fj94ypjyvtGxo32g5gLJ3F32hYQ2CVL82%2FkRjo34zqdci7w3cWT9TPIIUHMvRHqJWOaI%2F1JVDKfsTKv14QIcTni%2FYm3lmfnuZd2noG34Xsx91rM%2BEkiCoCDGE6zZyOVm1XBY4u4J8xGAau1Do6Mbm3NcsEbyOlxhxDB%2B2dbqjtTZPIlP0giNmNK60oNWPtQ1Ika5JjThh3nsBhMMojx6AqZh9tY5GxSrhCzvIcxv2fJmk%2Bg1GJb9%2BCo%2F0hCBnSgssSKXzqVzEuO1I7riApir6UW8Di48wXSnMymueEu9sUTJG9QnmA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,93.463,DISTRIBUIDORA BORRACHINES,Nuevo  |  +25 vendidos,(22 disponibles),Nuevo  |  +25 vendidos,No disponible,#1111284479,2024-01-25 21:26:29,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
