Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=1&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,768,LYDAR SRL,Nuevo  |  +5mil vendidos,(46 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397586831,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=2&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,772,Mayorista Masivos,Nuevo  |  +5mil vendidos,(47 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1249318883,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  con gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-con-gas-botella-500-ml/p/MLA16168870?pdp_filters=category:MLA413907#searchVariation=MLA16168870&position=11&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,432,LYDAR SRL,Nuevo  |  +500 vendidos,(247 disponibles),Nuevo  |  +500 vendidos,No disponible,#1475943476,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=4&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,671,LYDAR SRL,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#1476021722,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sin Gas X 6 Unidades,https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-x-6-unidades/p/MLA27285711?pdp_filters=category:MLA413907#searchVariation=MLA27285711&position=3&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,6.099,TAP GROCERY,Nuevo  |  +50 vendidos,(2 disponibles),Nuevo  |  +50 vendidos,No disponible,#1391775879,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Vitality 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-vitality-750ml-x1/p/MLA28743491?pdp_filters=category:MLA413907#searchVariation=MLA28743491&position=6&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,549,LYDAR SRL,Nuevo  |  +100 vendidos,(65 disponibles),Nuevo  |  +100 vendidos,No disponible,#1595912612,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=5&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,2.446,Mayorista Masivos,Nuevo  |  +100 vendidos,(16 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Natural Sierra De Los Padres Pack 6,5 Lt X 2 Un",https://www.mercadolibre.com.ar/agua-mineral-natural-sierra-de-los-padres-pack-65-lt-x-2-un/p/MLA19754709?pdp_filters=category:MLA413907#searchVariation=MLA19754709&position=8&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,2.866,QUIRINO BEBIDAS,Nuevo  |  +1000 vendidos,(8 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1319297366,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Acqua Panna Agua Mineral Sin Gas Vidrio Caja X24u 250ml,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tWa3U3ZN3Udwyq%2FxUkIibnMbwUFUB6lxVhmvCuYojSdC3vADC2QBk6Yz4w%2BbrTrlvcLmzNLjrgr3%2F9rkbK4KK9%2BsmOjd80yHKTKnABx8NDQa%2B4uDEVUfxX%2FVHddYc3kzp%2BvKlgWk4%2FnZWwA4DZmOU7Sp6T9lGW0RCvnOw3syDu1xFZT%2BDnEDILZRjrKDkSPIyi5kmqg4cZ0cxDGkfSHjUI9FpzjxcNiaX8ekVj78PZwhXFniATJuvobZAQ8U%2Fvsqv6mDxXcSMywHPtUVH4TbHNQuF5fqT5qtrfeNHZpluaT2%2BVfdBohjOYneh1j1X0CmcHd8LnCriKdWa3s3nI1S0iq7%2FnjbGE7NF2eyosDQj%2FvHx5LgxgO5Di8hiGu51WAWaWzoha%2FsMGMWv7IrgkxoxupaujsQmJ6%2FE%2Bksvelf4JacPxolxu8KNVUzuZneF9U4h%2F3E9p4W44FeqfuJE5TlqkvLU9vcXVYwycqE65cQG7NNIqwCMnrsAin4UIUNXKDFalip8mxT51ZlLnXeIT8z%2F%2FX2Cndqrbk1vYFDJtHYzwLZPyYe%2FIXSN1iold5DoriIZKVT5uzUh0b%2FAPRjQ%2Bw3ay2B3zMoJLSmel51F4Qbc9NXFsfBCjHDcp344eDSllLiNBKz9v3v6XT%2B1f9x%2BJG%2B0Ljd8UIhodt6CwPJG38pu2V%2FtZjmNDuhNsXDr%2F3Yi8X66NlS3%2BzMkdrbVqH%2FVF6H5an8&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,103.180,DISTRIBUIDORA BORRACHINES,Nuevo  |  +50 vendidos,(64 disponibles),Nuevo  |  +50 vendidos,No disponible,#1132418724,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 Acqua Panna Agua Mineral Sin Gas Caja X12u 1lt.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=vdZJRhdvPasIR03n6wSSTDMQOGAz4OGCsjF2ayMlfvn5KUGGi68KiOSgF9zQBIWAmasmFsaLPwRN%2BudYgStIlSwOCaD43gcyjhZ97AzE4r0HG9V4ORWlIHd3exrUVG4La6uIMPYiLhg4%2B8LWwAay4Ck9JzuhhK2EnF%2BSzqf1MuQqx%2B2mvE0Io99h%2BrkcdcktwIXxPIAJpB62M0KUZUi5pEEa5pCBwTC1S4YvlLPmReZdvvjLJhx7p9TVLp8pL%2FZmzt%2FSxhyRZGQV61kzSnXh5AULuv5p6tp%2FOorxCF%2BhoGmQmDKFVtOu1xZABaqtuWKdJVwCvnm4n76LjAQUaILtOzeR7%2B3nuVd7k6ufY39q6pvhRZXIUvPKUXvJKq2IKfsVvfoVWtTmhjzI3HbKD1MFbjY0p1VyEasMej9lQqB4HJ%2BqrU5XlQHD1LnM9gl%2FGb6CoRKNO2IzUEbZLeBOMghbNx%2FTSFUeZq7eNxSuVmcKUzTst7bQluG3%2BLEHDuyUGnnBtcNyh%2B%2FMiSdyX8rl%2BOERQ7B7nYta%2BKNeBwpHLpLAUUfnBaqUn6vWhxE8yByx90xf%2B4utTTXuACtUy4R51v8etjsdktLYf0Cp3b6P2OsrgwiX3cpV3rKv8qeTdhahS8hzZBVE%2FEX7BDe2f51%2Fr0RN%2FXVqOHtWO9CJjZ4kJBq4qrCzcGaHfqrPfM0FZUQEWFwU8c8tyN9LGsqp&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,93.463,DISTRIBUIDORA BORRACHINES,Nuevo  |  +100 vendidos,(22 disponibles),Nuevo  |  +100 vendidos,No disponible,#899098243,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Natural Villamanaos 600gr Sin Gas,https://articulo.mercadolibre.com.ar/MLA-1563154258-agua-mineral-natural-villamanaos-600gr-sin-gas-_JM#position=31&search_layout=stack&type=item&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,304,ARTICULOS MOHE,Nuevo  |  +100 vendidos,(105 disponibles),Nuevo  |  +100 vendidos,No disponible,#1563154258,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Sport Cap 750 Cc,https://www.mercadolibre.com.ar/agua-villavicencio-sport-cap-750-cc/p/MLA19737992?pdp_filters=category:MLA413907#searchVariation=MLA19737992&position=7&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,1.325,TAP GROCERY,Nuevo  |  +1000 vendidos,(88 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223027468,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=32&search_layout=stack&type=item&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,26.938,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(546 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Delineador De Ojos Líquido Rimmel Exaggerate Wtprf X 2,5 Ml",https://www.mercadolibre.com.ar/delineador-de-ojos-liquido-rimmel-exaggerate-wtprf-x-25-ml/p/MLA19774673?pdp_filters=category:MLA413907#searchVariation=MLA19774673&position=13&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,13.500,PERFUMERÍA FIORANI,Nuevo  |  +1000 vendidos,(13 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1379749445,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Smart Water 1,5l",https://www.mercadolibre.com.ar/smart-water-15l/p/MLA19737996?pdp_filters=category:MLA413907#searchVariation=MLA19737996&position=12&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,1.150,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(68 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1563838054,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  2 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-2-l/p/MLA16168863?pdp_filters=category:MLA413907#searchVariation=MLA16168863&position=14&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,6.195,ROXYRO68,Nuevo  |  +5mil vendidos,(20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1160884909,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack X24 U 591ml Zetta Bebidas ,https://articulo.mercadolibre.com.ar/MLA-1363190682-agua-smart-water-sin-gas-pack-x24-u-591ml-zetta-bebidas-_JM#position=33&search_layout=stack&type=item&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,13.664,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(308 disponibles),Nuevo  |  +100 vendidos,No disponible,#1363190682,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Eco De Los Andes Con Gas 1,5l",https://articulo.mercadolibre.com.ar/MLA-1436001726-agua-mineral-eco-de-los-andes-con-gas-15l-_JM#position=34&search_layout=stack&type=item&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,754,LYDAR SRL,Nuevo  |  +1000 vendidos,(260 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1436001726,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Eco De Los Andes Con Gas 1,5l",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=G8%2BOPEWxSERz18ABgckQLiy2BitmF104PUmnJC5ShTYUqXSTOuKpPag0p95%2FrqhHyd4LVw1ybOIZ2g2Ly%2FRH%2B7yT%2BA4d31hI7jQ9%2FcjRTfUykJXzhud7T%2BIKOComUB%2Fzq9uSIzsoFpgIg8rdzNuIUtLk2DEVYZVPzdsmTKgPmQT952wibIcXVd%2FBbOsfuf4zXYeTF5shZ5FJT7xFTvJy9H7tJ%2FzH0NIA7d6A945A6Xj5BUE%2BFqzcApg7odh7HcrMhT%2Bjk%2B%2FMyqZqrPQxT%2Fn6Ml26z%2F03oGne9VB24yY80MP94bcaQS%2FK9PtGvBVzJukINtHUdRINcn3q1zyGep168m3bn1J9QlyuE6Mt7pJjBzFpT1KIc86ryN%2Bq05arBJTsmAk6ktk8GJNT0FETiroJEb1dlPIUiorlIFnGnu4jXXR6fWt1l0l1X3MUtbHZKfyXUjQo8WQnb18FwN4aJpEdpYIs2y%2BZ9thWrMKY7N7S%2F2mc1w2Kzh3AkK%2FGvm2UbT%2F3QTI%2BqrkOfPttxXei%2Bxv2BHH3HcSd8vjP9RMtH4uk3eKZy4NIeFx%2B%2FNtxlbFHO36YSEIpm%2Bi%2F93d0uM1OUf8JCz%2Fwm3WQvQEaIUZRBJ6ziGbgaxWu3MlF5pzWhwLiQpQ%2FgNhhLKD8jWEm4IzZGfW1Sw4S%2FZ21mvq8kwMPVWIVuRx2JQhpJLQEn3a55I21C11r7SX%2BfpB5&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,754,LYDAR SRL,Nuevo  |  +1000 vendidos,(260 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1436001726,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 1.5ml X6,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qNXkeeO8mGMnwOS41Xuc9VELFSPx7z%2BUp1W6NgpqhRcmsaL9obvdiNZV8ofavOJlxTrHRq%2BXj7bTLdnq38V06em1F0dYVX5cLb7ICgYfyV3PlrRT%2FaEdV3ww8EY7yEsK3k80W7VzBpvjRjktW50Q9IeNsQrTgYa3dC57yBF1kMFomHiPwP%2BZfXswgThVckIFEH87r3JUphFGHQ%2FF4xbZeylGRtZuvqMed76UCHYVMsrTFyFVg4xGLg4ZOwTEYpzv2SFuFwZyCHwUhOyYjkhQCQS5cXvsaJKTFzVs1cp5pq%2BScOgvsa6oAOlOKMfJ0QvGkZmuNyC9Kw8bfF12tsyGZtS%2BxJpYovVO5lHPnH3CN22tvoOl11D1sfKuLqjDTGeikTi1HmbndnRGmgaTCo4hz91BU9f%2Fo8y9HfcMMKVTBXr%2B1BYLQJlHBYpVJZWE1mlj8cTRh3Af8%2FkVfIb82RrXeCbDaP%2F2tawRO7IiacpKWHyzFDfqNkRmueSV3aSvGh8D0wG95GXoosbm%2Bb3ABypw3Oz8ScIX4Z66oHZzLmPnaHJaLRkDm%2FPuGiGupGG18w%2B1aDXdc0R6Tt6DcLLbjcLqkk%2F2MS9aW%2Bzgfx1foassJTTF2qFwrHW2aR%2FaUMRFhPkV4XMMImiEIyzbkfQZ7c9%2FaLkqNl0zavE3OaxPcLGQV7FSk2WnQ4lp%2FHQ9%2FMixVFHQdQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,4.222,LYDAR SRL,Nuevo  |  +25 vendidos,(11 disponibles),Nuevo  |  +25 vendidos,No disponible,#1364917409,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes sin gas botella 2 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-botella-2-l/p/MLA16168867?pdp_filters=category:MLA413907#searchVariation=MLA16168867&position=16&search_layout=stack&type=product&tracking_id=3ed2281c-759f-4326-b5fb-1a999e748ee3,1.448,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(103 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1556454706,2024-01-26 18:02:25,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
