Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=2&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,2.379,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=3&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,2.841,Mayorista Masivos,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=4&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=5&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,4.284,GALPONDEBEBIDAS,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1367242213,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=6&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,4.205,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400180705,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=8&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,9.799,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=11&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,2.124,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Defense 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-defense-750ml-x1/p/MLA29666966?pdp_filters=category:MLA413907#searchVariation=MLA29666966&position=12&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,1.332,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1413967165,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 48 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=WcpUbJETfIuBppt%2F%2F7TCMDLENMg4Rap0a57ORtFAhr2qdxMUkdYEGNpNXIVkcVEYdy0MehTG4lScoAqtOk77puLvlEPDc%2BGz4cq%2B7ixyoepE%2F4V8KFqzdLNHsZFfRE7GOllFBwSHOmeJlFHc5t6iWaztnC4CrNVJTAESyZuSc9hPf4nc9cSGGjWSxXgEXZI1PaHg8CsDir6xDvdC3kj1wW%2FkBAesWi4OJHd2Xq4ma8dIEXclfsGjChF5cA4JUaEbHmZQpWP6iuG5BPhT2s81UuELK4sbfM%2FvCpYovcviAx0BNxM3nI8bVkIF%2BDS%2B3gsqkXG6Md2JCjXYTDMt%2BS5zhA1N0fvsyRfycfKM1lWW2WaJCa%2Fe9iHbxknEy0CMk2DCX0vdAauRK6KD8IYJjCA%2FA1tkvZduipaF9gdEDfRUFQ%2FVZzPuX0bIATFLso3obqutF3%2BrC4%2FRo3%2BlnKrpHKlK%2BJvxbpkqT0Rt7rIa4bwzn2lyPllxhCrmRJixlKONytLcL9ZtCJqlTsxv2qR5XC50kvFUvE4IyQiOdO%2FkIrMx0i%2Ff0MyN8uyT%2F4d3GtUiRAmIHSLb2jzQuCpjJZRlFzlspj4aU3ts9KQ8tqNaWbcF4hfkzYdUuotiy38zjyksJMzCtGgL5ZyBUDa8DvwX4kry7e6oVXklCPTheis%2BJn5btyItT3LU57WmI%2BXcW40A3s0TpG9M7cwerJUIeQqIgjT9Lr1mNA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,48.128,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372314629,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Con Gas  Pack X12 500ml  - Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dsCwCtIzFUqsOpICXqY7IHi0KXMocl7561pPR0OLtMHNm2X3vftpp%2B9ZEyawtOgOUIXcF18Qa%2BweA%2BKCj1qfnx02an46Hx0V5r66hfU1pzmrR8ngMtqAlbc479LMVAdBOz%2BXhC4yFT1UTJPJk%2F7RPpbjDBhlnoMDesSvUyit7xhQOGfcIjDlcSabVWWIRGQViHsojkm1B6MYAwluiYooYy0r53tGfZKQfRc0m48IZ7egI8508zfcDsXFiOTw6ScViYVdelX5l9wX%2FlFD3ZvK3z1yej4mPrLM8suGuDNfnnpjNlriFhuAKK57ySL6mqt4FprtMOuOwrmMDMmIpDwHUxwQGqz6uIRXw%2BBhT2rCBmXm%2B4ruRAGL0RTyY2lAoP9f2jHHmkzmGy2CW%2BDSV%2FhWyXe8hTgb1Z3Ow8rvCRaQ%2F1p3mX23%2BkoaCZeiX1XD9yB%2BO%2BcNxRxEY5nnLPE5G%2F%2Bo0fPfeUwwMBcM6ZDr%2BO%2FTC456zAR6qEH%2FNHmteHHu2d0751K4y4wAe%2BOdqzEFxQ7PhayyqcfxJ0Z6kaPk4GM50FAyYjlM7hxucJ7JaPlzRSk9eYEK5zmJF%2Fx%2BoduvkBxUiLnwtBJEALG4vNMP8iPEZpBo%2BF2xHgWJ6IIyifeoyq46xfBFCe9e%2B5fwgFu176Tf1Q5MvLPfWZItCsR%2BSwKStxzHFYNrqheV1B988UEE8pOf6%2BFKo8uoju7IwUnl0xjBhU5RWx8A%2Bg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,13.642,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1121407616,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack 12 Botellas 600 Cc,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-pack-12-botellas-600-cc/p/MLA19737994?pdp_filters=category:MLA413907#searchVariation=MLA19737994&position=1&search_layout=stack&type=product&tracking_id=e4a0412b-69d1-4c10-90ef-bbfad9e70c5e,5.246,FULL 7X24,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1368027825,2024-04-08 14:46:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
