Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=14&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,2.379,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=21&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,2.841,Mayorista Masivos,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=5&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,975,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=3&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,4.284,GALPONDEBEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1367242213,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar+ Defense 750ml X1,https://www.mercadolibre.com.ar/agua-mineral-glaciar-defense-750ml-x1/p/MLA29666966?pdp_filters=category:MLA413907#searchVariation=MLA29666966&position=6&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,1.332,Cervecería y Maltería Quilmes,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1413967165,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=26&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Ko Sin Gas Libre De Sodio Premium Pack X12 Unid,https://www.mercadolibre.com.ar/agua-mineral-ko-sin-gas-libre-de-sodio-premium-pack-x12-unid/p/MLA22241414?pdp_filters=category:MLA413907#searchVariation=MLA22241414&position=1&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,7.999,CAPSULANDIA,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1427573730,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=4&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,2.124,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 48 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qw3%2F%2BSApXHzJwmgv7ft5drWCma%2FQCqY9D%2FaPGoHSJo7E9BaDgcd4IZOSjxq8OWISxDWavohNbQVsfSxS7jo8vmootXY7g%2BlNsHC%2FzCy5Kk2vIx0g3jKpJ7vZ75RDI6tgQcoKw%2BOWbP0y64PYk5pYOQuJ4jVBP0SZ5o4cMNuHEQ2a9L7nNPAC978qg20fbTW17Ec%2B9AWtCid9kXMF6WGVdZ%2BM2JUM2eTh8JbP%2FdYdtCNmJtzEK0oeX0kZuoMakSRpHsmwUKCi7FLZBMtEac8ncfQIoMvSBfhpack3NfUNyFyR6jlW%2Bi4clTv55LA%2BsviMZ1JdKTIH%2BNgrZuWq7ft894G%2BI3hn9auf5bgW808zZxSetkmfiqYwXAA%2F98MwAcFLkpsjsTIEwdM9PVuuiXWiWrHOiXoj%2Fi5rkS60Pz%2BRaQo3Lue1kF5Dh%2BU2AuS1LS7lul4wLqRphsVJuOVoy8wBS%2BIQC%2B%2BQQzT4CoTKSHHDElOHyDxji35qRDO3IQ7Nyaygq4p8xjV7Elm1guxcTO28N4BWSio%2Fl56nE8UFeFJDCEER6h13wqt%2BVJLmHMkzsCgwhaB1M7D6N5gHJ3L9ibD1KuV4qhnkE%2FM0EKd46qsFPTe3lSgEYKjvu8u8kdcgqvqO1LTDM9QfOB4chXsI6EOKSw7MxciwdDBuD0n0HCMOdcf4lVv9sK3Zvvif7j6INwIOi6z1dy7tAs%2BfHmhByVkOPFZgg%2Bjl&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,48.128,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372314629,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 36 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=TWJPR6eh47qrOiYd4upLpdllTcktyo7460tm1cTknnek82tb4K4OpPAiCFOqMFdCuJKLKS2Fs5bp8%2F2G6oO9t8KPgMEzYoBloeaa1QClIvRRHrRV7t3VLS8sRqZpdb8FuATLYHgQrgavoH0NmbYUQp0Sr4RvViZHerfRPIA2WboQ64%2F5Vyofn2xyNOj8S003284ZyFZUudC3nh6MJ4nxiNlxcZJ0Pqyhu3XumhWOn4SpcOjuu4E3Vt2mOXTOIV4BvNEsftQrofmvQebcVJ6ulTJWxP%2FNvh%2BRVcKWSApvW%2BmRo%2BJU02dStLc%2ByFT8R0pX5nKT3cbWzGi9bRt7%2B7tQHnpPRtyWiASbVFPVL6XfN9QJiJUpBhXGk08to2A6iohnw2Wn5qp3XJk%2BuAqAhCNrIJGuqzi%2BZm%2F3E0P%2FnqjYVob%2F7IzHiAi1V%2BmfmQx4GiUtL6RI5QBMb7romVB78DaddkqWwbF%2BfU7sTb%2Fj3%2BVGUVCtfnouGuoRDivaKQLwOdT0QLqC4lEc6ReuuecDIL2mVm4R5owHFjpHu492y3lV49rwlv2a33CN4yxu53wSXSi8xea14KaRrz%2B0KB5aeKD5ag9AuhMuZU5PUSuaT1Fhe795TtCKXEmKfRZ508M7PWJbSptae0SvpoVyQguF%2FBhZkOD23DKTAFbvQb2sR4ar4iyUO9E2S%2BBuKx6Qbjr9IJHr0PZ28y4sGffjtDKr4EzK4WHIYTXq&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,36.784,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372262997,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=7&search_layout=stack&type=product&tracking_id=e9336e01-50d3-4fa2-ae9a-16efba082812,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-10 12:08:24,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
