Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=2&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=3&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,2.656,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=4&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,2.799,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=5&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,6.384,Mayorista Masivos,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1218990579,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=6&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=7&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,5.100,CASA AMBAR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1216686806,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=8&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,7.779,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Botella Plastico San Pellegrino Gasificada X750 Italia,https://www.mercadolibre.com.ar/agua-botella-plastico-san-pellegrino-gasificada-x750-italia/p/MLA20728088?pdp_filters=category:MLA413907#searchVariation=MLA20728088&position=11&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,5.200,BARI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380881845,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 36 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=up1DFSxihGWqM7Sl2mOAdX13dZNbGqctga2rWnU3ia4QDtQtFf8in33a6f%2B9aWs2waVIoGfwvGvx%2BPAaJilOq8CUXFy0qEJ1j0hmzQUSrBaY0boOQWQ6Veh3xoxKUbd06UKGjLs2Sv%2BEO967pn88UTLP2SpN3ErmpwO0aaxhGwObaXUEpFubLwyENlVGKFuB2OJGStaJY9EHyCXMnXYpx8dqsGU5Mv6%2BWbP7DrWTQsJLHM8z7HGO9zlqGZ%2BehMpGmtprR65dGAda5wmFPkCcbftswwNLauILm8Q05%2BtPoSEJkO7aXbL0hKLwQtwu7QrVQ9cIjf6pemM0kye6VAqIlCDHC%2FhO0cUizDM2cDfetyrm0IurirKW8dceeL2IoFXtgD4%2BhzoIWdVZpdH3%2B9QoJW7Yq1YHDRjpwlHpUAOqlkENzRi5geYYrtzmKJrBIW7l6F%2BSAkszTzzVuVUzJ06Q04GA2pakDwfKPmo6RjJxntNQUW%2F2BknJ9m2LPdeUI2OTa4rfqrnbhS4%2FNaQb4%2FkahbGLtoeKi7pfKTYOrklKQ7pQWzMreQFt39V8KFdJSxrV2%2FFBVkj23Xk4hGCCu6Oq1LrM7PKiPAFMQ2iTwGKwP1wf1abuuZWMM2L6OW4R2JpxlmDGcttkRJ06a296UXzzje3LL6jAZq%2FAu9uIb1PHcW3uR0C5oxWHpCOfErjnZfKERIcyk%2Bcxhok6yHOtpivOOM1yPA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,40.206,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372262997,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Villavicencio Con Gas  Pack X12 500ml  - Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UjKH0bKbGfFOg75Wrkphgxgh0GD%2F7lXGVBZGrMYu3HomN9oaVopu1O%2B9gKkthVUEua13G7w6%2BIWOpoDJ%2BkscHseMSTrEYBgul%2BzEjEKU%2Fwhe5gtyn9qpxb4P6ZMnwFZr3oqQsWn3vOqlAP00cUZ%2BHnxBv9ornM1ZqVRddtLKSl02vG3mK2XSfKM%2BUMeWowjSGXCoqw8vFzrtiD4dlW2%2FLKTXZsTZlxNI9ieE%2FIHFQ5O%2F%2FDc9KRJ%2By%2BgVw94G7Iq%2FO81TBYwAB54%2FNoFOhOpTarQBQVN4GPEliJoq5qperz08NWJCnHCSMPiusdooGgLlRmahfjerxu9pmFh6xLV8DwhCCTvdjgBRGWBKVujYD%2Fc6M8R%2F%2B0UbIUiF1pE5o0zgc3RLCpqORFqKBM82kiBkSVPI3hbfIMst8ZxUgidBRjsofW9ArZmKqGKJZqJmEnVhPixU4gNQx3gBpyiL19bkLj5qobki7%2B4%2B66K1yxUGOgGAdGLQ0mOmmvo%2BlRIH3HGb1QTY%2BG5kZjSnkUaj42yf8FS0%2F1xxS1ViYusWHq1xQ2ui%2F57fVGDAXkWEN2spEDpJbvbPQEBB%2BmyR4dGGZLpgdTnqPl0RLgspytJoi5a74QtfkWCDsGWA8UtFRsCvjS6gt0HAfZ9gVZ63ozwmqs4tG9kMfjkvvoECka0Ras7Q2HgVOZlybUvnSbasGIr07qGYOiCfBdhmS9eEjd32QNtgX8FYXjo%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,15.580,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1121407616,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=12&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,20.868,BARI,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Ko Sin Gas Libre De Sodio Premium Pack X12 Unid,https://www.mercadolibre.com.ar/agua-mineral-ko-sin-gas-libre-de-sodio-premium-pack-x12-unid/p/MLA22241414?pdp_filters=category:MLA413907#searchVariation=MLA22241414&position=13&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,10.499,CAPSULANDIA,Nuevo  |  +500 vendidos,(4 disponibles),Nuevo  |  +500 vendidos,No disponible,#1427573730,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=14&search_layout=stack&type=product&tracking_id=bca3b5c2-ab48-40a7-b79c-515f26ca8f67,5.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1408976220,2024-04-16 13:14:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
