Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=2&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,2.125,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=3&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,2.656,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=5&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,932,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1407223399,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=1&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,4.284,GALPONDEBEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1367242213,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=6&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=8&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,2.643,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=13&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,962,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=16&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,925,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1720394768,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 36 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=BSKz0tvQApf0bWka8J5EyKrv6MDRBNDL7IC0cGkOQMLpgoOF63MpH3IausgY9DjfClHILVAqLIRDri%2F2iCglHXlaL4MjiWreJ8dMM0bR6mohiyfNkGJtWZ91C%2B3AsARlyV5mMNv%2BhGHIFzzTZq%2FB48BVN4j4Ow6LAq9iaB6QuhsZhiE5inHZHSaTGWaPsoK2Sp7wL70agFh0DNuRzXT%2FbIwvPaAn6cOOlwE4gPvKrNVIGE2UHz%2FqTpBWF784vIgyA6PSvNOXUOEqIxZJy3EeD4EU0GuCSZJKi78vuKMmXupdsOCnQmTyyKbQhIytMPXJwd%2FlUsZrNW%2FqEpYrLW%2BktMC9L7Rnd4dUt499danBxQnz0QTs7bNLhYshhagmTJBpx5B9zhhp77zZkjovNHh52hd3HhhLhPReyKLKBEBUvZA1Wd83gdMUjw7jG0PhvWlPa2fGqUOj%2BKnLtYhCywLMBhKxNbjDVKMoAOkHYPOlqrQM2P%2F25E7APNSSUj8oYsyGevxoF5yJiePSkUHEAfZ7wFnpNUjzdvn42F2oDAay0FrTQQxElLIk14VlBWM4qbIcOoz9xiRPd7rXjqSpiwDkU80yIY4OCA1vQnjM8jsFRncnbT%2F1tdaJEvG9s82lsrUxQ9BeKp6L2yUetOErEVWnEDVZbxSORzhmZEil11mxQmWDxGujJclUxE%2Bit1Y%2Bej4UJYhHfOfS9ygfGDasmVe7J2Tg5Xg2&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,40.206,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372262997,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 48 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=KjzlfnQoPY9iBknxQbnXlCAb5ZsLgovg%2BwwBd1EcmCdg%2BschnU8h2rDiB%2BhYXt%2BEHEwa1BZ%2Fn0CeWNST9MuJztgTvTriYxvn4MYY8%2Bjx7kw%2F2L9Er0yYHvYzcJDT4%2FO9IVXtrslCtHI9Tpg9r%2FHc8rZPe3C23vEvYRMe%2B8i41v8nxJeKsQ2CyiToh7rItaIcO%2BXKhF%2Fa62xFTci2nER6hZjuKGD3Vg73SE63w4A6TJQMKxydz4aKKkABr2zSxnfc%2BcU28YSjuel0TdvNHnqUtXflaJc17LFJeffb83Md3tmvuj7lGD8OLljDGR0aE9zvfLjDrJ%2BFmUq%2BTrEIPlCwdKghAs3bCHoTHMHPJSP4keqqCKS%2Bx%2FsHOQVwo3uNIoYjj2dQVOdeXw1HFUtdgeQ6ZhaC3oWHRjAzUEkcEvECiWnHuW9DojC%2F6wlBkBNCbJMX4HdbgjSelGDwhkvXBILz3NR8gZEr6vXdXCIGRsknJXrZBhjdSA7Qsd43wlJm%2BC93ca%2FaVYmkdSZj1B%2B2hTl9z%2BRxkCyL3j6mFFPapqpxAr6Wznu8%2FrLSMGdQa8nixnWfAR0KMG%2FJII%2FeJSoLdVupYVaZ6n04HCeT%2Fpm0ddg2NO5Qelj%2FAytKfO9JzIJQM%2Fnzqskf4HbLW6h7fuFb2D67gtTN%2Fx5DsiL6cdrBYyRvhF05Z72Eu%2BiyYnFQJmazA7UcWq3%2Bn3H3umR3UINVz34mVbrox0Jt&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,52.606,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1372314629,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=4&search_layout=stack&type=product&tracking_id=b27f4541-db5c-41ea-8775-71febda4ee3c,5.400,CASA AMBAR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1216686806,2024-04-17 14:13:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
