Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=2&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,2.125,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=3&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,2.656,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=4&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=5&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,4.284,GALPONDEBEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1367242213,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=6&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,932,Cervecería y Maltería Quilmes,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1407223399,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=7&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,2.024,Mayorista Masivos,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=8&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,2.799,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=11&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,3.609,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=WS6VUkT3%2FfXW7wIiGPHF1Uv4jyxqx%2F43P2dXNR3IHfTbVryt6b0HYb9OQGXD2nkxN7qZySXi%2FlLzM%2FD8I%2BGXZ%2FCFJcgg2aQn7g%2B5r%2BIH7qtxnTd5yNr0yNlanlO9wqQzs7wc6555xDRYjlvjw9ee47iUdieeZfw7EtVgGbiUKDeRROoN1sXO5rm3q6%2BQWk7mh3ZqVIj3%2F3CwmLwqyJGASnZwtvTFNPxjV7z6W7WzqMsetg5YyAhLQbp%2F8WafeVW14FGqNnjAnq7SRyPH63iKBOUZVEbRv5b%2FLl0Gwm3LCZIoA%2FmHBnDzKQo%2BNsMvYLGp9aO98k6YsiGAkFgPwFX%2BZxbM7MU6aVOsQFCqYrti21b%2Bh%2B6NrCfz4uWSLUoV2lbMp0vGkR6JXmRQkyiRC6AoLWJfplbf1AvHQH0jyYHDz%2BoSxQTmLMCW2mFkPP1skxgWjA6aEtY%2B%2B7inAa95OQr9OJst5s3WCly%2BVG%2FOmJSu%2BIxIfXx2Sdw3Opt55%2F%2BXFyZ0TaOOiszHrjvg2woyxTrju2uq%2F0qMLmrFx9pE6q2Xu1HBHvZRfpKZrR6t%2FBhrgdbPSK3Yp4wSd6Jms6AXhOF6fHc7XjBM7E1%2BaJAhR2XUbldTWnMQXOvCyEerlFg2AFJmYZOOJ3qRX1CYTm80NUz84q6a6t5G1pUXEtjFppRKo7CpgEZ1MSs0xiG%2BYJthAs5mbbFRue3jBW0xGwm%2FuO%2By0hI%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,31.176,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Pack X24  600 Cc Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UfEHZ26Tk%2Fw7eB%2Bjt2OloKMCYSUuBwY5fd0NRlVuXN2sEkSWfMz0RG0NSyYDZOmVjCzwxlYb9C%2Fsn7Hz5cSsbBL6w%2F5uZnbWHKPFF4lwnddXhcaXVerO9LV2m4a2F2wa3qhbg24CbIfmkbh1s8%2Fw7uI6jxuqjIhLX4ivohk9hVHo7y84vCwHQGoYjb8xIyJg%2BPhdNTXmR4iouThNJuq5lRjNdwSWvbj2kk3I9fJZWZCCLf475RpCNQ3Ny6BBQ1pgvjFW8IMSKnXeD%2BAfeZ8jkta8AR2dO%2F5GWuXF4qcs%2BY6mjCgh2GY2RwJE5vzAyQLJj2CX%2BfW2CtvV6ry7gkE6Q5HpJnlXcdZkPxwqbs2wVy7nDNZwCAIeMo15YgrQ3AZAJb1m5CVW1zPOVBSMcLX%2Ban0iPXJXibwQ6u5mFloz0AvRnr8ibKc9jjdv8RSqhQzv2fwySH5%2FIpmPIvoP1giWVK%2BLj8pPKPkLJ2BS28pMXf9WeVNlf5Q4vr1WruV8aAsavw2Otogsc5piot6qNi03wM5dr1Suc3io52kyVaRdNKTwRYkfJtkjH7jOObmuZ9tsYo06cH8y86JA01LZnwuI%2BL1Dv5ZKnh0ZxJCaCAoGMk4HN%2FvVhQE2HJXNIwzK6DwJiz3MpoKGbSEGEBE2MEIA2lx86slPaQVnCdGHEizwrH8pzUF8MdciZw1F8hLD67uriFEflCy52l9ZbdUx20b12dAHfX9QDQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,15.271,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1428018160,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=12&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,925,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1720394768,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=13&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,962,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra de los Padres con gas 500 ml 12 unidades,https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-con-gas-500-ml-12-unidades/p/MLA21724178?pdp_filters=category:MLA413907#searchVariation=MLA21724178&position=14&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,5.730,ZETTA BEBIDAS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1380303249,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Smart Water Sin Gas Pack 591ml X 6 U,https://www.mercadolibre.com.ar/agua-smart-water-sin-gas-pack-591ml-x-6-u/p/MLA19737998?pdp_filters=category:MLA413907#searchVariation=MLA19737998&position=15&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,3.832,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1237173981,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
 SLVDR agua mineral con gas en lata X12 unidades,https://www.mercadolibre.com.ar/slvdr-agua-mineral-con-gas-en-lata-x12-unidades/p/MLA20042438?pdp_filters=category:MLA413907#searchVariation=MLA20042438&position=16&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,10.499,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1408911428,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Con Gas Cellier 2lt,https://www.mercadolibre.com.ar/agua-con-gas-cellier-2lt/p/MLA19858970?pdp_filters=category:MLA413907#searchVariation=MLA19858970&position=17&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,1.162,GRUPO ELNENE,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1411247209,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes sin gas botella 2 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-botella-2-l/p/MLA16168867?pdp_filters=category:MLA413907#searchVariation=MLA16168867&position=18&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,1.553,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420172655,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Mineral Natural Sierra De Los Padres Pack 6,5 Lt X 2 Un",https://www.mercadolibre.com.ar/agua-mineral-natural-sierra-de-los-padres-pack-65-lt-x-2-un/p/MLA19754709?pdp_filters=category:MLA413907#searchVariation=MLA19754709&position=21&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,6.519,QUIRINO BEBIDAS,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1319297366,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=C5718FJ0%2FtGi4oILwccFGpwWhq5QS%2BDcI3B1qgxWuyG9H7s49QBhsbcLpwkV69y%2BI5k94eUJpw1%2FybkoQdCumbOruNzxGtT8uw0al0hetY2OjwR8k4X7qALK%2FlcHqqvKYRdg4H9ItePsbnmvDQlidjw99u0Gi2T2Z68SsJejswCAHrhhO8RnGMPhnwMpdVikzDxxLO8PhpOipt4FbIcF5vEO%2Fc87Qagm4JCaPOMHHOlwTSXNhOXsqZX9uPb66QF8pLbiJ2iW%2Bj0rr%2BE7H36bVyoDlUHQnAsu9etltPzoPc8Ig4735pmLjAbT5gF%2FFqeJ9BRynflMc4omvDWq3iG5RBTdrm0DjBuVLZwgDVhJ5j%2FITvUp7%2FBrqiwO4SZfWgkF%2FcMtmwc6DnxhUzFCd7lvWPf%2BF3LkTGGOh%2BlG8GCLY8NYK8cmb0ZP4bZU%2BIVu0ubopTUmjsri9K%2BlqhBjiYuMHzcErZVXdV43VrrieM%2BI%2F5Y1fmvYEDSlUJdo4myKDJdus05juny%2Bqs16M9QQTR2ErLdFYCTkFFn0jGRG%2BUUDmKPcTFG4j%2F9xlw8cSlfNqMHovk15KxhA9NZBnZg3BuImIOW9POWxhcyeL6iDStixCQo0V0d%2BnfnAQ76t%2FOw366oxvKiNfkFdBKj3BWxk8m9TL4qR4fCwbwpU2qgwpvUDwFfJSotjbKVz7ZAOTQRun0TgBBcg6VLjXkGsg%2F7Ln%2BBI1AsDTA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres Con Gas 500ml X48u Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=SNMbcpFH49pg5qqzd25MFU5F4LRErzHZv9jk9S%2BIO3Y60gzS0BkDp0S1%2BzhQRoBRm5JuWcPQd0irq9jfV7tVHJQC7Fm24UDUgUuMqiI1ctMzWo4SmbAguZE6ohZ%2B5PkV%2Fupg4OEd%2FLLglc837cMSiyWG05s8cQkCENzYsezJSE8X0sJd09ZgoVwHfgrHHIf3frepjmiL3FSob91zWEe3AodyCFEjM%2Fgit3VVMQ6ZyZr2ZR1BA3Cr2RfhvtbTiPFKx8eHrerZym6ENDhV%2FqnoY168ooF7vqeaFje%2Bua5X594eAAe3aJ3R2IWpYfqvVxTX3bOksWK4Pagl%2BxThPd1%2BGwILomKduF0ce8%2BPyOPyHwZaON7NtpGa9QyKETL52mA6Tyj9swTSXInaQrgNyiqNwF0SIBZ2F9kFNnmPC2FJhFpCgwJVd5h%2BJjB8Uv3DJE8S0k2DQTpzs6Z1PaugBI5g7DOpFJ%2FO9hn5Q2T8xpWkFGuRaGC1j%2FOiAVLJYaC3pC55SYk6fqFCUzNyW%2BjLdJWH2jbf5oSqt77Wg8VxFFMd%2Bst4eE2y0s0Cxk0fRbibLcMllS3NmG2pgfxIABiixd66j0SZ9Dy8McIJTTtYan%2BneKYBRgPGCMGrYHJcqXlyiS29d5Ej13hg6ObU3COCTgMaoHgJhhYvzZIY3ZRf1gsh37Ui%2BCZ4okNa0y6EiBf6RUV4znIR3b2NyGa39H694SVtKGQGm0%2BHP0bn&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.823,ZETTA BEBIDAS,Nuevo  |  +25 vendidos,(+20 disponibles),Nuevo  |  +25 vendidos,No disponible,#1371898203,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Botella Plastico San Pellegrino Gasificada X750 Italia,https://www.mercadolibre.com.ar/agua-botella-plastico-san-pellegrino-gasificada-x750-italia/p/MLA20728088?pdp_filters=category:MLA413907#searchVariation=MLA20728088&position=22&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,6.500,DISTRIBUIDORA BARI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380881845,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=23&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,658,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=24&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,20.868,DISTRIBUIDORA BARI,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Sin Gas Slvdr X 6 Und Lata 473 Cm³ ,https://www.mercadolibre.com.ar/agua-mineral-sin-gas-slvdr-x-6-und-lata-473-cm/p/MLA21029572?pdp_filters=category:MLA413907#searchVariation=MLA21029572&position=25&search_layout=stack&type=product&tracking_id=026dd827-1e93-48aa-a14b-788f4a293d92,5.999,CAPSULANDIA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1408976220,2024-04-22 10:05:04,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
