Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=6&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,2.125,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Cellier 2lt,https://www.mercadolibre.com.ar/agua-cellier-2lt/p/MLA19737997?pdp_filters=category:MLA413907#searchVariation=MLA19737997&position=11&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,820,Mayorista Masivos,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1249318883,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=15&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,2.799,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=4&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-15-l/p/MLA16168877?pdp_filters=category:MLA413907#searchVariation=MLA16168877&position=5&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,921,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#927110757,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Eco de los Andes Sin gas  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-sin-gas-botella-15-l/p/MLA16168869?pdp_filters=category:MLA413907#searchVariation=MLA16168869&position=8&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,925,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1720394768,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Sierra De Los Padres 600cc,https://articulo.mercadolibre.com.ar/MLA-1172769241-agua-sierra-de-los-padres-600cc-_JM#position=31&search_layout=stack&type=item&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,337,Mayorista Masivos,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1172769241,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=13&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,2.499,TAP GROCERY,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ToI9IP0KPDCA7bPA8eX133y8gF7p2IXR0%2FqWPhTm7WjtXVCpRiZZ%2BYMb4lxUxXNlNN%2BTqaFuPTXoGm6%2B%2FhnuNn7CarNbXynxdELxgzZG%2FYNQRu2eqgRurPqKsvyt4FGdS9eCbAbXbWMTTIMfRbeXqvifq1KDNYlvjsEiboNhEIvlyjRn%2BZqPIW9P6HdzvLUqCGuYseJJZfheJeEGFmBWNSQNRGYAH6ZNSWPpVxMtzPVQW83BmthGFKLs7dwSQaVDdcvhntnhRVbrVY1cpxHfHeyF%2FBxrnaRU%2BzNnm3GFhE%2Fk%2F4X7uAMHVH8Y36j28uI%2Bx0xNanfE6Yv7v4okPTAjvxPGee3y4xIwglgCcoqimYjaZc7kinN%2FULIMdcK9z9tbYFi2JCrVuduLpWGt%2BuN6xzVOVxg%2BRvGALuFe%2FDls7dtgr2xw56kdLWC2JYZPwGxXauwNPvkIH0b%2FKYzafL7uQFtF081y2fpPyNQx1rf1%2Bmbz9avrW7frc%2Bu3o5sfqJIV7q8wyUuSfnXUvz%2BeVOmQMvUh50Wtxs3jtFcOCnJulYh8weJtbYuHnDIY%2F5fk7Fg37wQ5nTuXtAHpBi37W%2FCHC2iXYVpRWJyvsoee9OmQ4DnmxccT%2FfUoZO58QeobSI0bGcdRPXyu%2BKQqm6krlFIbeYScMYeZI3VojBwRvqEpXHznIm0ivI0h4VPbSEknkLIG7UiGBgnpLiE%2Fzb%2B74Qclvab3h%2FbOLw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,21.124,LA BARRA,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio Sport 750ml Sin Gas Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0%2BZFCT12kDo7LR4ZBVLXGA0E0Jqpi90yK%2BPYntRmZPAn9rDG6VVEUtj1W858E2VzjgyhVYTrhf4nMU%2FvWBTgXXxunWqoIQKl9uphHW9MOeqz5BTuN1jmLXKiTodowTcn9TQsHw6tW8XeeH0y7LJJUn0FtZZ3dpxPFCFg2yZvKCJfHUMZDrnj58nNQXKdeRiCbxRyQdBSAlmHwll4CILKdjSdgD9ewm%2B5R8AY7dDpgjfXAoj%2ByKcTt6W5uW59c%2BZStZutHw06jG674VDgT5MikgOuokHIpWQTbGb%2BOgeqIlN92m%2F0hKJaViTYzQOQ22KOKTHvCTSPKAhg06SxfI0EpwCGFxwx%2FcBmGnbbVorAhcuREvPyJ%2F9NhnHHwtN4wJsYR3LPeqyghPMMlJSYer%2FcqmJaKulcWh7fNBEe1EvOqdXazPfxf1uM%2BEQD3EGl8MRw8XRWCR2L0Fowzjo77XSrjP%2F6OuOv%2B%2BeKceT3IggTZdbdzh4pvo3elj8b3%2Fr4117%2BgYu3rT8JQukJaK8ajxUOmw%2F60t8H2UJI3LLo5CpKjHxDljmd6TjhegV3fcc3X8%2FBMoMH2Ru6tIxpar%2BQRyy14JTdy0zjh3Pkcg05WwNt3YYr0rKni%2FbmJpbeXcfs4MVbFSWCsakMQiTLPQJxt8pruAI9Xd6Gqtt5fT24PDF0kt7sM3FYkfBVWJwnVT6W%2Fy9CmGxM8ePnTiUmAs2nY1VxnYzi7zg%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,18.727,LA BARRA,Nuevo  |  +50 vendidos,(+20 disponibles),Nuevo  |  +50 vendidos,No disponible,#1494786272,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=1&search_layout=stack&type=product&tracking_id=e28e61ca-8456-4c64-a070-23cd0de9955f,3.320,ZETTA BEBIDAS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400180705,2024-04-29 10:29:53,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
