Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=2&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,2.158,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=3&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,2.698,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=4&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,1.847,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1157642536,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=5&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=6&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,1.749,TAP GROCERY,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-898613883-villavicencio-500ml-agua-sin-gas-pack-x-12-zetta-bebidas-_JM#position=30&search_layout=stack&type=item&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=7&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,748,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=8&search_layout=stack&type=product&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,975,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Sin Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=8wEKblB1kZxndiJoC6SXgdB0Z%2BOFqMKbw26hq1zN%2Fi2%2BrFRkzJ8zh4Ll9hlJpP9o%2FZiwIOSkRKv27ThkIQqe5nwfNcwCGON2usutISQ2BiYMJLucjUqm3V%2FjuEaUbgfKF0kEsdTUZzZXhe4tDmS5NOHDLccNDokGCEsDEbojf5yr2rvi9gtptz50XL%2BfU3ZZZcGLhzjP6X6cge2WRuHAB%2B1SLYLTcq5ul0xMy02UhdsOoV6CrQr4LiWmPTgdhScfg%2FWYag6AOm5RDd5qH3RMU7devOKzFs6R60yn%2Bjk5OO5vQ2aJa1GnSyq1ROrehq8ozOzVQa%2F6sR6HrWx6wbcYKkkuwf7bH7%2Fckd%2Fy4eRiTYJqeEs2o9Eq4k%2BKRnEOux7yulB6wyiacuicp3mWy6L6dytxIsGvykRr3feq9KDiuoJYjCyz4HnfxYXCay19nMtGPZ2VD%2FNLDsc0d%2FZkGHAVjqlqWEQchWjcscrLOv%2B6nSrzK1T%2FuXgFfBLSbQVQ1A6YVo15iEveyOOZQUJ9kQkPf3Yd9SGFsD60sEYNlaOmGbu2TUqd1k7DloV%2Fsak8DCR6p5oXPHmxmJBw4kXR2eysWxnD%2BJZZoX6RPe%2Fn5IOozD1njxzq0pHosbBMScjdO2v0vkd8cwQcuMHr35qNpCKf6mGuqFtdUbC5cCfkwjTC5aJ3vCjydf6netloPUItou7joQmRxEdPMp%2B%2BA%2BHTcqrGa9tjCzSq&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.454,LA BARRA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386397529,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Sensor Deposito Refrigerante Nivel De Agua Para Ford Cargo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bZXZPadl%2B3y0Mw7%2FYX4cKQ90tCjz2wL2LA5ltWri%2BwsHhB38tswYpjtT8QLGIO3lri%2BbNDGV8YSjiqMzmcENvdtoFLjpwCB3pjjab%2F%2FO6jztagGrHUhtOC1whPDugVYyOOHNQFgW4uNWhf%2FSnDZR52bXkeritLeAIFX%2BFpjIoRLi%2BiHgnS6ADMJdV9N7utyLnJaEdzI18ANKvqqnbyWFIoaq09qNqGcQrQ0HSNIe8vDuK1kTlrkH%2Bl3hBP%2Fyfyib8N4d3XfQugObqpIWkkEaZTdhe0fsqMBEfgEm5KZxvPJ8UDiE4Es2irIg3c8bKydxos5%2FM9bedS5bOggWLvsFFlmtFf0um0QmYEpmOmG91NZFNzmqH8bxNr7Qnj8nGrvHiGFru7MVB2PfXWBasKxzg4pMSnSObcmo0escZEPA40jO%2FIMbr2aIs%2FFI3nFq%2Fl0R%2BvLdlZCW5Ur5KO1mfrIyU5XoHVobuAhcYD0xPa%2B61DdsQUbrLIb7GqwIQOPL%2FbX8MNApwvdr3PL3Vo%2Fee%2BoKAscpHOfCCuEVfe6nqut5UiqqulO8EC0n70WaGhg%2BhGRU7WxKvI95FO4i6CJm1uBYZ0bPIg6WFD%2FQceyP1u%2FneQDmDq96XxfTjmFDaK2KjI5I5OlUPPAUKrbPSaBnR4c%2BPyfH7mOQlb5OKoGMxf1kgdljR0d%2F2BEjhJGW3fscG6N2cvagfJI0Pkv9g52fIyU%2Fm972o%2BS1CyQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,50.799,HEAVY PARTS,Nuevo  |  1 vendido,No disponible,Nuevo  |  1 vendido,No disponible,#1338768597,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Glaciar Sin Gas 2l,https://articulo.mercadolibre.com.ar/MLA-1407197613-agua-mineral-glaciar-sin-gas-2l-_JM#position=31&search_layout=stack&type=item&tracking_id=7444e945-67f4-4e14-9be6-f986d5d1948c,1.087,Cervecería y Maltería Quilmes,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1407197613,2024-05-18 14:01:43,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
