Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=2&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,2.158,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=3&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,2.698,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=4&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.847,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1157642536,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=5&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=6&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,1.749,TAP GROCERY,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=7&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,3.867,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,No disponible,Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=8&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,748,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=11&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,975,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Sin Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ReQeCPUDrrUIIhgVd6DLDjsgceyjc%2BSdZA5fmOtYmBIFZ2nqWrNNX218iPq%2B1VgRrq2E60sZmABcm5vCkmmMJHMyBe77wKHzPB%2BSVMsNakwdfRe0fM%2Bdh2FMX%2Fbg6cBn5C0fxBUkUUhrROuoH6HiUnoESiLYiE4jqXyNjFGO5mkVlrjYZfi8ZsI6JvYERGiR0EO6XXjXj6P2lrZOl8EsgeDyQ89ZoOEfdolD%2FINsGHVZjCPLIfB9HcB82kAokxt8WeqmOilHBzL0DYuXdwvt7ELW1Pmk2S6IeQ%2FigxVZh%2B4OzBB5wCYy1BjdTotoLnaYql2huCObOgWp%2BL%2F5HFiQCTw9m1uCw9fpYHoJAHVWXO9pGcGJSyJ%2F7sTkWIPiW45CZ8yvi%2BPnYB8sXV5mfbg2ugWKkQvHapHAVzj%2Fu4kN0J96vMW%2F3dSWpS2PUy9aiXltukOuIQNxVrHVeIkdmh6zLmvmSBsbecAwfb%2BaJ25llX3OQFZtbHHY05OH9%2BYkxqCPBsB2nvQIHiJYa%2BxNLNg11eF8g%2B1Xf5Gj08MbZQgga1S%2F4vvJpHp%2BQ2SHRwmXFzQ%2BDR3DgQ04XgffYbx3V5SMVSJNThb8PCLozpBwXntIknnYd8IN9fyu26s4FDNT6%2F7%2FzvyR6GDDhzaKQNet9hU8g7cIgXjX%2BL5yZOrDJki9%2By560Zf%2FUYWY%2BKQL7qnXGRD2NHub95FOLJ9%2BMXNH0qJaVG8ZrcNFUg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.454,LA BARRA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386397529,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UJ3bDkiP%2BcnngAgUgYZqjGAWhE21dpFArrcRu1STACQr2q4wj1CTkxyL5kPHFzN%2BjcOegOXK8%2Byg32bcB3tnheV8YKycwmhNSkEEKgeNsIpBBmRCjYDLc4tmtfUVrU9ZehzKP1nH9wYrlSZuwWId%2BAXOMZQOoj5LG%2FD%2BzzsvxB4jqPMmXg2XHbPmXgABQuop1M8hs2%2Frbb8yY9IZ5OR3Omru6Bc0ccLZAU3wTTodlyPs5K7lXxzygzLzP5BIRtbYxW%2FGIQ9FVSwrow50wwBSs0VvNzeTL0VfC6YnsCBjL5n%2FQTzntP48ScA%2BAYvb8NwYSaDOVhEliviEFOAm6Jpo%2F8O1TJ7MtcnVFuPmXizgYFs%2F69T32fu6bqMedEDEnKPF7ltz36HbfJ52N%2FBLQahXh9bVbkniI1JQVZdTOZy5BbJPJUq0u32ch%2Bg8solIXf10ZpTrEFwyu9fQfplePTJJ0D6LdS9QU2%2Bs7Ny4bAwglV%2BiNiF0%2B3FbET6YH7yI%2F8RbB266Sq58D4zF0wXZw8rK%2BxoRnHyK%2BqJU0Xjy%2BZdRQ6Ag1wDsJjU7tmw%2F3FuRn5eqJcYdSlXyhcVeRSfA03CR9TURpmW%2BHrNkoqjpjljhveRZvBXqLqpgKfLoKatn7CcSgN02hASkSEMEH7HchN1Q9nNRYIa%2B%2F3LYmg%2FgsHoeFFRiv1NqyNKKVG2exWygY7kOK6zaaeNZ64v8xwLIVn37R9PkKSKn&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-898613883-villavicencio-500ml-agua-sin-gas-pack-x-12-zetta-bebidas-_JM#position=31&search_layout=stack&type=item&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Nestlé Pureza Vital  sin gas   botella  2.25 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-225-l/p/MLA16247025?pdp_filters=category:MLA413907#searchVariation=MLA16247025&position=12&search_layout=stack&type=product&tracking_id=b197582a-7112-4b99-b32c-e4669512be54,926,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1668577428,2024-05-20 09:59:38,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
