Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=2&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,2.158,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=3&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.847,TAP GROCERY,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1157642536,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=4&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,2.698,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=5&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,2.844,GREENANDML,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=6&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,1.749,TAP GROCERY,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=7&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,5.323,ZETTA BEBIDAS,Nuevo  |  +100 vendidos,(+5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Eco De Los Andes 850ml,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-850ml/p/MLA28712826?pdp_filters=category:MLA413907#searchVariation=MLA28712826&position=8&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,975,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1691492640,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua mineral Glaciar  sin gas   botella  500 mL  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-botella-500-ml/p/MLA16168857?pdp_filters=category:MLA413907#searchVariation=MLA16168857&position=11&search_layout=stack&type=product&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,748,Cervecería y Maltería Quilmes,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1741747974,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Sin Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QV46IrTh4Bg0XGWt1nLRt%2FWtsF02p98jJ2Bp06hLbbqD6OTiTyQSlp5jUqxJgKpEKbzIF0B68pFefH0DFx7Rl8WtPoBUBXQDP6hLcoenIjdsYKg6GfW2PQGSXTxg5DjuuQ9V%2Fx2NrY02EOiORPQw9cCHEerGK%2B2iXtn3Svo%2BqGCx6Q3rWPa%2F8Bxz11baRN6B9n9fce0h8QwQL%2BWtLiJkT0GG9xw3nr3Rb7YvhLTNUh%2BLnbKj1OPqlwYqGmgAUqJ4fqubyDRa9s1vRFQnyvVWd067z9c%2FpmNV11SEW9hfYX6j13obevYmaFAdoTzNW%2Bq%2BAkYl6VFSeXqkQQU6uh0sOvodPP1BHks7QaHpPrCthjp9m0XBHFvvFy0fqxUfUNoo0WrbNbvDF6XratHtF%2FGdv3DTHc%2BUEsPQkb8uiUA4W%2FMG07%2F2ljda3El%2F4EflHYlUsknM2BjJhXhYDMNGrBH%2B1CyK%2BrcOFDK%2B8yfXCv4VLi8CvL0Ox7RsrOw804sX1rZgk4%2FnjlW2VBZwOwMAxZJadehdXtzGq%2B4tKSeF0NJ2ZNXwn2gJvVVR2kTVPo2UDQTupNS1yywUenpj7MrU%2BxAYNdo4dyMXwYh6bFBjWZxDwxzthcrfdoZALGOjWaLCYwe6SkXPb4faWstCxOsoNQEESek5JHmqM7BXy8dmkJzK4b7wcAgvMMV7db3keRmhIWUstGdbCFydzZq%2BVk5w0xqX%2FWVchGY%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,6.454,LA BARRA,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1386397529,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Agua Mineral Villavicencio 500ml Con Gas La Barra Pack X12,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=i8YHVJnMq5JVAfqgL%2BuvGJiFUVnbLrNaRrCENLgnKR%2BI4A%2FW%2B3Tavy97m0YDjDP5Xn05Ao99Aw884JClQhapyTMfLq2gaypqHsMWLYVbc8XZKbFMe8rbPaaGugobyx0QS0I0qZEqt9QzTunqp2Cs%2Bdetk09UlIyjnr0%2FYe9i16sV%2F1csCjJmFVAm07h00ed30zA8doXV2TYEauhQgpo2nqoAOr6uILBXr9%2FPP3oPG95yvdqxELKEPRSHCSopSf8nkV6jsWJcleFyfwKuVPDiRDBAj8yMMcmpsVuB0yPnmbS0lIolXqG%2Fq4jczl2UnizmMItP7hMWC98Cy%2FFA1B7L47Dhzg56%2FqakxRF9ACQ%2FrSRoSJbpav%2FWhL5KN2r3puDDqKazoc%2BhgHwaB4RsuNd8I8dyLEiNNg3%2Fkk%2BRqcz27ABpdaEzWU6wsGoJs3L51DZtAxWhdCGDC%2FEtHX0F8UnUBpSrP1CEIssGBJGQnlK0lIFa8oknuz%2F4NN9z%2FhHu4wN5ELJ89VL5leK%2B03qLrrPM%2BkwrSf2lnEdoANc4BA%2FJ7uXeFyd7cFnl09fCkby9RzEgSPEL4In24mzEh15MVUHYqKuVj6zJSVITVLzlX%2BRXQ0xQDO06ZNns0JDaKzDDbt6pcegphMKNOA0sxhLKEritrGoGkTzybDpYlfy1wTcZOKxLZ0oKAk2oNe9CZJw5VpVgO7N%2BN%2BPBXyR1xZVBQckGnOhP5HWkaq8HIg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,12.909,LA BARRA,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1494921946,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-898613883-villavicencio-500ml-agua-sin-gas-pack-x-12-zetta-bebidas-_JM#position=33&search_layout=stack&type=item&tracking_id=0a4a3dd5-f342-4b62-8ba9-9243636d3a28,9.537,ZETTA BEBIDAS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-05-20 17:30:55,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales
