Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Villavicencio Agua Mineral Sin Gas 2 Litros.,https://www.mercadolibre.com.ar/villavicencio-agua-mineral-sin-gas-2-litros/p/MLA19538577?pdp_filters=category:MLA413907#searchVariation=MLA19538577&position=2&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,2.799,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157642536,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Botella De Aluminio Reutilizable Pirenco 500 Ml,https://www.mercadolibre.com.ar/agua-mineral-botella-de-aluminio-reutilizable-pirenco-500-ml/p/MLA34062557?pdp_filters=category:MLA413907#searchVariation=MLA34062557&position=3&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,2.844,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1681572028,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes sin gas botella 2 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-sin-gas-botella-2-l/p/MLA16168867?pdp_filters=category:MLA413907#searchVariation=MLA16168867&position=4&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.164,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420172655,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Sierra De Los Padres Mineral Sin Gas Botellon 6,25 L",https://www.mercadolibre.com.ar/agua-sierra-de-los-padres-mineral-sin-gas-botellon-625-l/p/MLA26525770?pdp_filters=category:MLA413907#searchVariation=MLA26525770&position=5&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.837,No disponible,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1482856460,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Sierra De Los Padres Pack X48  600 Cc Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-1428057050-agua-sierra-de-los-padres-pack-x48-600-cc-zetta-bebidas-_JM#position=32&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,11.832,No disponible,Nuevo  |  +500 vendidos,(+20 disponibles),Nuevo  |  +500 vendidos,No disponible,#1428057050,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://articulo.mercadolibre.com.ar/MLA-898613883-villavicencio-500ml-agua-sin-gas-pack-x-12-zetta-bebidas-_JM#position=33&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,7.087,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Pack de Agua 500 Ml
Agua mineral Nestlé Pureza Vital  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-bidon-63-l/p/MLA16247027?pdp_filters=category:MLA413907#searchVariation=MLA16247027&position=6&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,2.490,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1658709066,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
"Agua Villavicencio Sin Gas 1,5 Litros",https://www.mercadolibre.com.ar/agua-villavicencio-sin-gas-15-litros/p/MLA19737999?pdp_filters=category:MLA413907#searchVariation=MLA19737999&position=7&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,2.499,No disponible,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1223519006,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Villavicencio 500ml Agua Sin Gas Pack X 12 Zetta Bebidas,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=6WLRSFttoU9VfOHeBRy2uFCXoUIIWHyvyjM6yJN7oakuUjpxhon1BpyPLy9hgiqqdb3747q4AJmZYqckKIojBEb%2FzQxElg%2F%2F31y9Dk%2F9rqKkk3Kv7oM%2Bf8DWQD1mzxKHYU9FgN%2BiVfobrihi9pjIFT4x8RdvlJzRglVsLk87JSDVcQFogfj3zuA6N0h4KfM1cURdpkH4w1ZfO1N%2B8HAH9GVx%2Fy7hGUvccZkaLKovQWeu5vl1KCR1OMaBVP%2FeQ8COq%2FsimoKfqhba4o5MJhAkdajKvE2uVO6zR%2F7OBNKOx%2BQn%2FwyiIbH13vnThZDVOiCoYiTVDARvfsoYsIvyHZ6St%2FzNidoc8jjbsAw3w68vXrE09YJZzvK4qTpVlhIVE438%2B%2F%2FMIhHuZkC826CMYacPwCdQYY4h%2Bb5KswfHLaV3ozX7AmIyzEoPUDRP0KTm29r87dI8m8g2y1QxYY%2FkWIUNHVj4gETD0IJiAFn9bciqeNzcyxV6SgOWz2K1gODfcey%2FUDlMao79riF%2FloRcfmu3tV2isl8kK6ed8bIpgDQnJ8MthB9ml1icTdvTn1J5thbozI0SgD2AdB3o%2FZ4qPMcE%2FNfwS2o%2BCCxx8%2B0JNIFcTLpJaxt01CIOJdn5%2FYYcfEodrFn0hg1WvbB7WjZ3k0A5meS6uXe0tn2ggLVRIWI4%2FO%2BZPDJQpv3%2FhvJgdfiChOUPOjYuq2j%2FRT7CSa2inlfOxAE%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.087,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#898613883,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Pack de Agua 500 Ml
Agua Mineral Glaciar Sin Gas Pack 12 X 500 Ml  ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yHvMZUrEj41wivdI8GKDyB%2FYLt3dLZFNh7jDk3jemB0BQ7YHoWDBLGAayE2gY2sGPAWFfeOqRi%2Fb5EwYoaZge82EjB2yFRPRWd%2FQBzax2C2hNCq5AHmyuuwihc9m1lJP98bwUGcDzU5c1YAxuCCfJYHPybC35mkX%2F0dXaXmmhXc2aaGjNO8MZPt6tfgpFGWZLyNr15oVWqJVPtXq6jv%2FJEsTDF%2BjPeImbej0b5AfrvN2fxnlX8TxznZmDGgzIc5LC8PmhW5PfNdj2mb1f5alty3kN%2Fvh3UmP0nGtMgt8Wgngyar4YELEC0FaWPtGoZDFWL3fjh2HAd8k64HbQ0boXN1FePLkEWUC3%2Fz0%2FK2Spu0hDXyUvDiVQT%2BqV3zdK1ufH132vw4LNVkNs%2FVO8JpODGBHiiA%2Fi%2B4%2FaJeEO5qbZax7r7XtiGRcDiB%2BXsp0HiHIOdTaq4%2B7X9UXvUFAcItkLzntazXOzJ644Mvg36ZfmAYH9EfMe6Bh%2FFcXNeDb1hS2o%2FYbUUaf4QBOcjjJ7Atgxk2nYGKrj0upE7cov%2FQGeqrRRlkWxHqxixXtkixzZNODCx2oJ%2BOKG7l8sIAvgsCMN7xG7dvc97V2xlkbJmaQZyysxKx%2BW2hMwQ0LdO2MKf5msNlQTpDDx6KmOcB3IrIJq%2Fd1vm%2BUh43tQpPW7GK7Yf039ApbcsS4gYUDAiPHl45u%2B8Aa%2Bug0J5FBvG0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.979,No disponible,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1400284481,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
Agua Mineral San Pellegrino 6 Pack De 250ml,https://www.mercadolibre.com.ar/agua-mineral-san-pellegrino-6-pack-de-250ml/p/MLA19472807?pdp_filters=category:MLA413907#searchVariation=MLA19472807&position=8&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,20.868,No disponible,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1547896496,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Benedictino Sin Gas Bidón 6 L X2,https://www.mercadolibre.com.ar/agua-mineral-benedictino-sin-gas-bidon-6-l-x2/p/MLA30127593?pdp_filters=category:MLA413907#searchVariation=MLA30127593&position=11&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.992,No disponible,Nuevo  |  +100 vendidos,(5 disponibles),Nuevo  |  +100 vendidos,No disponible,#1644774906,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Cellier 2lt,https://articulo.mercadolibre.com.ar/MLA-1599535860-agua-cellier-2lt-_JM#position=34&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,937,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599535860,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Cellier
Agua mineral Glaciar  sin gas   bidón  6.3 L  ,https://www.mercadolibre.com.ar/agua-mineral-glaciar-sin-gas-bidon-63-l/p/MLA16168859?pdp_filters=category:MLA413907#searchVariation=MLA16168859&position=12&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,3.113,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1640310166,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Nestlé Pureza Vital  sin gas   botella  1.5 L  ,https://www.mercadolibre.com.ar/agua-mineral-nestle-pureza-vital-sin-gas-botella-15-l/p/MLA16247029?pdp_filters=category:MLA413907#searchVariation=MLA16247029&position=13&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,857,No disponible,Nuevo  |  +5mil vendidos,(+5 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1668422918,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua mineral Eco de los Andes One  sin gas   botella  1 L  ,https://www.mercadolibre.com.ar/agua-mineral-eco-de-los-andes-one-sin-gas-botella-1-l/p/MLA16168872?pdp_filters=category:MLA413907#searchVariation=MLA16168872&position=14&search_layout=stack&type=product&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,1.019,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1686563620,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,nan
Agua Mineral Eco De Los Andes Sin Gas Pack 12 X 500 Ml  ,https://articulo.mercadolibre.com.ar/MLA-1611400900-agua-mineral-eco-de-los-andes-sin-gas-pack-12-x-500-ml-_JM#position=35&search_layout=stack&type=item&tracking_id=8b100d15-0ede-4cc4-9c3d-626316136c6f,8.611,No disponible,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1611400900,2024-06-04 17:02:05,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,Agua Mineral
