Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Arroz Parboil Dos Hermanos 1kg No Se Pega Libre de Gluten - Sin Tacc,https://www.mercadolibre.com.ar/arroz-parboil-dos-hermanos-1kg-no-se-pega-libre-de-gluten-sin-tacc/p/MLA19936763?pdp_filters=category:MLA1423#searchVariation=MLA19936763&position=2&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,2.999,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1411360722,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Basmati X 1 Kg.,https://www.mercadolibre.com.ar/arroz-basmati-x-1-kg/p/MLA21851144?pdp_filters=category:MLA1423#searchVariation=MLA21851144&position=3&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,13.056,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1362427971,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Oro Parboil Gallo X1 Kg,https://www.mercadolibre.com.ar/arroz-oro-parboil-gallo-x1-kg/p/MLA20018406?pdp_filters=category:MLA1423#searchVariation=MLA20018406&position=1&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,4.680,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1391037959,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Dicomere harina de arroz sin tacc 1kg,https://www.mercadolibre.com.ar/dicomere-harina-de-arroz-sin-tacc-1kg/p/MLA20719722?pdp_filters=category:MLA1423#searchVariation=MLA20719722&position=5&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,2.923,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1302133241,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,Harina,nan,nan
 Yin Yang arroz integral orgánico 500g,https://www.mercadolibre.com.ar/yin-yang-arroz-integral-organico-500g/p/MLA19943138?pdp_filters=category:MLA1423#searchVariation=MLA19943138&position=4&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,2.007,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288660597,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Dos Hermanos Largo Fino Paquete De 1 Kg,https://www.mercadolibre.com.ar/arroz-dos-hermanos-largo-fino-paquete-de-1-kg/p/MLA19957485?pdp_filters=category:MLA1423#searchVariation=MLA19957485&position=6&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,2.899,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1657851254,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Fideos tirabuzón Matarazzo sin tacc 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-sin-tacc-500g/p/MLA20882393?pdp_filters=category:MLA1423#searchVariation=MLA20882393&position=7&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,3.099,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1292439628,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,Pastas,nan,nan
Arroz Oro Parboil Gallo bolsa X 500gr,https://www.mercadolibre.com.ar/arroz-oro-parboil-gallo-bolsa-x-500gr/p/MLA19957490?pdp_filters=category:MLA1423#searchVariation=MLA19957490&position=11&search_layout=stack&type=product&tracking_id=f2457690-3011-45db-9f48-613f673c91d9,2.299,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1543916066,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Arroz Basmati Ultimate 5 Kg Pakistan,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dc5jmhDJ59H%2BaYSDbKg5W1o%2BvkT%2BEsH8MwRmQ6hhSiVzE9jUvG5FoapND0EiCkiof%2BjaRpNMh24zZzHL12gW54V08iz97pJrIgs1OoAUr80dM6Wg54i%2B%2Fa%2Fygnc2bQ2EkJEg9KY9DwCYYfB0TltU6Zf4gYJEBIipqJ6yoKnrDJwPm2QK7t9oTuznG0oUzTGLXtYlL2h0qV54TTDb%2FTZVCsheMEkPAQM5FUWNbq%2BPzDRWg2Sy4pF%2Foy8HWCSrfNHIF5EecGDnnSbnKglXgOfxE5K29%2FoZm3xAUcBn%2FFGFQzqqyvfRERMATJ5VtjDML5rRYwGal%2BLYBof6vz%2FhsCl6VMVRgm2LgxmcyS38fQQybvSeKbkOeKXfty%2B3G%2FhPqkXyNVd1mR2tG7KF2UQ1rVgn%2Fy6zFNtwjjMBziXuzmnUu%2FZ0XcrOjYqYt8N4KMf2RpIn5Ih9pS1%2FxnVSuCa28Z%2BLiRqx2YcjrwHNeBd1nKHCsU8pNnf3%2BgQ1yhMfhOPfFwDX5kWddH%2FRsjGIL1gdMZXnc%2BCqv9gtL5VfOVS%2BOlId3G8I2YCHpbOrpvyjZo%2FUYVx1FnUJQSViQQbKZyaIxB493ZCzuQx2RreQABbnVSalZK%2Fg%2FNlnTIBzEArGH0yDaLALi8%2FdwuqvqKF6Ub%2B87vVCXHkwQSYU5nOC18cGrUfEjwO9gz3cEsFIzQpwXVYwCw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,40.318,No disponible,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1711414518,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
Combo Mole - Arroz Y Risottos - Pack Completo,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UbbUi8Kyza8ONyjylklYcIrSny6Ana9dT2SPwdAXNEhc%2BJ0%2BL91%2BmOFIl%2B87z8JNzLp6%2B47w%2FQodwno5DG5z1cx6AposZvLeGrTtN%2B03HWpNYeYe09ua8Cqe2QUbnAK989fbCbLLcKAOmm8zBk8bZ45hxlCcZtbh2vni6jBJ5FlWt4yxa6WjDjN7MrkBes%2F74UCeRh7Dsf6JrJu6cB9XtCaD3KK3IXCBAzhndAF5J5hCXijDn5eAVIZgGP%2FJR98vOsXktm%2FS7VtvpEagIGvlcQznS6lJnPcaGg1CnjgM9sqcsoo%2BOHOTMSkWE0oelj6nPawqXEMnPbpQUfgpeAebwvQmcbcYXlNYA%2FdBUwuVrw7AHI3PtZJomg64wCHuEPijJ0KQ0m4XqH5%2BYtU7%2Bued%2BaejfPqwml%2FK3ALg1iw7%2Bh7bpXc9ku3ukfTLTex2tIzo0q6dlc6PMvVMpiQ1nrBw72yAhtNkRgSmyYhev6y41HoX176nF1yScjXjmiWIeUF%2BZemBEASO1lZx9pwucRlRhgQ3Vp9UbuMVSQnPBkIBlhB2YWCYGh2OUXMY80PCFYK9WypqXW4%2F1Y76j%2FBFmIoa8bqGuKTrRgw3jhhsMUkX5ECggMo8CPbLVfeqkP6UKyiKJfx4nCqNy%2F0zz%2Bp5TKu0nMzCgpl17oTatMDcyHxIN37XT%2Fuv9yBRQ%2FUvT%2BxPqe%2FwLk4kO4jO&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,13.900,No disponible,Nuevo  |  +5 vendidos,(+20 disponibles),Nuevo  |  +5 vendidos,No disponible,#1683142224,2024-06-04 17:03:59,Alimentos y Bebidas,Almacén,"Arroz, Legumbres y Semillas",Arroz,nan
