Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Azúcar Ledesma Rubia Mascabo Paquete 800 Grs,https://www.mercadolibre.com.ar/azucar-ledesma-rubia-mascabo-paquete-800-grs/p/MLA19936260?pdp_filters=category:MLA1423#searchVariation=MLA19936260&position=4&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,1.498,Mayorista Masivos,Nuevo  |  +10mil vendidos,(118 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1281963999,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Pack 1 Caja,https://www.mercadolibre.com.ar/azucar-ledesma-seleccion-blanco-1000-sobres-5grs-pack-1-caja/p/MLA29666896?pdp_filters=category:MLA1423#searchVariation=MLA29666896&position=2&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,16.124,Mayorista Masivos,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1629372090,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Clásica 1kg,https://articulo.mercadolibre.com.ar/MLA-1317424046-azucar-ledesma-clasica-1kg-_JM#position=27&search_layout=stack&type=item&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,1.989,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(3062 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1317424046,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Pasta De Mani Natural Mani King X 485g Sin Tacc,https://www.mercadolibre.com.ar/pasta-de-mani-natural-mani-king-x-485g-sin-tacc/p/MLA19973606?pdp_filters=category:MLA1423#searchVariation=MLA19973606&position=3&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,3.189,CAPSULANDIA,Nuevo  |  +10mil vendidos,(844 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1311935118,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,"Mermeladas, Dulces y Miel",Mantequillas de Maní,nan
Azucar Individual Chango De 1000 Sobres,https://www.mercadolibre.com.ar/azucar-individual-chango-de-1000-sobres/p/MLA21049595?pdp_filters=category:MLA1423#searchVariation=MLA21049595&position=1&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,15.190,POSTA LOCALES,Nuevo  |  +1000 vendidos,No disponible,Nuevo  |  +1000 vendidos,No disponible,#1306027200,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar rubia Chango en sobres 100 unidades por 5g,https://www.mercadolibre.com.ar/azucar-rubia-chango-en-sobres-100-unidades-por-5g/p/MLA21888697?pdp_filters=category:MLA1423#searchVariation=MLA21888697&position=6&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,2.999,CAPSULANDIA,Nuevo  |  +1000 vendidos,(10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1480984926,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Impalpable Talco 1 Kg,https://www.mercadolibre.com.ar/azucar-impalpable-talco-1-kg/p/MLA20723150?pdp_filters=category:MLA1423#searchVariation=MLA20723150&position=5&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,2.958,DULCECOCOSTORE,Nuevo  |  +10mil vendidos,(5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1414760022,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA1423#searchVariation=MLA20721602&position=9&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,11.970,Cafe Martinez,Nuevo  |  +1000 vendidos,(231 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azucar Ledesma Clásica Paquete De 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-paquete-de-1-kilo/p/MLA19992609?pdp_filters=category:MLA1423#searchVariation=MLA19992609&position=16&search_layout=stack&type=product&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,1.991,Mayorista Masivos,Nuevo  |  +50mil vendidos,(1093 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1286248984,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Blanca Común Tipo A La Muñeca Dulce - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1432303300-azucar-blanca-comun-tipo-a-la-muneca-dulce-mejor-precio-_JM#position=28&search_layout=stack&type=item&tracking_id=ff227ba3-3e87-49a1-82f7-03a2cfbee527,1.280,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(168 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1432303300,2024-01-26 17:44:09,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
