Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Azúcar Ledesma Rubia Mascabo Paquete 800 Grs,https://www.mercadolibre.com.ar/azucar-ledesma-rubia-mascabo-paquete-800-grs/p/MLA19936260?pdp_filters=category:MLA1423#searchVariation=MLA19936260&position=1&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,1.484,Mayorista Masivos,Nuevo  |  +10mil vendidos,(132 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1281963999,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Blanca Chango en sobres x 100 unidades por 5g c/u - sin tacc,https://www.mercadolibre.com.ar/azucar-blanca-chango-en-sobres-x-100-unidades-por-5g-cu-sin-tacc/p/MLA21888697?pdp_filters=category:MLA1423#searchVariation=MLA21888697&position=3&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,2.999,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(4 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1400969517,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Ledesma Clásica Paquete De 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-paquete-de-1-kilo/p/MLA19992609?pdp_filters=category:MLA1423#searchVariation=MLA19992609&position=2&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,1.954,CAPSULANDIA,Nuevo  |  +50mil vendidos,(148 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1495494430,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar Impalpable Talco 1 Kg,https://www.mercadolibre.com.ar/azucar-impalpable-talco-1-kg/p/MLA20723150?pdp_filters=category:MLA1423#searchVariation=MLA20723150&position=7&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,3.600,TIENDAMAIVA,Nuevo  |  +10mil vendidos,(9 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1298859515,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA1423#searchVariation=MLA23792131&position=5&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,6.072,Cafe Martinez,Nuevo  |  +1000 vendidos,(251 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Azucar De Caña Organica Ying Yang 1kg  Sin Tacc Vegano,https://www.mercadolibre.com.ar/azucar-de-cana-organica-ying-yang-1kg-sin-tacc-vegano/p/MLA20011156?pdp_filters=category:MLA1423#searchVariation=MLA20011156&position=6&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,4.544,VÍVET MARKET,Nuevo  |  +5mil vendidos,(116 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288628150,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Clásica 1kg,https://articulo.mercadolibre.com.ar/MLA-1317424046-azucar-ledesma-clasica-1kg-_JM#position=28&search_layout=stack&type=item&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,1.611,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(4 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1317424046,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Pack 1 Caja,https://www.mercadolibre.com.ar/azucar-ledesma-seleccion-blanco-1000-sobres-5grs-pack-1-caja/p/MLA29666896?pdp_filters=category:MLA1423#searchVariation=MLA29666896&position=4&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,15.899,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1670712998,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Pasta De Mani Natural Mani King X 485g Sin Tacc,https://www.mercadolibre.com.ar/pasta-de-mani-natural-mani-king-x-485g-sin-tacc/p/MLA19973606?pdp_filters=category:MLA1423#searchVariation=MLA19973606&position=10&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,3.533,TIENDA-EL PORTUGUÉS,Nuevo  |  +10mil vendidos,(12 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1344571299,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,"Mermeladas, Dulces y Miel",Mantequillas de Maní,nan
Azúcar Hileret Light 50% Menos Calorias Paquete 250 Grs,https://www.mercadolibre.com.ar/azucar-hileret-light-50-menos-calorias-paquete-250-grs/p/MLA19942386?pdp_filters=category:MLA1423#searchVariation=MLA19942386&position=13&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,1.374,CAPSULANDIA,Nuevo  |  +5mil vendidos,(45 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1281033555,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
Azucar De Coco God Bless You Doypack de 250gr,https://www.mercadolibre.com.ar/azucar-de-coco-god-bless-you-doypack-de-250gr/p/MLA20011148?pdp_filters=category:MLA1423#searchVariation=MLA20011148&position=15&search_layout=stack&type=product&tracking_id=c8b71951-b26c-4b9d-9cc8-92ff9967f388,10.484,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(19 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1280091650,2024-03-13 18:11:03,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan
