Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Azúcar Ledesma Rubia Mascabo Paquete 800 Grs,https://www.mercadolibre.com.ar/azucar-ledesma-rubia-mascabo-paquete-800-grs/p/MLA19936260?pdp_filters=category:MLA1423#searchVariation=MLA19936260&position=2&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.541,No disponible,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1281963999,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar Ledesma Clásica Paquete De 1 Kilo,https://www.mercadolibre.com.ar/azucar-ledesma-clasica-paquete-de-1-kilo/p/MLA19992609?pdp_filters=category:MLA1423#searchVariation=MLA19992609&position=3&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.799,No disponible,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1495494430,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar De Caña Organica Ying Yang 1kg  Sin Tacc Vegano,https://www.mercadolibre.com.ar/azucar-de-cana-organica-ying-yang-1kg-sin-tacc-vegano/p/MLA20011156?pdp_filters=category:MLA1423#searchVariation=MLA20011156&position=4&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,4.726,No disponible,Nuevo  |  +5mil vendidos,(4 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1288628150,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azúcar Ledesma Selección Blanco 1000 Sobres 5grs Pack 1 Caja,https://www.mercadolibre.com.ar/azucar-ledesma-seleccion-blanco-1000-sobres-5grs-pack-1-caja/p/MLA29666896?pdp_filters=category:MLA1423#searchVariation=MLA29666896&position=5&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,15.500,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1670712998,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Azucar Impalpable Talco 1 Kg,https://www.mercadolibre.com.ar/azucar-impalpable-talco-1-kg/p/MLA20723150?pdp_filters=category:MLA1423#searchVariation=MLA20723150&position=6&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,3.800,No disponible,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286077261,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA1423#searchVariation=MLA19979543&position=7&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,7.499,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Azúcar Blanca La Tikay Común Tipo A - Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1124577963-azucar-blanca-la-tikay-comun-tipo-a-mejor-precio-_JM#position=44&search_layout=stack&type=item&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,1.135,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1124577963,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,Azucar Comun Precio 1 Kilo,nan
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA1423#searchVariation=MLA23792131&position=8&search_layout=stack&type=product&tracking_id=73b33364-9140-43aa-a76a-dda2b0e6983a,7.426,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Pack De Café 4 Variedades X 250gr- Brasil - Colombia Xrl,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=mqvlyAR0CShlefGKMHPJqUpqadJddBfKpGI%2BWC0pIsUy6jhS5k54HACY%2FIpnEyLtlHiqbr0YFuTSiEmJyV9yLqFxfUA8CuCccmyAd3yYSuQD4xPo1xI2hNMlxUIWO7GArF52xZQqJXmHw8%2Bk1eiYhVsyA7%2BYtgMXXQXQmqhV8ik8DjsKTHUU3h0312sVIbi%2F0%2F9eG2gnjwmm4QsP9jalZsE17ZWnjUZRu2znSRaffTlsNCCBiZh3EEPMim3Rrfim7jaRLN8hV7DQXWw4ZqTliBK8niQ3BykzSK88xCMZoOijI1NP9XTSS0ybxWyJIt%2BJptekp%2B4rV7Ww7SeBTSJC6hPhOmxlS4%2Fj9X5djEfDc4UxTC9T%2Fo7j3wr1nR%2BDn4phRyP5ELGMXSiZPi8sigNJyBbVzROrY9fD9Vix7aywRj2o5PRFMVZXbPbibn8A7BtQN22gUPDcqFDsOJJ2EKR2Mt3wG1TPuR179znqWqxYrEM6IHAI1YWZ8DNoX06m6CmbXc9xK9M5mccfmr578vxxCqynjbV%2FTjb2WRnfufkCnKfDk51K81UBm6aszAobSmDYFHXvy3FDebJUbfjTfYZSErbsamDGRwLxKQMIJPW6BSQJFipg2dR2KIHFp6sghrqmZ2Fkn%2BKu%2FzXTBH4i6x%2FWswmjus1TY0tI82Q26DwssOlrD9beUeWuICTRb8oGf9mVGXE%2F%2B9GkMIUaQODImgorvQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.700,No disponible,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1550312474,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe 5 Hispanos
Oferta! Azucar Blanca Tipo A Delicada 1kg Premium,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=btTRpaix0CNuGuZgmxKwJ25uxkqTBixLYYu2a2ydkF%2BtF%2FeTYVtWWMZ8xzztOnJssgMR9%2FbltAziVjsjU9efhn7jft7ad4ehoXB0r1w58RYzunEvBYYx82nAQKw5X%2Fni8SM4qliXmufYsPoJIAcnzBiRtS6BIndUXF88FUfpf6gGfDslj9yUYhEXcq%2BcFTbLDRJpMRzYTe258N2BrHwlaOutE6ZkteW6zm1nW2wlFsqc926ho4OWVZDD7ajGswHcQ73XzJYeSCJDirssI0yR0xUpdTpm8u12Vxv1DeKjEzeGwZ%2FtfyV1hOJ%2FoAH6rHhVqjj3wVHuI2Ab3SZlE8koNRN3HqVWWIS02QqWH3p93mXo4PrlKcHvti1WKRVN2lQVmbOc0BLzS4URcNVt7XvCH7YRSpC15EtUuMcy4XYEX%2B%2BLCjl9NuV%2FuV2ncZiR7tTAlO2Mk%2Bm%2B2P%2B1qU3v3qysJWGPr7Vqdgew%2FwGeVXwg2FmyrAXcylxQQkTWP1mECqWvrcL3zhXyrYmr8FzzsAP0LL2ZP0j4CHGYgpo0yMUOSnIAdHnStvICXpc7osL3IZcFCcsu%2BaKG8bdo5qiwhl1n0pTbK6ZsWbRpGMBxv0RrWRaMo%2FnlnX1QenYltZgmajsz196xDzzgBiD%2BPXb7qUZ5X%2B0J3D8iDjCcaBNY%2FbXQZQAr13aunOAru0uQcPIUsPGzDPCCbKaIuY%2FSGQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,989,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1455749198,2024-06-04 17:05:45,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,nan,nan
