Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA409407#searchVariation=MLA20732424&position=3&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,14.149,Ecomodico,Nuevo  |  +5mil vendidos,(723 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295491709,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602?pdp_filters=category:MLA409407#searchVariation=MLA20721602&position=5&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,14.500,Cafe Martinez,Nuevo  |  +1000 vendidos,(515 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=11&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,14.450,Cafe Martinez,Nuevo  |  +1000 vendidos,(211 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA409407#searchVariation=MLA19979543&position=16&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,6.290,SEGAFREDOZANETTIARGENTINA,Nuevo  |  +10mil vendidos,(157 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1449833286,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA409407#searchVariation=MLA28567354&position=23&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,11.275,Nestlé,Nuevo  |  +5mil vendidos,(1256 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1397928537,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
"2 Bolsas Nescafé Dolca Suave 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/2-bolsas-nescafe-dolca-suave-1k-nestle-cafe-instantaneo/p/MLA21778152?pdp_filters=category:MLA409407#searchVariation=MLA21778152&position=1&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,33.206,Nestlé Professional,Nuevo  |  +1000 vendidos,(66 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1447829984,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA409407#searchVariation=MLA23792131&position=4&search_layout=stack&type=product&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,6.600,Cafe Martinez,Nuevo  |  +1000 vendidos,(430 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Super Cabrales Tostado Molido 500g,https://articulo.mercadolibre.com.ar/MLA-1625147448-cafe-super-cabrales-tostado-molido-500g-_JM#position=47&search_layout=stack&type=item&tracking_id=b364932d-a242-47c4-8012-c02f8bace806,13.990,AVFX1,Nuevo  |  +1000 vendidos,(669 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1625147448,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Tostado Pack 3 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0kUcNEQCjBOEPy%2Fv2f5PjuHzq2qQWYZc3cjI4Ybp7c%2FMteZ4%2Brxd6sVthm1hBnBgcml%2FQEREggZ3eXv5lJUgEOjAjaQ%2F0GAGV4n92pMzN7oTtk6ICnf16IF%2BUeDRhL1utyaMRPCvpYkL1AHKdUqUr%2FgnkVR3X5hjwIHTwOBov5NWHJ8ivfqjU23ig%2FReZ9VadrTxPg0MuvRiZ0VayVLqkHVXLkrFKT8ykUYqeQUQCF2ieG%2BZV8zP4ysPRa%2F84pymDJTviaxOHt4A7iIOHVtVguJrpImPM3Ird%2BB4Kvenm6SqLAvQ4ogsWeXyBoUg4u8emHG6BdRDjuVNamhqNhjwR7A0c1vD%2BZGME192G%2BV1p1YS36dPbZNQY%2B4CgUeYqNhq49bKf6VPTmLHKKb5UQlSM0pLpTHHc9dqUqprf8n7QyvtjbQvMheRUwMypG7oq3XeadDuKlmPCdUeHIz3yQ0cwXkbj%2FPuHVAR4a8tLF9aQOQSUNMMi4rCxsTSzdMbzF6h8wB%2FF7fN7HL8qQwCFn%2F9OwbL9HPayWrlODcZI5mAvZaAadt8Q0N6baNqDL6YQPeH0f2L%2BJ4jtDuVRUJGup7BOqg1hNptDrbEEDNxLV8vI0OWA4kcf450QtI6fuBo6Xu6pnOkmTZOQ73nBSWMcgZmVNw8pNuiAr4pFJd6A3lIP%2F8xZltLJxVfzs%2FTM%2FHbnG0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,84.700,BONAFIDE ONLINE,Nuevo  |  +5mil vendidos,(1960 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Fundador Elite X Kg En Grano,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=criMK7pkkxrvcy8U%2F43nfyb3Yf0BhhIJWgoEfZ8yzqp6ZftsWeXFASJsIEGwe%2FCO2y%2FJAkZoNfqsLjhGgB%2FOXSwGNnmAdUzaFfEyt9f%2FbsporqLbr3wgoBtarWbgCWpql83bapCAqCvZ31wqKAKuLl%2FszbHI9LFGTzQkEuUna3HRjADq0Y6KkmfkU7OXDWgMvcPcGRlFiPs0aRv89tv9SCeQkdEzdFiWJbkW%2B6Hlxlhnh0VwsPpf7sIymiQgxmNntb47nsMTNrkKU5lUQgJTVuWsGHvraoTcNU4twuNq4PauRyCMWneY57T5uTYq2iiq9BIX%2Fnzyq4efA7LwZdmufLZHHlzPisiNTbMb%2B3wuw5zFV6XDvlKLCSDy6F5njJBnTafEsFKx9shmJ2aLK1T4WmY4u6MkigTfBWmv%2BPbJlNnPmjyNRUgITuynu4J%2FmjMB6bKhQaLqzOgkeW3yDr71%2F6Xp4DWlE2tConFovmRkwa88Pj%2BcObnTGVCg7LyZ3RmPKOYP44nP%2FjM7bW0xNGjpNiqxwtMHWN40PWYJjLQU7f2iEuiOJMvjH7ZBdPadc8YlHd0lQcqqXZ%2B80yttfokK%2FtwZ42MSypBvOJBzVKXwMjNjcgW8X6GI%2B59L7XjEER%2F8BsYLY16JAoWwTHlSFk8m%2Fvnju399Ne7AHYltC%2FGZjH%2F1GsyTDFJq0sNL6ws%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,33.600,TIENDA.FUNDADOR,Nuevo  |  +1000 vendidos,(338 disponibles),Nuevo  |  +1000 vendidos,No disponible,#877916585,2024-03-04 10:52:31,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
