Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA409407#searchVariation=MLA19979543&position=1&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(623 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA409407#searchVariation=MLA28567354&position=2&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,12.796,Ecomodico,Nuevo  |  +5mil vendidos,(327 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1658654866,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe instantaneo sustentable Arlistán mediano,https://www.mercadolibre.com.ar/cafe-instantaneo-sustentable-arlistan-mediano/p/MLA19754817?pdp_filters=category:MLA409407#searchVariation=MLA19754817&position=3&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,4.799,TAP GROCERY,Nuevo  |  +5mil vendidos,(82 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1227952712,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=5&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,9.886,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(346 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA409407#searchVariation=MLA20732424&position=4&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,9.638,SUPLEMENTOSNORT,Nuevo  |  +10mil vendidos,(33 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1705279530,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=8&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(380 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido Intenso La Morenita X 500g Sin Tacc,https://www.mercadolibre.com.ar/cafe-torrado-molido-intenso-la-morenita-x-500g-sin-tacc/p/MLA19937595?pdp_filters=category:MLA409407#searchVariation=MLA19937595&position=12&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,6.334,Ecomodico,Nuevo  |  +5mil vendidos,(95 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295581556,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA409407#searchVariation=MLA23792131&position=19&search_layout=stack&type=product&tracking_id=adf61af8-7674-43d1-8bac-ec7a92fde71a,6.897,Cafe Martinez,Nuevo  |  +1000 vendidos,(321 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Penguin Coffee De Especialidad Colombia Antioquia 1 Kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=gE9095NXTiAwqfpiQGy6SwqPgTbaf%2FydpZgaDeJVwvhAPB3SQPy4%2BXm8rVcpjpXtM9iArV4YEnnX6jzvnAYqjYLONDUgsevjP9AM8hgmRZZgH%2FkFDt6uNqIorznO%2FyO5q%2BWaphYnDMwn%2BLqnp3sg%2FddEotwX895pNEa%2BcA%2FUp5Ugqy90x7sct27FrjsjUVCzwHq7AHbjJlLiPI2O9ic5NxPJsGkGs%2F%2FfVIQpGLdSe3qiN9at7%2BkBTsOYOzpgdmMzYakZx98GSMFZ7FVEkA5L8NeyfXnz3e78qIOQhQ3hx%2FBFfnWB%2FWw0tDqBiOQUku72xXvO4gknY5QyxrN3N4lsiteTQ%2BMEdbBO2kRDBJvEy9uuZOFa%2FAIzwLPb1yyaY1P1LQaxCOnU8ej6wxVOtS2UmqsFLE4nDNPRuRKSzcF9vMbGWs5bKrY1EAK%2BaPsXJF%2BOvVOv%2F3N8WujO8XXspg8qe%2BLbi%2FpAXkW6cq%2Frq%2F5TnSMuuLkIogIrp4NV8zP2H7UxSgKYkjjMXVAVzuOtRm2EuX0DUozqN%2BY1GEzYWuww71pC%2Bzf7nZ1rX1eSK6dzIctZk9TF1jZCMdAzOuqRNszUD5bqyUwIVmxl5u02SMbF7Kzl1fjwq0uT6FzEbIthTr2vfYLrK9c6CGZWj7B2l248vHU1Xf5Fcl3v8AOwV0V18HyImwke9zQP7kALH1GLAw3oD2eKKGZ5KDCTwrHkwHkK6Xe1MoK1wgg%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,40.000,PENGUINCOFFEE,Nuevo  |  +25 vendidos,(57 disponibles),Nuevo  |  +25 vendidos,No disponible,#1216350764,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Pack Cafe Tostado Molido Super Cabrales 500g + Prestige 500g,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=q5RzZ5HoSY21dYrApNTCW2RKuZ1BRuffEOpblCHT9YYSFYh%2FREcKYt%2F3uJ19Id%2BADKtUos7Si3jbE%2B2cJDl%2FasHU1dTMgya%2FJ%2BJapSxgdEF8ZJMF5%2FMQ4NpKtNmrC0gET%2FrAFAKLnnY1grVxZLgiQQeZwM3O8eSEMPD4CgXj1g6SiIlTbgEzyf4UlnADULIdFB2DUVuAMb4EuxwEqfzajGxVjPm5ZY9lJTliSmZTVN4hFQ0dCUY9oPfUXd1kfRgPJWew8oFHRd%2Bu7TEJHskayzU039K0vUOyPFRJX%2FNt2xSG0ChnDfvhTHAGDcJYFmdBMgUfoetv9iWcR3fthoPnsC2JAxeZMhA7JLwwgaMmyVRVbF0%2BrmarOVA4EVqSM%2BMkDUaIKaVBbVqSKjuw8sUX6tprNLwU4UlIu5M%2FZothlAG4fn19TGUYhxJivLmAbIrVq81AxUlf5KJ82nan1xk4itHR76oqAMPR2kfY3JaBfv6teJDusSv1LA5O5JLUEpkCjjWPEY7sq65uadg7P8TjBj787o%2BRwXd%2F4Jay3Yo2xvzBG6VZvcwf3zTJF64yiqs0E0yTo3RCDkYzKIa%2Fwr5uTQE%2FBghuRDL%2FW9gfcgnSYilI6Sc3bp91tgP8TRY%2FdLW%2FU1mpvBPBJobgs2fRl%2FmCLLcipynTAXbcJABgDvQ974XO5GpcHfHepfwblfLmk3TFJKh0ZYSFs54tFoaEttP74NH%2B4Xpat%2FQ%2F&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,31.990,AVFX1,Nuevo  |  +50 vendidos,(34 disponibles),Nuevo  |  +50 vendidos,No disponible,#1639180550,2024-03-27 15:28:59,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
