Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=2&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe instantaneo sustentable Arlistán mediano,https://www.mercadolibre.com.ar/cafe-instantaneo-sustentable-arlistan-mediano/p/MLA19754817#searchVariation=MLA19754817&position=3&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,3.959,TAP GROCERY,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1227952712,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131#searchVariation=MLA23792131&position=4&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,6.897,Cafe Martinez,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=21&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,12.590,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1418107997,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354#searchVariation=MLA28567354&position=24&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,13.011,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1658654866,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=5&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,12.590,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1698275646,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafetera Eléctrica Filtro 0.6 L Atma Ca2180p Color Blanco,https://www.mercadolibre.com.ar/cafetera-electrica-filtro-06-l-atma-ca2180p-color-blanco/p/MLA19688241#searchVariation=MLA19688241&position=6&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,24.999,Tienda Newsan,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1234819957,2024-04-08 14:53:46,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508#searchVariation=MLA19944508&position=7&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,10.090,BUENOSAIRESINSUMOS,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398099257,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Bianco - 2 Kg.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FWNTNCoXbHiWTy4jkZe7o40YwWYRn68UYotFVeMLQDxd7YyYvhQemUCHp3lLvof4QxM1mSGXLVodnjypOrqk306%2BsWp6Dh96ABeSbkNVC78Cw6o8owDrxTKH1PgDKCEjuAdqd7XvJX8Nz9sEazKm8MIleF5xNwIh3jQb77oiF3rJVgzltkfyPlqqlX070q04x2N7Qsg9GTXaqZEbHSYXR3B68YBlYIy63hoAYt3I4lSOQmERXomzVscmXow1B2Cj6Fx7j4%2BJ%2BCUNMYr0gR4gFuEuezSjm25zVnn97bgGHeYVcDWDgM1BKgfmPHL3sK9aI8NG6VFcbZcFQU6kH%2FP77eL2MpQP2%2ByGNuBzs1JdWQ5N7US8fdJwD9nXiaH%2BK5b06E%2BIjM%2F93VmXniXrPiZ3zlxs9VLgTlREvFvapFtQ8bKtsUJR1kM1oOUe4nL8BoLCRNilPE5JThfJ7J3%2FyoL0N6wXWCybO%2F8dUYcI9nkzHeewxZyI9cVSP%2F1uRflfVEcNYBU3OmkgNR%2FEGCN1CkxjuyhDt5%2BZNeWQpHWwzfMQswC0egxmVVxlooR1ySKc346wPY6T7g%2Bfdl1WYEHrguW5OLPNjUaG35cdX6oGgI1X0f62X8pLCzvzocc5y8xrbx6%2BdFGpy4Wp43BuZEkNzOlOP3y9ZJZGNT%2BemHIPzjkQGng1%2FpsEo1WRfFbT2%2BZOBldBzxxWahw%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,64.693,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#867614088,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oD05pYGy0i1bs4M4cKM9mubF2n42gBPXtoGqlLUfSgiB62bpiKP3Pr6fsMl3D2byzJph%2BfbbRyw5DjJPUwNJOhOUMO05OpbCKI267Ni5j71nPqdliOzgFvO2k6NgNDz35BWPOCH6ap%2FS3oNH7Ns4aa%2BpDu5LNjOZ80A6CtTNn%2BtzyypZYdum0Ao5MoWaYeSuJqiLUwWl7n27i%2F81PuH3bPOh5CgmM0SC8QzzvsQljg31GhFv3tYGSUuOcwtOkAGqyA1adaLommF4dT2xQ2x6ET7PSc2DGcFceckHDbKxz2eYarKu4rlxt6aCRu1zxEqT13RItmDnySOvoXtU%2BDHzIHRD6wEVmF%2FR%2BtbF%2FW2TgJu9vgIVXgEboRzijOGZnXQ9kYJt04KJSoNED8hNatDHf8m7QO4ma4tAR13RZ9Guc7dt02X1MSQwUsthKl0kaveP98w2xZdE%2F0LOcTrnRyGh3%2FupI7R6gIvI%2BS2mGqJgUvsYjzNEF41xfBKK8xDnOpgoCeH7DuA1b9j6pp%2BVKqMy0T7ucLyT%2FekhLfPflnjYzwxNaAgPfowcBr40ERJ1QLp56za3P29CVXX8OyQ7L9PKIJhphGTGsBPFdMMvvmBXNfYxa6dJ4H7JVCeTDhSk%2FG9zJpApoLCDovR6w71wTRbH8fsc1Vaae3dSgXhZ7OKY%2BDM1AZzndUz2mMbtmxU7xvrAki3CEG4k%2BNV%2BqGVPDjQz3mdldxP8Ogg%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232#searchVariation=MLA22834232&position=8&search_layout=stack&type=product&tracking_id=45e28220-ed9f-4120-aa60-e59d0903a1b8,35.500,NUTRISERVICESRL,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372484559,2024-04-08 14:53:46,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
