Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe instantaneo sustentable Arlistán mediano,https://www.mercadolibre.com.ar/cafe-instantaneo-sustentable-arlistan-mediano/p/MLA19754817#searchVariation=MLA19754817&position=2&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,3.959,TAP GROCERY,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1227952712,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019#searchVariation=MLA20026019&position=3&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=6&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=11&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.279,ALEX2800,Nuevo  |  +5mil vendidos,No disponible,Nuevo  |  +5mil vendidos,No disponible,#1415128135,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=13&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,12.706,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286562737,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508#searchVariation=MLA19944508&position=15&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,10.090,BUENOSAIRESINSUMOS,Nuevo  |  +10mil vendidos,(2 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398099257,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354#searchVariation=MLA28567354&position=16&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,13.011,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1658654866,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=18&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,14.990,AVFX1,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Bianco + Luggiani Rosso -2kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=EaXHfl7cbBeofweqzDX%2FUco36h09nSWZzost%2Fbu%2BPhBkktNRjjUKHL%2BTsjHG3l8YZSeqixcWNfbsAtAQEB1I9%2FqawWvyuSosl5jOYy9%2B6uDnBYofq4yF16SEweE6TKKbXFVV9BwiXejAmkrk9upkw7xpGpmk8VC6pkN%2F3onhKZRjtLhbVH40xdF%2Bo6lWbphRNnNexDS7WEeevcJNSj6MHI1iFpHn0R8O%2B8%2FYBqBHa4FDAEz%2F4R4YkV0rT63LKHIhJRFMcoBruFyuoSx4jRHJCFwDj9oiOH8hjJCTNb6vgs%2Bf6xAQsdjK3KSnvEpDhWxyd6G3ain6DczmqKgrabxWzbr4LB6RapUvq4J7X3pITUiOXcymNiX%2FvUHo6%2F2IjUuoBEYu%2Ba8IzBNT8%2B6G%2BRXrRNziUR4e267Qsf5oOFN2XFa94JyP3lV2u%2BsM3QVZywv7lnNuJD7xk2%2B9HPwQaem80yvOoEYNaFyUb2rfgStRkzLhtKuq8a6md0fq%2BXFnygPGu2wn488sD6mm0GWmboLo7pgJOui9EayJ1IEWZma1Dq91%2BJ%2Fai801gsGKImwjOyqQsvqmqYtHonEZt1H30oN4ITV9bgeoB2H6LjUHIRNuC9T9Bm%2FvJOC2oh9rfruddu0F6BRU%2BFAsqSnlUSam7lYD9xJQFHc79eo9d8C2Trhjl68%2F5zxBvPVdJePJPWDk7BRdnTirYMr888FP0iHy8GGFww%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,62.328,CENTRAL DECAFE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#869507349,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Tostado Pack 3 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=DWzZz%2FIptHzlo4fe%2F94nsbxqDW3U4VXjTIUARAUaA5pJh8BG4%2FwhWqtKZdpT33B%2Bv8U78ksdtwyR8hD2rsCTIwMbuAUwIaNNV82trSXPN8curkI%2FtEVfEwpJDJHK7adrJrpaX4gJvJd2bP846kYWkYssdPXuOlefIn0k5eO9Yq5IYhlOX5LV7FJtOlV0D6yj8kMnHJc%2FTdpJ2J6%2FBnZwXJFeSoF3lIS7R4xq21Fc%2BOvCNzMBLpJqDklpeL7S6VQ%2B0%2BhmbWfiHCDe08MQLSFZltTw6NdZBbFu192fN4wTUMZ7E6PzIEGoYSSt%2Bn0A7%2F7t2kdjfC95OfVjMdTuv8Ot6NJ95zToVUyUE66ivnAQ1envJ8%2BqpvULyPyVd2ZQ9p1hyzpIIVSOrJfOzyW7S7f5tGsA85uyMsUffaRx%2FXmwRcIDLHtETJ%2BCM3%2F8Vm54jgNu6AVGEtJ6eav3jzUHQ%2FOo0iSaiEblasQ1VFNmM%2Frpx5kgM8w79s8HXRSbpzBZRo43PfPatV1M6l%2FQ1DoervNPOCiEPLLlv1aNvyVPKTpZczoqq26tucA5VtEOLASkRgh7Nk4T1jbfaLeBqOyDp%2Fi1qpZZ%2BHNNmowKPLpzQn0Bhvr03oO4obPCjDD2dzseAC6g%2BeLxRvGT5vcPWOWDF7m9sBC7R1yQjjZkndQW6nIkAJFfHebqyk4J4TYwMEcqcc1S&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,90.000,BONAFIDE ONLINE,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-04-09 10:44:38,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Daihatsu  cafe expresso  CM5403DE  Negro  220V  Expreso,https://www.mercadolibre.com.ar/daihatsu-cafe-expresso-cm5403de-negro-220v-expreso/p/MLA28533636#searchVariation=MLA28533636&position=22&search_layout=stack&type=product&tracking_id=e40594d9-92a2-4dca-be42-c91be0cccd65,144.199,TRENDY DEALS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1581819598,2024-04-09 10:44:38,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
