Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437?pdp_filters=category:MLA409407#searchVariation=MLA19958437&position=7&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,12.070,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286562737,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA409407#searchVariation=MLA19979543&position=4&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,7.499,MERCADOGOURMET ONLINE,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1320907399,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505?pdp_filters=category:MLA409407#searchVariation=MLA19944505&position=2&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,11.579,Ecomodico,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1295659274,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232?pdp_filters=category:MLA409407#searchVariation=MLA22834232&position=5&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,34.499,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420427699,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=3&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,10.090,BUENOSAIRESINSUMOS,Nuevo  |  +10mil vendidos,(+5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398099257,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959?pdp_filters=category:MLA409407#searchVariation=MLA16112959&position=1&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,14.848,CAPSULANDIA,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1136577468,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=15&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,17.900,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331?pdp_filters=category:MLA409407#searchVariation=MLA20026331&position=25&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,13.449,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1698275646,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=vGc%2FkHtAY9PUu7c6md0EAW6p%2FCbSQTSYjpoBq2hcwcwZr3Y6DzMVXyS3MNMlYCqeomghjIVyQavjQvb067RhyjB8TLPieqUiDUchetPFHLmvcXV9ZU%2Bi4yGnHTy1es4BFp5LR5mticR7fiF09KDtowsUPzjtSzpEKBgmlY91eP3Q7zov3JX%2BvcpBoIoDPL16BABKzJT6UA2N6avKyUXP06%2Bqx9HpJ%2B1DYkdasonbqLnKpN9ljhQa20IEk9SjS7jDMBN8YtXWI%2FBSANxTqNBHgn2PGn8PI78pfmKN6VTAc0rWrNtuLuPnphSIgBD%2BV0DtwhGWyYbUwNcSoeCFF77Ujwn4KkMhYaLLmtAseRT8Scnnl2Am8zwXViAzrEZCUe%2BdM4tnw5zwN9Fu5R9sqitRleWx%2Fz0DyC3SvCquOZt8nr7rGHaZd59pZ5ILT9zy8R7cQQczbI4WLVQpjLjgi7iNIpn33qexIGSu3xWj928yA9KrlNwUDcXp8f7H5YWL8tzoaO5i9d%2BTtd1FMfi9FLuS5ecPUagFA5noBqdFU%2F7ChMS7ks2K5My6YOEs7EXxsPB0imPVrKI75idJzoMYVENNL%2FRXMgk0Y2%2FVxZzghfVvomt3E9r%2BAersAH93VjsR9mOuHTLlDcRxmOyCbMql96ZWchUo%2FDZv0xefWBoSyFy9ylggDP2hOXd3oQ6b8DWSz1oTGyjDIoSQN5sUlhDZ%2B9NAwc7V7E4A&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 2kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=VUo%2FZWmkiQJVXrRKY0LVKxLwtkJlibEKRc8cqbcwgFwwS0%2BD8zrNlbUBsVdqA9SJwR3ZUC3reNXXNzY3ZjyR5OU5VBHTYGVxhkG%2BO7QAVAHCsQuF6oDt6C0YWtPyNTnWJE5yHNqcs89si1KNMhTpuXLHN6cpxoABKhCZQeJJpQduMi2NzWahZ%2F%2B1ImJmrh4Hb2SkwqmBgXONhVBrw1q1ZhikavwR%2BDr2tWOGD5pa5qlN6DLxDeeWdpNWxJ5BxmALmj3KekkCJvgJ3cGHQqo9e2iFF6pNLi0L7kw9i1btd4a%2FDZ9tc3mXeJGXwY2pRQxKlqvXrRiFvLRY%2BwvC6SbUb60mYStBXm%2BlWh%2BmUpmi6JNR%2B%2Bh0BE9%2Ba8xA5yu96KJfLv6MndMtX1u9CAEBMVzjOonLE%2BeSIj42MOPo37rBe2dDbz6qNr7%2FyKZ0dpmkH3gtxlA3HQNHd2lUDmxxMQ00WXI4QXOOUx%2B5Kp2ZRsEXsUYpj%2FQ2FbrdeEPLoh59c3GGkrbCjMKWTjN5ril1s%2BGjjr%2F0cgzzu9R5ca5lQ3y2CvaRO5CCN%2F8GUR4X867gX8VMOpC1HwW1Jt8amCrIZbq8MYPhsoSZEFraj4Bvo3BJ0LdS3FP9PmCr0IfTh%2BGVBFe2CRSbVjqUqsaF0ip2ITL%2Bo%2B2PFxSlN7%2Bd2cXznIBebKiXgyMhT9esi6iOgwfyWe0KykJSb6dW8YO9Jk8pUvuaWQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,74.954,PARÉNTESIS,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1550281466,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Soluble Tradición 100% Cafe Nescafe X 1 Kg,https://www.mercadolibre.com.ar/cafe-soluble-tradicion-100-cafe-nescafe-x-1-kg/p/MLA19791745?pdp_filters=category:MLA409407#searchVariation=MLA19791745&position=11&search_layout=stack&type=product&tracking_id=5227ca6a-ca3e-489f-b3c2-afbf96c3d496,34.499,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420453029,2024-04-16 13:20:23,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
