Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA409407#searchVariation=MLA19979543&position=5&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1277672398,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505?pdp_filters=category:MLA409407#searchVariation=MLA19944505&position=2&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,11.579,Ecomodico,Nuevo  |  +1000 vendidos,(+5 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1295659274,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA409407#searchVariation=MLA23792131&position=1&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,6.897,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA409407#searchVariation=MLA20732424&position=3&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,9.538,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1707092820,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232?pdp_filters=category:MLA409407#searchVariation=MLA22834232&position=4&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,34.499,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420427699,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA409407#searchVariation=MLA19944508&position=7&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,9.680,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantaneo La Virginia Clasico Espuma Sin Tacc X 100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-la-virginia-clasico-espuma-sin-tacc-x-100gr/p/MLA19738168?pdp_filters=category:MLA409407#searchVariation=MLA19738168&position=6&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,4.420,La Virginia,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1220269803,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331?pdp_filters=category:MLA409407#searchVariation=MLA20026331&position=8&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,12.546,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1698275646,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FT4iT%2FqCPW%2BWRdPoqPH%2F2SepqOF7PAxcfl3%2BoCLRAnNG39lg10RMZ%2BGr3utfPF2kbMIt8LrJhIcRtmY2qY22IpmjdXhn31qnax2H9hWY0JfdG18OFBfPlktQY7KGSUvQg1BgmI614Sn0nmCrxayfg2%2BLH4rYg%2Bkr7PgVSRJTOOS1nAoZl340F5Oo8Ji25timNdCd%2F2tJzoLmGn7VKmgtAma2G65FpAXuiwjbGj2eLsZVJsy48C6DRNet3f6ufeVLT%2BwuHBxmD8NNdoI3hz9KFlXTVrSMcIrtoXkWRouS3BveMSQ561P%2Fwd1HkEVGdOgveGTK9OspGhWVORX9rGGmOl283ljntFUGI64uH6APoyc9iIKiDoqsEebeM42uhwo%2FPB1gCR2byi1B%2B31TMJdrRDA5ZvaC%2Bzk0ARirrUDBO522bBQURNDhkA%2FqY4xLAf%2BYFvZPSN3tYV0kqANZ7jTecm1s%2FCuYN57JPXtYYrReMYmBP%2BiqVAW%2BJp9fv%2BdIPiudfVcNfojLKT640SKM0b%2FL5As9GzdRKp%2FNuM%2FEni3zfIdFTe%2FTdKcXCoh2cSvhwsQMjtEaryz65ReoHfpKkyrML43KbsEiV8F4ZdoFpgpH5YCMLxoKLeizJQEHtA5vuQ5wjXjYn0N42pjl7MQNLb9t5jE4R%2FFJ8%2F2RA%2FzUzW8LDSCfDHjgse9NHyWorPBeyvvphTVmLdGijulYJyuFt5RjqwwoS3%2FJ&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad Molido Brasil Rosa Amarela X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=0Fed31U1G0HPM%2B%2F%2FhYQFTZABYmBYmwNdu5o9c1maC3ouB1KqcNm526h7x%2FUHUCG5DcPuRu2VryEl8mB4KcexcTf5a%2BgZbR78Z4F%2Fkn%2Bd8fe3ZsCVvGpkm6MNaTJbhzlhER3BaYk3uXg2XqPC1cpeR%2FffxRNUoWPaKTCDpO75ws0%2B7acsl8HIFBQVzuh8zAAdoP%2Fz2Ud5qbsCLdqqREmUUVxN6nG%2BfLsmxOXvNR2PcD9eRm9w1IF5v%2FG7gQtyVCs7lfNSbtdfYwl8OcMHwa%2B0aOlWAmZdVhP2eaTfy484SWz882inC23Bp81iFyCODPdV1PpFJaj%2FmryLiBUnQoA7dCIjtAB7pL%2Fv%2Fm87BTVpYQpOp4acTl85Kgz5J8Ng4UQQJpF8pkErosWKRpe%2BfUURNNoP%2Bo%2BMBHjCiBEksit4VaSVnoULltQsX%2FD4Nf0V8LmpT3kLK1DSns4Aqx4xt%2BqpzQ2NKGacEFm9wNSNOjYp3Ijlf1hbXa8CdikKoBi2JtlUfk4SAHJerP2EhWK0Dr5J7buJIiWlXG5ZnfSgkK9EucaWhnVqjsmbwXQFib%2FSSv208S5nGgouHP68biQAj6cwqwWFI%2BmzkJAPPetcugmIV0ibnKnJHRq6soaMoJbZzQEorS3G2Pye7IHeoxwAVC%2Bpt1BjJ%2Fdj%2Bq7ZNol%2Be0fGdardHfUxrpCh2LB4xJVT6k0G7K1fRKkN6Zv%2Fc7U4%2Fejghvrfsemc8YfdETQ%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,34.776,TIENDA.FUNDADOR,Nuevo  |  +50 vendidos,(+50 disponibles),Nuevo  |  +50 vendidos,No disponible,#1124409306,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437?pdp_filters=category:MLA409407#searchVariation=MLA19958437&position=11&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,11.900,Ecomodico,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1286562737,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Soluble Tradición 100% Cafe Nescafe X 1 Kg,https://www.mercadolibre.com.ar/cafe-soluble-tradicion-100-cafe-nescafe-x-1-kg/p/MLA19791745?pdp_filters=category:MLA409407#searchVariation=MLA19791745&position=12&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,34.699,PASTEURVENTAS20230315152612,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1420453029,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Martinez molido tostado tipo italiano fuerte 500g	,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-tipo-italiano-fuerte-500g/p/MLA20026019?pdp_filters=category:MLA409407#searchVariation=MLA20026019&position=13&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,17.005,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1293219917,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Torrado Molido La Planta De Cafe Cabrales 1000g 1kg,https://www.mercadolibre.com.ar/cafe-torrado-molido-la-planta-de-cafe-cabrales-1000g-1kg/p/MLA19966384?pdp_filters=category:MLA409407#searchVariation=MLA19966384&position=14&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,14.951,OPENPRICE SUC2,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1382332867,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe tostado en grano expresso Bonafide X 1 Kg,https://www.mercadolibre.com.ar/cafe-tostado-en-grano-expresso-bonafide-x-1-kg/p/MLA19979571?pdp_filters=category:MLA409407#searchVariation=MLA19979571&position=15&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,35.000,BONAFIDE ONLINE,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1412732322,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Instantáneo Liofilizado Clásico Juan Valdez Frasco 95gr,https://www.mercadolibre.com.ar/cafe-instantaneo-liofilizado-clasico-juan-valdez-frasco-95gr/p/MLA25822977?pdp_filters=category:MLA409407#searchVariation=MLA25822977&position=16&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,31.687,BLIP,Nuevo  |  +100 vendidos,(2 disponibles),Nuevo  |  +100 vendidos,No disponible,#1381907757,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Illy Molido Espresso Tostado Clásico Blend 100% Arábica,https://www.mercadolibre.com.ar/cafe-illy-molido-espresso-tostado-clasico-blend-100-arabica/p/MLA19937587?pdp_filters=category:MLA409407#searchVariation=MLA19937587&position=17&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,10.778,DEVOTOFERTAS,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1323493674,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507?pdp_filters=category:MLA409407#searchVariation=MLA19944507&position=18&search_layout=stack&type=product&tracking_id=c24f86fb-ecdf-4157-b8c3-cd90c13ec768,16.371,AVFX1,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Combo Café En Grano Tostado 5 Hispanos 2kg Expresso,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=dIhzAsbn%2FByUnhHJ66k0rSJ3fxsIBa0bUrPNPrqVsfh2jXHCDHolNaBxNSVjKrJ4U%2F9W5auINxI2h0sKVNRaPIMNG7aoM5pXC3fFd6lrtabzAxgdQ%2FQQ9SA%2F1KAQ4InYCqXKFRUJ7tf1nOozZWAo9c3kX9K48lykI9i4q9%2BrJWfb5QaaA4yI4eQMqSLthaT154tNTXqFDlpZIAUw6QWyOHLEMyiM1%2Fgnzqg34h7uSetLus3e0ve0310ywNopW5rFds9midiC08Lj4vjnFaKe2NpVjDwlgfRyXf9%2Bo0ITuTmrWhZwphWQzb%2Fgkf0MiUwfowH5OQna6FrTxguca7mKDeMbwbEWlfblQ4DpA7njutmCd8PmJDuecFiZaQIeAU93RAuSjNSLntQ0pHpoMvrbLj0huMvbtOTX21b%2B%2FfBBcT9Z8dTP89%2FJGZuTHSomu%2B%2BCE1HmeGlEu7jlXSCcFuZcHLcjHUhNnuMDeLjGF8ysnvo3Lm0YupYHoRbQcFhVmV6Yp%2F54vDSokI6BBlDnQwdYvf1ja6eldlOXRUwBb9iOiNd3ltW5wJttsaFy%2BO36Pznki6cJfXauIoyax4Az9HnTvg94toDqqtj%2FVkbjTa%2FnmwXXWvfjA6puK%2Boc9Qxc0Cat8wmf%2FiP5MYjaix%2Bd9UWKiXRTb%2BdmpYOppMB%2BQeEjMryomPrJLiXr9P8IPudaxToEyXX13y4lV9e482Mo2D%2BN5R0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,74.954,PARÉNTESIS,Nuevo  |  +50 vendidos,(+10 disponibles),Nuevo  |  +50 vendidos,No disponible,#1550281466,2024-04-17 14:19:22,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
