Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543?pdp_filters=category:MLA1423#searchVariation=MLA19979543&position=6&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,7.500,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131?pdp_filters=category:MLA1423#searchVariation=MLA23792131&position=8&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,7.260,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Intermezzo X 250 G Segafredo Zanetti,https://www.mercadolibre.com.ar/cafe-molido-intermezzo-x-250-g-segafredo-zanetti/p/MLA20025887?pdp_filters=category:MLA1423#searchVariation=MLA20025887&position=3&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280709825,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508?pdp_filters=category:MLA1423#searchVariation=MLA19944508&position=4&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,8.900,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Cafe Nescafé Clásico X 1 Kg, Nestlé, Café Instantáneo",https://www.mercadolibre.com.ar/cafe-nescafe-clasico-x-1-kg-nestle-cafe-instantaneo/p/MLA22834232?pdp_filters=category:MLA1423#searchVariation=MLA22834232&position=2&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,35.500,NUTRISERVICESRL,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1372484559,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331?pdp_filters=category:MLA1423#searchVariation=MLA20026331&position=1&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,10.990,AVFX1,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1698275646,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424?pdp_filters=category:MLA1423#searchVariation=MLA20732424&position=13&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,9.200,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1707092820,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Instantáneo Nescafé® Gold - Frasco X100gr,https://www.mercadolibre.com.ar/cafe-instantaneo-nescafe-gold-frasco-x100gr/p/MLA28567354?pdp_filters=category:MLA1423#searchVariation=MLA28567354&position=16&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,19.999,ALMA HOGARES,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1401516591,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Tostado Italiano Luggiani Bianco + Luggiani Rosso -2kg,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=aCF7O7L3tmjDViBiJwwAyKkblTiug9E99uIkgjwXpHAQDL3i0zELy%2F7xGOt4FOb%2FQllBBCH%2BSaiNjHNI2eIgX4n8OgHkiAz2ptzAmg2AGIQTJh4kzMv0uNdEOsJXkeVLCNB4yLDLZ5bYYu9M4HPwWjL10SivOu4v6Y3RbkNQwb4B2bfC8hnMBuqn9fwsojllM%2FXEQmoPz92gOSzbWm0N0ZXLv5q6Kg2oPlhvOmaIj36HaUZpEjHix%2FEh24ycmVK5ywna91moGl%2Fz9aeJdFd0XlLrR0rfihWfKil7TijzU%2BLLaMHs3g1oIACnbmudfPV%2FKtJU7r%2B9fPxXCQFYHPI1XB%2FK88CnN6SrPAiN%2FskYlvpgYk8kKH6Q7W61vEjw9ifKRHsPwMq5kx4pgW0snUfCSv7DusTRYb46IYx0qgWh54%2BxmndkXZ9Sda%2FemB731UNvTeF0%2B7ieWJO2SW5GasLUm%2BusyVibJ9dF%2Be%2BOcG2zPL%2BPQrxg2J%2FHKqxYzJpmfQiifwkwXHDkozsGCuId5OCRZTOvhZe%2BHccpoP9Fw872zd8K%2FQpjPbLljVxFJ5uZTFzmi0IlmMLt0MSh%2Flf0sG3g87Nrtw%2BVlqgFzcL5FfNN5D9FThMNjJQ2a5QRnSd%2F6s1SR7%2BkQzfXHZ%2FFzE5Cl7rWl7v0xI98D3LnZ5qYXHLnZ%2BDWPfRMLqI2JV7mJskmfjLqpSDd%2BhKyctvuC8nga4VMLyse&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,62.328,CENTRAL DECAFE,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#869507349,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Tostado Italiano Luggiani Bianco - 2 Kg.,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=egf0lK0A0%2Fa1p4fMHU00aB3G8XPiHXqReluZKPVTCcgLjCpq390bTdGtlSekoiOhAI%2BEbiGlG%2BaoCXae4VbvAdHfvj4wLxV4sg%2B%2FLIexENkDYDcZOkc8jnR5eE9eb0SYYR104n8DAFrJj1fGr0aKHN96TT7QlDU1SucUTZF7citRWfexbAbmrznMl%2FylKXxWfzhBP5dCzGYLVbsASYzYWTHh%2BoqPCbRdmTojjyMaTX32E1QHGcrXXKtFagvFsotKdwY2rnEMSlk2DqvC28Niv8pKVbvwZBtayeWCKMrlvRpYh0bfia0iqYgHOgNXlpb%2FNzj6pQN0rH%2BeZQvJhQrUC3Mph%2FL7UGF7yVyRAcXd2l%2F3R9eu3WY0RSIrkcbANHXZSaclNZ9CODZsExsFbvKEa1Bjm2TQHTNmw4xUgGwf4kQdGIz7FS71qPtkqF%2BQv7%2BYzeRZBNG5dfGwy%2BkmMTjh%2BgcaSpjLaGf0K6Tu2q3KCxmh%2FIOY7u9p2rTBSFYX1duPDRTlALaWOQQ0wzTbZ4To0zW0sDjbkfkkCfmxqPrLQBLDuB4RQQpKrn%2BWBU1vvPOC8vcYYZC2VURQuOgcHYw44Sc76lGDdQk17%2FYf%2BhiCLENYx1JJb2lz25FpL7O5jaAYD44MNYkAiiJFEbGJlOX%2Bhs2V24YBbLidtSsFaot36eq6jbXw8bJEX%2BYfBqOG6Gq5kDTMeC0%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,64.693,CENTRAL DECAFE,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#867614088,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Lungo,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-lungo/p/MLA16167699?pdp_filters=category:MLA1423#searchVariation=MLA16167699&position=15&search_layout=stack&type=product&tracking_id=16fca77c-9a9c-416e-85c1-9d45956a3878,14.542,CAPSULANDIA,Nuevo  |  +100mil vendidos,(+50 disponibles),Nuevo  |  +100mil vendidos,No disponible,#1110073121,2024-04-22 10:11:15,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
