Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131#searchVariation=MLA23792131&position=2&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,6.897,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Martinez molido tostado Brasil 500g sin azúcar agregada,https://www.mercadolibre.com.ar/cafe-martinez-molido-tostado-brasil-500g-sin-azucar-agregada/p/MLA20721602#searchVariation=MLA20721602&position=3&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,15.960,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1308505910,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Nescafe dolca clasico 170g facil de batir sin tacc,https://www.mercadolibre.com.ar/cafe-nescafe-dolca-clasico-170g-facil-de-batir-sin-tacc/p/MLA19609652#searchVariation=MLA19609652&position=4&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,5.460,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1667711362,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Zapatillas Hombre Trekking Cosidos Trabajo Grip Reforzadas,https://articulo.mercadolibre.com.ar/MLA-1193302038-zapatillas-hombre-trekking-cosidos-trabajo-grip-reforzadas-_JM?searchVariation=175481569138#searchVariation=175481569138&position=50&search_layout=stack&type=item&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,35.744,NACIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1193302038,2024-04-29 10:35:25,Ropa y Accesorios,Calzado,Zapatillas,nan,nan
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=5&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,10.819,AVFX1,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1698275646,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
"Nescafé Dolca Común 1k, Nestlé, Café Instantaneo",https://www.mercadolibre.com.ar/nescafe-dolca-comun-1k-nestle-cafe-instantaneo/p/MLA20718664#searchVariation=MLA20718664&position=6&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,21.431,NUTRISERVICESRL,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1616754490,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=8&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,8.376,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1707092820,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=11&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,12.490,AVFX1,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1418107997,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=UQWt73WNaGalkCRIUByDjol%2F9d0MDhJq6LZJLAuasx5JBx1IObxWiO8fNS0%2FH%2FE48GKKer8f3udllRQiiWE6vAmcVC8uBkUYSk8U8AUKSujoYzsnlDmhkYjuWwspPMgqIgNN%2F5pV1%2F957NVrFwDjaqnzpcVYlQYMXZvm8484eTAN9Dg9Y2Eud1GzMYuZavi6BH0Cz0NGcYI9sLJmXLQh2%2FnqPauRrw30sIUMZNavSRo2Okc4H4KfgHTAtsU3twVFoQenEKvBg9rPq2mAHvtxt9yjdXuE6ei6hqEYPJxvfUaP%2F1Vg3Hp55s%2BkwJEJ0hm2nj44Aay1eONCGpJoYX5aC1vs7zKeY4cm%2FiCVBfeY3oPPnXM0UajOh0cfjgW5l5XCoxaqO3KSQ39wkOKawGB%2BSdj2enok4%2F%2Byc9izevIrUpFDLlOGhtyZzX2J6QgZh4UfI2OeZxzP%2FlTbnRyKCC7rL1ZYKfpcPStFowe0DJw4G6fw7%2F%2FMuFDJ5PMtekWPIaNuTMG9Ysoivy1EVGYhI%2FchO3vrn30jt9aSWDA%2FWcIXZ87mtxMcgUn75clBcR%2BTCD%2FZlN8TO73H2m5ydj2KX0QIRKpVC1H4CuXflhhGcpMveQPnNjjiRjZppyQ9POU7RwUILY4FVd9eTo81dPggLZAowD7%2FsAvC4u%2BwiKZQRVa9FbBmgTiVcCZSbW9apPtmLlxUl0nGNuYSmFkfjgPh2ipx4tehEopbKA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Fundador Elite X Kg En Grano,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=vUbahEaEgMRmXRA5r3%2FLzbJClcjVCl13gqiA4EgIY7yeCokJVvfCePqRTn%2FKnC8QRdPjDcgdDoyi5yEil%2BikU6k5WWqb8Wfn2HjsU4GyZ7ShV9U22vr9DaUegGnqmEIbkS6XOMuZVZFi35gTTzdH6FjMv48dxG5zMXi0GrTjECZBgx%2FAT7osLu5ubDMmklQ78ZqfIYtO7LPc36FvCml06T5MHrhOcOgfgMoh%2BCD%2Bwfo5tvopQ8kkvkLcS4if24RGqTgxD3nX22eMfj2YtGSf%2FzJ3GsIaA1HYEiOj%2BVwIiiR%2BFMwy2AW0CPhUTJMvlNGb3NMdOQS3vc0FYaKrOR35S7pOZUqDGXUSx2QUhpglmt34SmHWTuNT0DNvlbZBzCuvP91K1KnzshIEuyRiJWSSISXS2NdhJ7bmmYpe4%2FudhYHC1W1fwyLHgyarnqA9vXkiqusYaihmsACeoNEWOC5rkdM%2FwobJJA8NlaeR%2F27fcg0TBZy6EM%2BTo%2B5YM8LlaazpyJIxGGwUnPgkHI52NaWSZT7lMeikoHnTP5FJ97hey9vGwm8%2FKrb6uCVmU10Sye9dnYOKsSrWyOZPPVu6j8iuYDMPOC3s6e1eFdD0SoxxmyeBjfsYcjHim4nQpmAsU9r6SQwgcUUdm5o8kgMPLo3mZ1Xb2nsx6DqsV%2Bbl69iMUKQM1skEY1tDK8W9fKM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,33.021,TIENDA.FUNDADOR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#877916585,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Nescafé Tradición Instantaneo Clasico 100% Puro Doypack 150g,https://www.mercadolibre.com.ar/nescafe-tradicion-instantaneo-clasico-100-puro-doypack-150g/p/MLA19783086#searchVariation=MLA19783086&position=12&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,8.066,TUPIXIE,Nuevo  |  +5mil vendidos,(2 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1238223396,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Prestige Tostado Molido Cabrales 500 Gr,https://www.mercadolibre.com.ar/cafe-prestige-tostado-molido-cabrales-500-gr/p/MLA19944507#searchVariation=MLA19944507&position=13&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,13.759,AVFX1,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1703868722,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Difusor Saphirus Con Varillas Aromatizador De Ambiente,https://articulo.mercadolibre.com.ar/MLA-1395841479-difusor-saphirus-con-varillas-aromatizador-de-ambiente-_JM#position=51&search_layout=stack&type=item&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,3.204,FRAGANCIAS LALINDA,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1395841479,2024-04-29 10:35:25,Industrias y Oficinas,Seguridad Laboral,Limpieza y Sanitización,Aromatizadores y Purificadores,nan
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505#searchVariation=MLA19944505&position=14&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,11.708,AVFX1,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1418783265,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cápsulas Nescafé Dolce Gusto Espresso por 16 Unidades,https://www.mercadolibre.com.ar/capsulas-nescafe-dolce-gusto-espresso-por-16-unidades/p/MLA24215212#searchVariation=MLA24215212&position=15&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,10.592,Dolce Gusto,Nuevo  |  +50mil vendidos,(+50 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1581898588,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Cápsulas,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=16&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,7.499,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Daihatsu  cafe expresso  CM5403DE  Negro  220V  Expreso,https://www.mercadolibre.com.ar/daihatsu-cafe-expresso-cm5403de-negro-220v-expreso/p/MLA28533636#searchVariation=MLA28533636&position=17&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,149.199,TRENDY DEALS,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,OFERTA DEL DÍA,#1581819598,2024-04-29 10:35:25,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan
Nescafe gold cafe soluble instantaneo sin azucar frasco 100g,https://www.mercadolibre.com.ar/nescafe-gold-cafe-soluble-instantaneo-sin-azucar-frasco-100g/p/MLA16112959#searchVariation=MLA16112959&position=18&search_layout=stack&type=product&tracking_id=92ee599c-00b7-4b18-af1c-db8e3abb87b6,15.344,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+10 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1136577468,2024-04-29 10:35:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
