Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Cafe Tostado Molido Espresso La Virginia 500 G Sin Tacc,https://www.mercadolibre.com.ar/cafe-tostado-molido-espresso-la-virginia-500-g-sin-tacc/p/MLA20732424#searchVariation=MLA20732424&position=2&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,8.360,Ecomodico,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1295491709,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Nescafe dolca clasico 170g facil de batir sin tacc,https://www.mercadolibre.com.ar/cafe-nescafe-dolca-clasico-170g-facil-de-batir-sin-tacc/p/MLA19609652#searchVariation=MLA19609652&position=3&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,5.369,OPEN25HS ,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1667711362,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131#searchVariation=MLA23792131&position=4&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,6.390,Cafe Martinez,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
La Virginia Cafe Tostado Grano Puro Aroma X 500 Gr,https://www.mercadolibre.com.ar/la-virginia-cafe-tostado-grano-puro-aroma-x-500-gr/p/MLA19944508#searchVariation=MLA19944508&position=5&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,8.490,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1399285005,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Mate Pampa Xl Boca Juniors + Bombilla Térmico Xeneize Cabj Color Azul,https://www.mercadolibre.com.ar/mate-pampa-xl-boca-juniors-bombilla-termico-xeneize-cabj-color-azul/p/MLA29500138#searchVariation=MLA29500138&position=6&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,33.159,SILMAR BAZAR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1402975247,2024-05-18 15:11:15,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Mates y Accesorios,Mates
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505#searchVariation=MLA19944505&position=7&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,9.572,LUIS MICHELUCCI,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1426926495,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=8&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,10.175,LUIS MICHELUCCI,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1427006621,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café Soluble Tradición 100% Cafe Nescafe X 1 Kg,https://www.mercadolibre.com.ar/cafe-soluble-tradicion-100-cafe-nescafe-x-1-kg/p/MLA19791745#searchVariation=MLA19791745&position=11&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,32.679,OPENPRICE SUC2,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1468554650,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo
Cafe Cabrales Molido Super 500gr Pack X2u. - Tienda Deli,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=48KQ5FxQkZuxH4H6s8tq8iY%2F7Yf6GSn3rF3vtdg4ssdn52SSgwN8K8ugXPvv90Dg539cZp3C5aql3tl%2F27IsU8CfGstVjNkZyKmPscS95Z%2BVad%2FZt5Wb9feUzK2JULOTks4%2FgEkUXQ2rZJA3qBN06WGMJGN3e1gpVQtqzQT5%2F09bpiQ6qbT9TfsNgS2%2BFkTa1F2lwY5LpW9u4hAF8ccmQgtd7WTbNuipNdFz9IsZEQFC5OHkEZ%2F%2BJ61ktLvza83IbyykAUitv%2F1FclH2zjwl2V3CTuL3IsPtjm%2Fj%2F9q%2FCm1FR0JNQu8v4S3KqB1hDmTWaUDT6YIvNHmrKeQ9x7AJxyigaIbhb5G7j383L%2FFuKPUj3FJkj3bjJKlHm5NGYzu6B927i2BARkOMdfAs1IUWkd7nAjCBP5FDh0EX5wnjPtpI0m5QiIkdlt1Kpy4Lt9JGcJgQY6n9lj8VJTp3rkkVlgW7RKJj%2Fmoe3bjelVwqzRthFfRk6Xt0%2BRnuIiGGH%2B3IoDddweimVa19qO%2FLipvy5e8cOEjplF7gzE4D8whyZa5hkeksYqCtTHIbUTzz7oQAoZ4r8euBOOKw1dEh859B6darIAfr%2FBXUuTT9TScH6YEH4eZyM1B4CNRu%2FxS7ZodNx34AADsTKl4VmUTzgqWhxWo9SkxFJrUVTub4DxeosFq3xX355aKimz0olwj7m0COG27HIQe6fW9impZkqhE0jw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,22.930,TIENDADELI.AR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1424619380,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Café De Especialidad En Grano Brasil Orgánico X 1 Kg Drupa,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=WS4EoSVP42nbYES21J%2FaQUPmMYbjAnN0jzfzqISV6opP6%2BgvaCyAVQtgBpzRl6ReBzugrwh3LeaOJJb1ZP0AnzNbjPKJoLrMlwYi2BBYelIHFL9KRn3IDKvyjc7%2BmdC64bdMRp%2FoMu%2B6KpT1NnRUDyn4IsWPqI3Lf1QHQCf%2Bf73cJ5petdg2NulpAuSjBMZWheP5GmmeLNvws8PnwxGW5prhzXRhdteBnvDqv32lAROF%2FzKCuatrLg9wLZNota15GvB%2BnALz00y3DOsvgbGLcUnibnpgZGLwj1EZpIk45AhsCL%2BRjW5lUr8oZEFAknXM73WWar9oy56An%2F1pXaxTQ71MkMKbwONhtDpwEcS61jUGZAve5tzuXi8W%2BZy%2BHEENW6EA8QKExrfo3l207WfLfx7BxCyzFGCfPN%2BVvDzVrmiNr8J7dY%2FmoQFjZvuKw8r4hm6LiLNRfrQwx6FHYeP7gZnBt3PqBQLGcWzoQeJ9zyloYdqOp9raQkwB4gPv%2BUr2D6ChFoXR767vzz1FAtkaa0w6u16NiMWnqBOzy7Z8qvPGUB8A%2FGUGOQCqzngmbPl6FIZSrxE7WFOcEfxCyHI2XoE5EAN9tmp%2BEVGB8ibT6H4JUGFY2s1QfqbqEYkLFF9P8RoO69kQh0luSA62FnktHtc%2BWpo7T3pcJMnT52hoQmM0Y8CyXQ3tecJ%2BAm%2Fuch4BZSbe7b4FTQyRzryIeEh6aUi2xU5iktM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,34.790,TIENDA.FUNDADOR,Nuevo  |  +100 vendidos,(+50 disponibles),Nuevo  |  +100 vendidos,No disponible,#1395143445,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=12&search_layout=stack&type=product&tracking_id=f85879a4-3eb2-4050-a751-72103bdf1115,7.124,CAPSULANDIA,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-05-18 15:11:15,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
