Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5,Familia6
Cafe Nescafe dolca clasico 170g facil de batir sin tacc,https://www.mercadolibre.com.ar/cafe-nescafe-dolca-clasico-170g-facil-de-batir-sin-tacc/p/MLA19609652#searchVariation=MLA19609652&position=3&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,5.382,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1667711362,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café Instantáneo,nan
Cafe Molido Segafredo Espresso Casa 250g Tostado Sin Azucar,https://www.mercadolibre.com.ar/cafe-molido-segafredo-espresso-casa-250g-tostado-sin-azucar/p/MLA19979543#searchVariation=MLA19979543&position=6&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,7.499,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1277672398,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Morenita Cafe Molido Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-molido-tostado-colombia-x-500-gr/p/MLA19944505#searchVariation=MLA19944505&position=11&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,10.589,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1295659274,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Zapatillas Hombre Trekking Cosidos Trabajo Grip Reforzadas,https://articulo.mercadolibre.com.ar/MLA-1193302038-zapatillas-hombre-trekking-cosidos-trabajo-grip-reforzadas-_JM?searchVariation=175481569138#searchVariation=175481569138&position=52&search_layout=stack&type=item&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,35.484,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,OFERTA DEL DÍA,#1193302038,2024-06-04 17:07:30,Ropa y Accesorios,Calzado,Zapatillas,Zapatillas Hombre,nan,nan
Cafe Molido Super Cabrales 500gr Tostado,https://www.mercadolibre.com.ar/cafe-molido-super-cabrales-500gr-tostado/p/MLA20026331#searchVariation=MLA20026331&position=17&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,10.990,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1426357813,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafetera Yelmo CA-7108 semi automática negra de filtro 220V,https://www.mercadolibre.com.ar/cafetera-yelmo-ca-7108-semi-automatica-negra-de-filtro-220v/p/MLA14226552#searchVariation=MLA14226552&position=14&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,30.593,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1570131660,2024-06-04 17:07:30,Electrodomésticos y Aires Ac.,Pequeños Electrodomésticos,Para Cocina,Cafeteras,nan,nan
Morenita Cafe En Granos Tostado Colombia X 500 Gr,https://www.mercadolibre.com.ar/morenita-cafe-en-granos-tostado-colombia-x-500-gr/p/MLA19958437#searchVariation=MLA19958437&position=13&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,10.390,No disponible,Nuevo  |  +10mil vendidos,(+50 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1427006621,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
Cafetera Embolo Prensa Francesa 350ml Negra Pettish Online,https://www.mercadolibre.com.ar/cafetera-embolo-prensa-francesa-350ml-negra-pettish-online/p/MLA24752455#searchVariation=MLA24752455&position=1&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,9.155,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1469946834,2024-06-04 17:07:30,"Hogar, Muebles y Jardín",Bazar y Cocina,"Café, Té y Mate",Cafeteras,nan,nan
Pack De Café 4 Variedades X 250gr- Brasil - Colombia Xrl,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=a6mPoLaxKNzj6Gw778S6ROzOQqRyekXx3rM5LRU2oGwXF6aX6%2Fe3aLs0ETszUJt%2BVyIWAyRcQ9BgxgqbqgHJ6gesuH2QXplmMsxu%2FPHJFGjHT4Q3wmV%2F2AIV%2FH8P2iPf7LyXZi17cB0fREOkDbrnn%2BZw8PIxw5jppjKWnd%2BAcouySpxPY7eNygcza8fogqBoJEQZG0KRSB5sNFBmTzcKmtZeMNoJcDi7VVMv2JCsL0UYLA9ivFq98n2at9G73UJ88ktbHRC%2BVzxYqW8QtqNHtUukuypiIxxRHgKJcZHET3BumGWRK9Xi%2FzVNwDmatGTnyTXgFuxM2laHqxc%2BEjegTUYt6NW46FHaJZ5KwTywsbqdIdKQ2tfl%2Brv6U0y7WvJ4ix08f763zUEOTBav5w0N1QwE5kCu1J1yAa3JKveGtPwNgoBd7arSET2dazAC7Fp4UrD%2B4H9qhi%2Bw5kqNcFY6HzN2XYvDb1z%2B%2BgJCnuBfoJ3VAnmnbLYLOo3vFJS5MKlwRobliOCTzm6lxQ2pl0xtjnkQl4RZH8WbjQl%2BtRm4N6OvCcQo%2B4Yf07ViYhhUZ6BN3zGtezJQ1cUGlYTpfbfYUp43Q9p6%2BxAxXH46hjPb0BP6gjcFMZdnh2xeJY1Y9LJ24cCYTc%2Fuy5Z8GQGx5b6qOXo1IShfPkoKFPXvy8QAd3Y1WiZK%2BH%2B9mupm%2BW5heY7d5Vqn90LQWgq7OTeNbkcd&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,39.700,No disponible,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1550312474,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,Cafe 5 Hispanos
Café 100% Colombiano Bonafide Tostado Superior Pack 2kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tY4SgGjWwQBAywNwS92285TkqsJwLD2hU5KTwsx4myUagiNQo3b1qP0q5zDRwxk8q9ksOW9DHCJBa%2F2k6vIiFiIVGKeUjSltoIt%2FomnzptZF%2FzvQyjf%2BF1tikeF8vGBJSkmgZxbg%2Fq1bJ0w50moI9b5hFXSyNWYKfunyiu5mn1SXyfSIZqvnDZWQ%2FhEYccL%2B%2F2u8uUu7sNKfiiOyk78kQqs91Uokj9AL0iw1ZpgRL%2BhzN1AnwcxGa99hexKRJ%2FaJzqE4Xjk95nO6j%2BSuEiLtsBatcVV8o3Vzt8KHQLsCdhB9%2BZ6pX7GTgpGQt5p9ySAteRoQMQ%2BRFyzIhpCIIQW2CKHLnPQnD4mdzJ77KgQke1rpAx7vb%2BazV99p7ySvZw%2FolLocJ0oAn9s%2FIBJGQ0SP%2BiF7GsxjnH3mFOxrAw0Lnf0WmQKqKmYMy%2BMJuZxwrpeXSECqQja5KGznSXpWDe7Ua2kqZ0E5EvFf%2F9rAakPxDAwryCDJESFndXSnEs%2FprJFGHrXvQGZmN0RhZbTHvV5aF3R2U2lEvzX4AVFgAEv5HZW6sgJko7DJMp5el0nH%2F%2B6gUAko%2FjN4AcbHBsYCvOTTIbPzrXAMQN%2Bl9NQZnSCgxxBk4vAsplGbikd8Zi8m4iu0zrvXwp1eki9N1MO5wTfKm5VQLV3GSr%2Bff%2BW3HlgxGU7RrSsAv9xblHGKlPcfJAphlGtXAXB9zct8%2FktE7xaNt7gRp1g2sQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,82.000,No disponible,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1148710713,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,1 Kilo Cafe Tostado
Café Molido Tostado Suave 1933 Sin Azúcar 260gr,https://www.mercadolibre.com.ar/cafe-molido-tostado-suave-1933-sin-azucar-260gr/p/MLA23792131#searchVariation=MLA23792131&position=5&search_layout=stack&type=product&tracking_id=93f034be-c17e-4683-847f-0870ac2743ff,7.426,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1430453106,2024-06-04 17:07:30,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido,nan
