Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=50&search_layout=stack&type=item&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,438,VÍVET MARKET,Nuevo  |  +5mil vendidos,(196 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141531811,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=3&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,1.782,GREENANDML,Nuevo  |  +1000 vendidos,(54 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=7&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,1.199,CAPSULANDIA,Nuevo  |  +1000 vendidos,(370 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=1&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,8.907,PUNTONUEZ,Nuevo  |  +10mil vendidos,(232 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1640273046,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=4&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,4.990,ALIMENTOSFUENTES,Nuevo  |  +5mil vendidos,(72 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Cereales Quaker Honey Nut Oats X 190 Gr Desayuno Merienda,https://www.mercadolibre.com.ar/cereales-quaker-honey-nut-oats-x-190-gr-desayuno-merienda/p/MLA19957869?pdp_filters=category:MLA1423#searchVariation=MLA19957869&position=2&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,2.762,PepsiCo,Nuevo  |  +1000 vendidos,(59 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1282862986,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
20 Barras Wik Taste Quinoa Y Chocolate Kosher Vegan Sin Tacc,https://www.mercadolibre.com.ar/20-barras-wik-taste-quinoa-y-chocolate-kosher-vegan-sin-tacc/p/MLA21972238?pdp_filters=category:MLA1423#searchVariation=MLA21972238&position=11&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,10.800,DIETETICANUEVAVIDA,Nuevo  |  +1000 vendidos,(56 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1361993239,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Quinoa Pop Inflado Con Algarroba Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141504199-quinoa-pop-inflado-con-algarroba-yin-yang-_JM#position=51&search_layout=stack&type=item&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,495,VÍVET MARKET,Nuevo  |  +1000 vendidos,(206 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1141504199,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra De Cereal Muecas Amarilla Banana Y Dulce De Leche X16u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=BoCgo%2B69n9rOa%2BNfysyTDAyYS8siNN63ysBZncfi5vL8UcRPGt9KXntoEOZTdMXoAu0ZtIGTQlWbAyiEWACqBtGLskBkvyuUuf65bdB6jUSjMJV7IAIsUWn1v8uBHhUEs0OeJuvpwZ77KPb17nKFn7UhL2j3zThTW%2FfC%2FfYU5c8wWH%2FeeUqiZ%2FqXMlq5ckfswdbzQtNoaYFazz3FPHCTY166wR2PWdmyTRmgFhILkaxoTPGjcrrpHkoWiPFBCiMoJTh1drhwm6L2jWJ1ES8pXdpMD6OT9zqk%2FsQthHk3lUbaCp5wm5Y85XZYA8gcuEQskQLFbN%2FZV%2BkXruilewU1ugrOjFq44BIpZFQaua99N56NsUFTGPIqD8UVXAmEqvBFKBBxLHOEsfIZStLpcNHLcS%2BvU0Lv3m424dAk%2BrOtiQQ17aCItX0B5dmiuF9OQJQO0GQoIicXs4plOzzH9NDWbC1O7M6gtxb16k6k%2Bsm1wcwP9f9UjJtFZyDkiHVCBEQziFAckyaabISY1fzNhnPLh7GX3ESuHn3SBainrZRUcFfJnuv1qDLZU4K9b6up6ySJE96BhLIlOHF42seuwlRmyxBoi5OCLtBZ%2FWTx8KkUxj7JaIdX4qLI0ghO5uHrkoOnPZ9FMqqBbqvXVyTdv0s9jLKDmteoSCkW8HgeO6Bl9Q%2BHTMiYn4HxbM27QuAe0yE5G3uW8DclN01Wir%2BHcP8lJA4qaybeYA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,8.500,TIENDAMUECASOFICIAL,Nuevo  |  +50 vendidos,(146 disponibles),Nuevo  |  +50 vendidos,No disponible,#1530380436,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Barras De Cereal Muecas Surtidas Por 16u,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=BTg%2BI8jeLi%2FGHlnXUjd%2BPvGHe0ExEqtdHX5LUGRFBK84nhh4JX27DUcfcf%2FKOIsURwK25eo7W9vIEAFC9Msl2LufB2pkLmsJwC7c9B%2FXUAen4vmQbafKYEvo1MAJIASJtCo6ocT92YPe6K%2Bh9fysXLzHoS3iiH9tpMYoygH0FikhnC3KTIqrNlpXGDksWNMsOKrqlKkiOZGWZDqEAAPz4bIshJ1gNmFcmf2%2BTdSSrAb5Xa34bf%2F513Yq6lcqV2dk%2FJjlkOJV1cnJRt%2F50UkWYUcB2Gc8Ii6pPDz7pYQQQITXDlqCPsX3Ssxu6sujTfLjex8aBb3R%2BAU%2BwK1ql3sLWo57CIiR0Ks%2Ftr%2FC58ynS%2FiwIvyRlOz9QWBiA8q%2FfCCX6W6M1ltucuKNlXvgBxml0MXMLgrrfKPhYQUryAD%2B1cN3d3IuzrBpbwV26p%2F2vb7ME6m12M5cSlJ9ewiahRnD%2FeQ8064e9dLocoS7UE9hLA17HwU8bYjP0qlJyXdKYLYtU2riVlWLin7mwSe7cOPgDROnx2U3su4jc8RdP5kC9tufcPCuf0iwoxl7p2cZedgry5dHcafTuvh2ccmMNCJhP4ui1ZtnMAdGO9iDGEVR8iU5e7IOcQvIQF9CoWwtAZGI%2F8g9i%2FaCr%2B%2Fk8Mxfy1zmFtOy2uWZ6j4nIt4QYIJt0D1TFzwdbEzygIy9gjXXxvoHG9U02w%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,9.981,PUNTONUEZ,Nuevo  |  +1000 vendidos,(88 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1307408724,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Muecas Caja X16 Barritas De Cereal Pasas De Uva Y Almendras,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-pasas-de-uva-y-almendras/p/MLA21266471?pdp_filters=category:MLA1423#searchVariation=MLA21266471&position=5&search_layout=stack&type=product&tracking_id=2d74aeb7-24f2-4414-aac4-4e8526986c33,9.000,OPEN25HS ML,Nuevo  |  +1000 vendidos,(301 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1417247734,2024-01-26 18:01:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
