Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Quinoa Pop Inflado Con Algarroba Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141504199-quinoa-pop-inflado-con-algarroba-yin-yang-_JM#position=44&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,495,VÍVET MARKET,Nuevo  |  +1000 vendidos,(52 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1141504199,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=4&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.800,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(334 disponibles),Nuevo  |  +5mil vendidos,OFERTA DEL DÍA,#1451931526,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=7&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,1.758,GREENANDML,Nuevo  |  +1000 vendidos,(12 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=45&search_layout=stack&type=item&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,438,VÍVET MARKET,Nuevo  |  +5mil vendidos,(175 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1141531811,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=13&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.800,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(506 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1379913545,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=2&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,5.799,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(47 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=3&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,3.800,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(349 disponibles),Nuevo  |  +1000 vendidos,OFERTA DEL DÍA,#1457672246,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Doble Salvado X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-doble-salvado-x-1kg-s-a-todo-el-pais/p/MLA27047200?pdp_filters=category:MLA1423#searchVariation=MLA27047200&position=6&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,4.343,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(3 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1388633865,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Vinagre De Manzana Inysa  En Sobres Individuales De8cc,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=NyNwxF9H1mHGNuz0QvipWmRcrGTDMnR06i79aRxzRtiOX1JxR%2BEJtutheQbbcauMuPx7GI8LBJBpOLnjog6fRy94J1QrEh8jCZiie8jOkINBCFZRY6rApJuR%2BPqjxX4kXQLMmDVQ6HTiVEqLbfvAY4MQbw%2FqX87bD6%2B5ayCf2fnEcyRXaBq1dFzAqBJoh4dtpyV2Rp4MyvIaKKWSyqQQyYnIEz1%2FH25DURIXcjFof1jl%2BomEMKvpdflz8isyERzXc8bZ%2B3iScgHb%2B7ZTS3oJmsrP529w4quAzA%2FaNxeMXEpt2lLP6w5%2BehINJ3hVHH7VZAezW3ao7nJ9Z9aV4RoiIIk%2BqB1%2FSnb%2F3%2FJpvDVpxy5CM%2Fya%2Ft4R8Ib%2FFvrOHQTazlgef0dD94inXi9CDs4fjILDbE7DVBTEamDMmY8Yzch8cGUJ7j3N42h9w4UDNbkG6UUkqThFcRgipjaU99HOwDnaxeRA8iDwY2bnt4vzKUFe4NYW40Zc3C3lQjD81YtnQ8r2ukWLvVpBNPXEORfnPYxAZdXhmBBkEh1fXqB9trgvmxVEiekkGs%2FDwV14FNnWUWfBc7CB5%2FxnQkdI5f7aY2bCksMkAp4AN%2FsZVOPBUKG9skuO0fBNEcCKYwi4yMK6uD5Pah4yFMMaNWoHA2TwqNAeBDyx28teI75Bq8M3RI1Y7mxIZ9uuSpqCD25F3m%2BhrH8kTxfR76heayNj7gE%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,11.490,FRANCESCODISTRIBUIDORA,Nuevo  |  +100 vendidos,(17 disponibles),Nuevo  |  +100 vendidos,No disponible,#818125760,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Aritos De Cereal Sabor Frutal Sin Tacc Nani 130gr Pack X3,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=emtTBSgGKUmd1P0n38uINDrW4BSii9Z1%2F3efd90TqjrTbiPu365AOZHfixgzSbf5qv%2BCjCMKPm%2B2fT5WSyvM%2F%2B%2Bz0U8tXEOg847CGnAiGGNfQ8bDs%2BGrX1nRjTsUYfHN%2B9ieHREx80COZ8fnDHwSRjFdTW5en5xU9gBbkjtQpWSbR3wFPjmX5%2FPajT0FAc4VNkDFx8p1QJAxFHxzGqmwJ%2F7W%2BFG77fQZ4qTcTrYDydSHge98KZDj2b18JW7e1wUYUxWAvP5ZfcGIqE0YHlyIECVk8ccX0%2FClAOiWzJRQ75oTBH7HuM%2FFnPc%2FPWO1ZF3wAgZyXggBNErBRha28tJG4DhPQysRKMqQcFw08BOXuoYr6rzubOHEY0czWguHeqVj0uFPAzbM4%2Bz16tupcpTMsrqMmVkFhk9AkDxmUPjpgc2zAYfLP6s%2F7GWxzxuboPvhZnNEIxDMKRjo7MtdT5lwh1FncOCIh9NKLhZIk7KvSRQKTzdLUwmz2cNJwU9CBrhz%2B9%2B7ETO6JsoEP5koXQuORwZ%2B%2F2vx3naORA3EJ9Epb%2B95A7%2FOM4bkveyY0PJaMOdGorbas4mn6Oi1xUkP2Hl7nX8pw5%2Bxr6G25DMo%2F4HXFucaPukDhdxfAvgDCYhi3s3m70lCfkE14d4EZksLNvGBwRw%2FpEvzJEoHmUx4Z1Vlu1b1OU%2FgQDrPQNL8OGZGedo9BT7w%2BX8bgtW8rQTGAAJjZ%2BT%2FJcjGGA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.048,OLIVADONMATEO,Nuevo  |  +5 vendidos,(9 disponibles),Nuevo  |  +5 vendidos,No disponible,#1371471017,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=12&search_layout=stack&type=product&tracking_id=a7267d98-1157-4822-94c8-501244ee28e4,9.999,TÍAS MÍAS,Nuevo  |  +10mil vendidos,(20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1369141501,2024-02-28 11:25:19,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
