Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Zucaritas Copos de maíz Azucarados Grande,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-grande/p/MLA20024005?pdp_filters=category:MLA1423#searchVariation=MLA20024005&position=3&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,3.220,AEH MALL,Nuevo  |  +1000 vendidos,(2 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1610186184,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Arroz Yamaní Pop Yin Yang Orgánico Sin Tacc 80g,https://www.mercadolibre.com.ar/arroz-yamani-pop-yin-yang-organico-sin-tacc-80g/p/MLA26444834?pdp_filters=category:MLA1423#searchVariation=MLA26444834&position=17&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,400,VÍVET MARKET,Nuevo  |  +1000 vendidos,(49 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1384788535,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=27&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.269,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(367 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1379913545,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=12&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,5.799,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(43 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=7&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,9.300,TÍAS MÍAS,Nuevo  |  +10mil vendidos,(48 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1369141501,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados Lasfor Bolsa 180 Gr,https://www.mercadolibre.com.ar/aritos-frutados-lasfor-bolsa-180-gr/p/MLA27335153?pdp_filters=category:MLA1423#searchVariation=MLA27335153&position=11&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,1.297,BLIP,Nuevo  |  +100 vendidos,(49 disponibles),Nuevo  |  +100 vendidos,No disponible,#1524458308,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=1&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.269,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(203 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Chocolate X 1kg - Envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-chocolate-x-1kg-envios-a-todo-el-pais/p/MLA25374443?pdp_filters=category:MLA1423#searchVariation=MLA25374443&position=8&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,5.790,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(71 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1602852430,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Mostaza Savora Individual Caja X192 Sachet De8gr,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ULMiAoow%2BcKRWlrhbCccZ9JzJw59XCZDqyMIQ755GHNwxl9KX3cpTQe5dCfvDaaXSMZnkM%2FspD5Q%2Bo7Tyn67GzbeydBtFeonWlM6HV9KT44j%2FGyiVtbjhMkoG%2B9nvGt3BJQ2yb9dUo5WfWjypBzsSK0CB5e3BmPVVSnTTBWGB6m32ZNvnoCIHQzBoSYX0HSWT22Tdc2%2F8%2F4h9YqV7zV4gaHGhrTKUPb8Tw08JAf7kPrjJxD8ic6ks%2B1KKYOTMyuQgH8h9FsPd4idudmuOAWX%2BwGO262q%2BFjfW2N8R0jC76Z97bWsgKCywJGZwBgv%2FXM2cHEWlGPYpFZymf7T5bG%2FxTFJmQlkWc4j%2BA5FHhyFK2bq5XGybTsZ0lwT6qjpBlXwOxEBNXLCrZv6cr07ankVX69QAC85RboekRERgXeNNCavlTI0OhqdluIvdv0Ciqu6Lwa0hs63STOXZgY4VaAjDSdZr0IfBhw5k6TNrU5FcpsOkAG80BI%2BlCvXY0FPnwlRn83ETtYrFC8KafuG0DLu2%2B57pDBWSxPGpRbq9o7sOLNtKOn49lGEv659qet5LMnFR77rnIOX5GVQD0vGM2%2BC8HOHuwM%2BOjBSfVdVxHnPO9wgjc16RsVcrx8h935HfJ0EfUl%2B7cae5weOVPAsdospUNK5gU4iYCfuLOX%2FVDzITY9jqUL7ctEd4k9aR0VFcSzu2gfNZf%2BdzQfp&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,12.180,FRANCESCODISTRIBUIDORA,Nuevo  |  +25 vendidos,(6 disponibles),Nuevo  |  +25 vendidos,No disponible,#817557583,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Bastoncitos De Arroz Cubierto Con Semillas De Sésamo X 160 G,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=R7XRXTgn50wggHgSfco4R0ye5n0P5UnSjpkVLP6tMkl3m7ZLKHW3NULYGeSLStDqFRyRI7yMBeCB7eqOo5FQGLc0A8rHmPhqU0ulW2k3HP20w9Db1VtJ3t9lH%2Fdf%2FodMbF76yOEFIQgRRY5gvpf%2FfnJkKK1CvxiZy6aG0DniHsgbychnR2Im%2FXxq4eWgbhuWkUg9Am%2F2K7Ay7hFcvHtoUATNqo8YJItCZAcXligg6hkunC1ydYK%2F%2FvT8rREaeDG7PVc29rkIHKTTnYF3sKoHKbqZj%2FbqmgQ%2BgSnk0iaIGcda7BJgRI2c2chx5%2Bwbo35MMaujm3u%2B1oxkN4JVZtspcb7Amd3CmIyhY7yGZoD5gCIy05OSkSTQd01Ez7nUdjFgZjhW8yVpEwl8fiR5%2FZkjPW%2F%2FVygLEqb%2FApUIqwP5Yy4w7hqK09npNnsmWRfe9Jdtb1PRhuFe9M%2BqUeYlrwIqTLpP8T0VgVJAXVrKzaLddHGwA7MTN80B0C1ddkpkwc88k9%2B%2FBNYoglcufUOhWnp17dca6xeC5G4wC7QKxYq2lFyBFMvQq1WDiG3ySvN7CKp45A0IE3xpFnHbDelJgXD7WfRt2TCy9PwOeLhZav5Ec8KUmhyaSUgjbnlIGlhgJN8DsSlqZpOhMXy0y74waNLqYkoBRLtlzPf3B1vFfZ3tO0MySZsnV7CQMRPD164roMpjfXWFtg5p9YjZgDjUP1wspBAUn6EmyA%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.600,ASIA.ORIENTAL,Nuevo  |  +25 vendidos,(3 disponibles),Nuevo  |  +25 vendidos,No disponible,#872462847,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=4&search_layout=stack&type=product&tracking_id=a4520766-07a3-4b03-b217-d92307c192d2,4.159,IMPORTADORANACCATO,Nuevo  |  +5mil vendidos,(4 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1683783694,2024-03-04 11:04:53,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
