Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=2&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,1.953,GREENANDML,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=3&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(59 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=4&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(7 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=50&search_layout=stack&type=item&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,599,VÍVET MARKET,Nuevo  |  +10mil vendidos,(141 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1141531811,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=1&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(225 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=6&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,5.590,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(24 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=7&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(113 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=8&search_layout=stack&type=product&tracking_id=dff53fb4-e122-4b7d-adbe-2f671a344a05,4.190,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Chocolate X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9oZlDZXDS3UUzSjbR%2B0aUl1X8CO0bpoglq8iNdFNQJuCPOstKnfY9gP9yAHqzf9KFNNzFtsZZjk3K%2B7Aqpak2qBbdORSIMN2q35mVLmOY5TNTU77U2%2Fy0H35KX62B4hwrOLNGXLi5zRUt6LPyAsCFVZcyntLGMcF0an4NezBjeQ5Tc9kCl5brYVGoSB975fyq10J1juiGMKE89QXMDU1cpBjj%2BW1l2JGHRQ3d5%2BXoLuOLx3t41Gu6LsxEzgyh9WZDDjbx2FmhtDBmwRPksn3sYRLiB1ovGexHPWixF2KxOApFUq8mqnHOJxWSWMGql0QMYbQJYHqqgsgsaHeUWQnCq6sXr2rML6xOBSPfZZOVDe5e7fmIqJT2Mr0%2BlOM1ocjYvy8vuVpz8P15VdH7cKSb4oHjyWEzmokZFACQ9va3YV1ZiXnCX72iejfN0fbXE7lUp4T3OiGXPv8RVPtRyEjPF9EhTIgxsZC7gokBr5oi7T0IhOVRVY14ykThlhdyGHUywNyA%2Bv3kZfG9lLfI5JteQbWykNMHlTSCc57r%2BqwUJpZjEMXBLu9W3CbNzyOgdcA%2BhV7y1YAGVFv9RtOuaMgJnNp5pPbNGQ9mpt7c2EV%2FmF%2FekzJAbduPaodiaaJwda1oelO%2FG068q5h82Pc2SlYiPjxUuUD75r%2FZ9JqIWx6CE57zhOdkiyn7TUj6y1mNku2w9d%2BcD%2FH9mSKi7BuOyceoQ%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,7.620,POSITIVA,Nuevo  |  +25 vendidos,(10 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169054699,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Limon X 500 Gr - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=PnHs7PzNIFg3e%2FpLMmnkpHgrLb9KZwhahopuycinz78DH031UHGicWFURWpcFSHt%2FemXg4w%2BKV7OOltfIA34p5721Ua3JTIBBo6%2BYM5duW8QHNnusYAl81cdMGT%2BMhOpBJAGzuyI3QkI97vXsUEmIEDoTCP11c%2Bc%2BT0Ybecak4DDu0nLulCUBGor9Q02P4CB1seMEQwVynsfkE%2Fdj9vfG1D%2Bv4MKZHmybX57laJDu5I5SHUhHn8aF1Fg%2BlShXJ4cYb3K7WcIzeUDkWgszODk6JoVulhQ5xXkENI6dGtDAezfoTpJGGQ0B0cLLWme%2BfA47%2FQlgHEzRf1mMGA%2Bm6PXG4fCWktya0GC5%2B6E7yhFHawVJYlT1jmKNwu2FBlfXA9LSIbXd0mIJul2%2FT0YVuUcY7yD4LVXTU2mUqUJ7i%2BaWe%2BAvj6bzv4fw%2F6YpIpTwxNMoL1EKGPxUPKW9jm5F%2BxUA9G0rDxOK%2Byqd9AMMvTKw%2BIJBpyMTOEjlbbqc%2Bm3UAmCmyTCi2whgr%2BIiD7RkqaS2K7pTv5uCtY%2Fc1s9hOB16ZrTVeKuk%2BSvdKCEwnEkMRDCfvoomosXH5BJRIsTc1GcNRQr4H6KsT4xKRpPBlOSLmeTOOpy1Ss9WosE5CKsrTAX2YzPf%2FgoMG7MpuKKBMjQaIAk6JsCKcnmSlkX3cT6QbMVRDi4BYmmN%2Bj8RjEW%2ByjIbdJbuMnrCnkZ9mwsHtOs%2Bw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,4.160,POSITIVA,Nuevo  |  +25 vendidos,No disponible,Nuevo  |  +25 vendidos,No disponible,#1169144071,2024-03-24 19:47:04,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
