Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=2&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.953,GREENANDML,Nuevo  |  +1000 vendidos,(68 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=3&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(56 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=4&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(6 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=51&search_layout=stack&type=item&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,599,VÍVET MARKET,Nuevo  |  +10mil vendidos,(125 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1141531811,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=5&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(216 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=6&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.590,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(24 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=7&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(107 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=8&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,4.190,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Galletita Con Cereal Integral Clasica Cerealitas 212g,https://www.mercadolibre.com.ar/galletita-con-cereal-integral-clasica-cerealitas-212g/p/MLA29542564?pdp_filters=category:MLA1423#searchVariation=MLA29542564&position=9&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,1.116,ARTICULOS MOHE,Nuevo  |  +500 vendidos,(45 disponibles),Nuevo  |  +500 vendidos,No disponible,#1635324446,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Galletitas,nan
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=10&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,5.390,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(32 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=11&search_layout=stack&type=product&tracking_id=16c36cf5-96da-40c1-8240-53c9b4ffe7d9,10.878,PUNTONUEZ,Nuevo  |  +5mil vendidos,(15 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403855701,2024-03-25 10:48:15,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
