Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=2&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(24 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=3&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(37 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=4&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,1.953,GREENANDML,Nuevo  |  +1000 vendidos,(143 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=5&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,5.590,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(17 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=22&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,10.999,PUNTONUEZ,Nuevo  |  +10mil vendidos,(86 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1640273046,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=7&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,5.390,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(24 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=8&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,11.109,PUNTONUEZ,Nuevo  |  +5mil vendidos,(31 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403855701,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=11&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,4.190,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(70 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Chocolate X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RVpCiV5wmJYvlVETDSYLQc18sF26tns3OKAUhnsjfFU6LV1R%2BwxBjxbltr9%2B0URHYGQUrv7Ehk7XD%2Bje7wJX8cbo72EqYD73i3W0AXz73vLvmRhMmmt5Arn0lVBu19ZFG7Q4EEyEAenG0eWADz7JEnFnMM5c2osCcF7ItCK9N9YQNC5yrkcmv5gXqnrmWJ94BBSitP2DlKGmpvk1EX6G2526rMyBio%2FGsmLMl1sAj%2BnGSxurh%2FEJrybryFRQcdoYdIeSiNnQy1RV9xAc52lDWZSMIHVBX%2FlbnazrRL%2BbQltUoX%2FAQ5aAb%2BWu8x4TIIicc2IIeZi4%2F7LkNBqInuYlL4GwQBWXGKoQLQbVY0aKaOaAl6yKunbrHPlzn%2B9rFI1%2FcMEP3McXqS0H3XwNAa8LZvPBKLiLFwVL%2BarAfoA6Po5u1JRgjMVJ9vFPPaR%2FTDd99h6vJ6PHxNvXwbUieeiZG1h6ZIhO8LMVLEfKlCcveM2DzzWThTCZ2ygnf0KJa6jVEKWgt8FsSzDNh0RLB8cg9oOAw0Dg2UydzWNZXgqsHPfLQdqtkSOxioLWEyGbb0pwilkWTaLhJbo3ZNwWIMl1vorNWY7NmVqYWamT%2BZA9XLYoVCtV6g5eCoIkWLzrhR5gExMowxHG%2FFP9tpVmKFqHHrnaogUxHbRZr4hSAJMwpVR8dB7nhH1y6p9BbnLpRvKxWmL0CFhWyuOeDAzITgvY&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.620,POSITIVA,Nuevo  |  +25 vendidos,(9 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169054699,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas De Frutilla X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oEu8KM20NxDTaFSXgfca3DRsV%2F5xsAkxgPglnGR5jiUGYidlDjKcAQH%2BUQXyuICayHgJ6xT9YnVtN3IP1AaG9m7Df4LSQrXyqZQbHpcXE6BAlAuce0igXQqlflgIQVl%2FTnzoW8b%2BD%2FEoR4JQqnEwu7Qw4KkEpcNA5T3sHcgWquKQOsLqdIkAebmvZbxWX1uMS9F0l6ub85Yiu0NkDHgmLrcYp6nejH7UxKCHYUnfDQlyl9ssZWilubM4Dg01Zo5EwyLHqdqzYiiBFgOkzyy6GUABonyJauJ%2FBlyw%2BCqNM1GiDka%2BzCj5FkB%2FE0g9rcPp6kHOEzjxvjqj4hLO7MjlHKV%2F2koug%2FH4k6u9%2FsOhgXTER6T35QyCBSBdZ8dBOElQRNUl7ByxEZ%2BWVGTuEKT4zlOyjf1nQM3Yt8SHNSO7gKAgsERo7L7xYocNeKZmrPbJYp1h1UVn9nD0dNIDvoEfmf7%2FsHxj93JjAnVLv%2BsaYLwlspL3ifvXEQ2zIpH1U%2Fs08mAIAIYl6AHCFa49cHdROkB9hQJSF9WLGVhvO91B7gD38JIlL4WuAbCr1fhvK1JBObk2RzW6k%2BGWuTDM2gChSoOlkPjnACC1rPDLm6N3oQvhsSc6FKWIeMQCeub0igKgcSnhuL20LVJ0rA0yzTIPz1Qz2BUrJyDaSRe3eCW2NIQEdw%2BzHxz0gvYhB2i1SqLT3KgsGCMy57hw0Y%2FOrc8%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,7.106,POSITIVA,Nuevo  |  +50 vendidos,(15 disponibles),Nuevo  |  +50 vendidos,No disponible,#1169112498,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=12&search_layout=stack&type=product&tracking_id=86e5dada-75c8-4bf4-b6f4-aeb344652ba0,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(265 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-03-31 00:53:38,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
