Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=2&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,3.238,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(11 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=1&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(36 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=25&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,1.953,GREENANDML,Nuevo  |  +1000 vendidos,(143 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=27&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,5.590,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(17 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=24&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,10.999,PUNTONUEZ,Nuevo  |  +10mil vendidos,(75 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1640273046,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Frutillas X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-1kg-s-a-todo-el-pais/p/MLA26444837?pdp_filters=category:MLA1423#searchVariation=MLA26444837&position=51&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,5.390,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(24 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1602992878,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Muecas Caja X16 Barritas De Cereal Banana Y Dulce De Leche,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-de-cereal-banana-y-dulce-de-leche/p/MLA19846788?pdp_filters=category:MLA1423#searchVariation=MLA19846788&position=23&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,11.109,PUNTONUEZ,Nuevo  |  +5mil vendidos,(29 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1403855701,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Zucaritas Copos De Maíz Azucarados 240gr,https://www.mercadolibre.com.ar/zucaritas-copos-de-maiz-azucarados-240gr/p/MLA26913448?pdp_filters=category:MLA1423#searchVariation=MLA26913448&position=15&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,1.727,Mayorista Masivos,Nuevo  |  +100 vendidos,(4 disponibles),Nuevo  |  +100 vendidos,No disponible,#1504974324,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barras De Cereal Pleny Light Alfajor X 20 U. - Sin Tacc ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Gfq2cnX%2BkiKsi1bRbAyNlUFB8SV0rx0E0Dl0dJ3vAdvpmHW7HzcRc%2Fv7vH4W0%2BMN8AKJRaWpL3SjmjCFNkOTyp8k0x5rvvkVH9LUmcDUB4dnXxaSIR%2FpqBwztfnIlTqihzow%2FDAwQmYihH3Y9byAbP0D67eJlLsFHZVJDiboPD3y1hsfXJIJbcl4IRcSs8iqce9HXI8jJ6XZqxZmzJNjkrElSU%2BJpeqnp%2BvJJLLtGN%2Fu4k8%2Fgnh2s0kzA7T72nurzwyBOtD7FxKpZn1fGvfZ4W4Jz%2Bn9QcZOdeBymOzezYqMg89G%2FPwodfcGM%2Bd7BaA6S7tkCDwtSLFICBMSBOn%2BR50kvCtYfSCXw5cfZkhy9LURE9NzHA6iVXXE6gE7rVq%2FQArUnxU%2FnWp36u5MbWcRP1udng55wK7HMhplz2ElM%2BYapVpaDYUHMfaRNtvh%2F9H8qPe8h9CxIxqXf6I1JCUqSy8fyoiod%2BEJL0CclRou4irMVlvEpRA9kgiTz2NyoCeTuzkV%2FbecnoEe60b0%2BdXgXt6XKme3NlPe60RAlp6FJqHF6oL0tzWMLYXNofG3ulI%2FXZHsKTJg1vq9o6Po2Axt5tb8AmNLWpK2lQuMpHudkK36%2F80NFFjAJ%2BvMy%2BBv%2BDvOWOF13%2FNtqb%2FP114EcW%2BDJOit6MMr1zaCSR27lyLCdSc4X7v8fCCiErF2YE8jZM75Otay61lMY37zuNnw&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,15.500,PLENY.COM.AR,Nuevo  |  +100 vendidos,(17 disponibles),Nuevo  |  +100 vendidos,No disponible,#897701023,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas De Chocolate X 1kg - Marca Lasfor,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=eOZU97g6WnNx5R5hVnQXH2l2LgwG58b3kU7UAzOJEyGSrMfRXlG4V9%2BBB1ttmOgT2vzqqSicGGJVCqaqZVSJCkhs3YahymdSZhQGPztR%2FzAjHt04gUWDej5249K%2BJe8Pf9mQ5TnYwJ9OlJyzsdU%2BczPOF1CsU4fMqrvJqp8FC7I0oWTfnitWG2n7TRcqGJ%2F%2B9%2BWAGetc948FQrucz6xjk5I4UYxTOoq73i%2FhSq%2Bx%2BRT%2BCjitx4zdjOHRvIJ9swkg7uJhPV%2F5MoZo%2BowerY9xgcGecYbj6KBe7nN%2By5CIjgyobOW55bBgMR9sRuT6gPDWuI5648XAfY9R7sjpvpS7D%2FruFT3KWJCmhv%2Bpq5hul7mZPoqWpQJeHVbGEPbUcfgT5oMI9qqG3bnC8mWJTh8yS1HRuWDrjsB1HoEQ0wExqaKVoqvQ12yhTLsj18PAAmXbzpOb8fbpC6ZbaE%2Fg5FMnOsPJ3053wB7sYSfTHf4KYi7ZGU5PyzRo%2BYse1lpOxaKhN28Ji8ZCcNC%2Fjztda8wW4GIsmYnqkcTa8qZN299QgubcnuxUdQ1IE2vmb%2FqJWOPyKsJ3Iyosa8xKLVEb8W0KHjKJFwJeqkC50rNoAluUKDtJKQDgl9VwUBn40kEV3ga59lbSq5qPyhvgqEJbN8RPcRLt7ChJobAKLBRSDUtAwY51Sjv%2Fs1%2BwB2%2B1M1S49k93nTaU%2Bf0%2ByzW7UQmZgTYc0g%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36383&rb=x,7.620,POSITIVA,Nuevo  |  +25 vendidos,(9 disponibles),Nuevo  |  +25 vendidos,No disponible,#1169054699,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=26&search_layout=stack&type=product&tracking_id=d894116b-a870-423e-9ca3-ad1b161109d7,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(260 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-04-01 00:46:41,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
