Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=2&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,4.035,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=3&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=4&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,1.722,GREENANDML,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=5&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,5.790,ALIMENTOS FUENTES,Nuevo  |  +5mil vendidos,(+10 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=6&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,1.399,CAPSULANDIA,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1369823337,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Almohaditas Rellenas Frutillas X 500g -envios A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-frutillas-x-500g-envios-a-todo-el-pais/p/MLA26444831?pdp_filters=category:MLA1423#searchVariation=MLA26444831&position=7&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,3.557,TIENDA-EL PORTUGUÉS,Nuevo  |  +500 vendidos,(+5 disponibles),Nuevo  |  +500 vendidos,No disponible,#1384746937,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=8&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,5.230,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1457672246,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutales Granix Cereal Bajo En Sodio,https://www.mercadolibre.com.ar/aritos-frutales-granix-cereal-bajo-en-sodio/p/MLA25677571?pdp_filters=category:MLA1423#searchVariation=MLA25677571&position=11&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,1.146,MEJORPRECIO.COM.AR,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1467791944,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barras Cereal Mix Yogurt Frutilla Light X 20u ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=DRy6FEWxlpDQc8fAlW9A4vwChmXMKdBt34sK%2B%2FWhKJkJpJSOw9ugjbv7jHI6a%2FX2eU%2B49nU9mLY3VN8fXXanOo57p%2FWFlTvEGpkufOGpr9PqXohy9mJBE7Zn548mYtoBNXAK%2BSFY5Ro5gooR86gWs6IdbGVhRg2qAilr6lMBPl88bcBSNb%2Fc5ub%2BIetFMo%2Bp4FEBb2yZaS7VdNbFbghhw%2FVDiicBSzvIs2QhVunIyfv8gZArkhV4MYIuCMA4StF%2B3CE4glMKQNiMFHWfW0a6hwrzWE9G2OYw84%2FPZlYtQX4w8wQCHuvVWFBM8cS319PPY4RoqRBkdMKf%2FD7CEGLjjVEG%2BKE5nOhmYXbfu3wW1BR417PnmI0DNhwDw70KX8I%2BmEcVcLX0V1dDs9zA1pOtBd29%2B64bMYZUSpU4GpZIuPOrVhQT%2BB6%2BlZbNndS8HDH0jFqTziFkBHGhMiqGOr0qifaDA7qfbJf3NT2qPyJmNfqGZB0yvJgVcI4H5pG2ce7EZosUfsgVjAczNudm1AblUbTTeRktoHMt3zAaFDf%2BhFgmRV1PWQ%2BW5U90T25jp5QY%2Bn%2FPaBaFgFEHvJc4qapfUHAhc5H28A%2Fb1yhvSv8vpacBPQGuD7ZaotviEp4tJKEw%2FcguK2zyzgPA%2BZx1%2BqwkqTz82MCZX9cpBupxdaaGQMBQnBzfk8J0bLzOmNJs%2B8dlUa0pKkp6Cw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,12.000,OPEN25HS ,Nuevo  |  +100 vendidos,(+10 disponibles),Nuevo  |  +100 vendidos,No disponible,#1616635136,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Copos De Maiz 400gr 3 Arroyos X 6 Un,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xRj5t1P8TQ10nnAjXfakLoPHUg63tQBvLTTd1Dqr3JzFywqveYyshJJ4ccMngNNsdK41rv%2BcfLgk7n2FzlqL%2BuAXAl%2FSSf3Dd%2B%2BsCNu0pPSkEw2loJC69UKPS2m2UrIllqq90kiSKihZJiaGpg27DKDXuvk9b3KfIFE7aRgnzMsAhKJbjLdvK%2BohiUZEpi0MzRjV0LxLWpzeAmwPlf3Wl3F0273t5ZmtsVB4RXxQqTZANVs2wMKKo0xd4kQG2XLjDCaJoxKkstDxCtUSGKyEHFEEd4c9wf30EzsJ2YPJP75VEvEH3dhpbhDj3xmrr%2FYLIbAb0wDyKeK3ZThfWBivAZi20VdPQUEjQRQZ3sF30dvSn7%2FyZr16op51ijRkyK8yCfy3LCF6P8uAsInW%2Bp7oto3GVkGvSqPalvyxmYJ%2BTbHVVIy5bL8W%2FIBO%2B2FP%2FHzuju%2F0eHmERKS1KsgzYHnkxxcp%2F%2B5aMDJrelSAt0s%2B983bWUzbvSSzPPIbLyfwDtaYSuahRDn6xE1xYXPIhfqskYrEDjuTmDk%2BtaQjFXN%2Bjk5ugJ49B4HefSxVG0fbyGvbuW7Di9RDCVr1sboIFtjspv84M2WRwohYZ4qX8VhFgFYgO0%2BxvUYNT8Z56mCiNIRk3AjrXwTF2I1CSvc3UBdcDYoaykuCNcTM7d4JvIgYUwdfFpn0MZfV8yNZs8y7kIMS&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,8.100,PUERTOGOURMETSRL,Nuevo  |  +5 vendidos,(+20 disponibles),Nuevo  |  +5 vendidos,No disponible,#1381202801,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=12&search_layout=stack&type=product&tracking_id=52ff96c4-7ca6-495c-aba2-33ab86f52cc1,5.634,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-04-29 10:37:16,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
