Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=5&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,3.752,TIENDA-EL PORTUGUÉS,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1380533991,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Display Vegana Laddu Bar Brownie 30 G X 12 U,https://www.mercadolibre.com.ar/barra-display-vegana-laddu-bar-brownie-30-g-x-12-u/p/MLA21213464?pdp_filters=category:MLA1423#searchVariation=MLA21213464&position=15&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,4.542,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1451931526,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=2&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,1.722,GREENANDML,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Almohaditas Rellenas Avellana X 500g - Envíos A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-500g-envios-a-todo-el-pais/p/MLA25809155?pdp_filters=category:MLA1423#searchVariation=MLA25809155&position=3&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,3.202,TIENDA-EL PORTUGUÉS,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1381906261,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=6&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,4.758,MEJORPRECIO.COM.AR,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1379913545,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=1&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,4.056,ALIMENTOS FUENTES,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
 Muecas Caja X16 Barritas Cereal Chocolate Avellanas Y Coco,https://www.mercadolibre.com.ar/muecas-caja-x16-barritas-cereal-chocolate-avellanas-y-coco/p/MLA19875119?pdp_filters=category:MLA1423#searchVariation=MLA19875119&position=7&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,12.666,PUNTONUEZ,Nuevo  |  +10mil vendidos,(5 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1640273046,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Fibras Bastón De Salvado Lasfor Bolsa 200 Gr,https://www.mercadolibre.com.ar/fibras-baston-de-salvado-lasfor-bolsa-200-gr/p/MLA26312163?pdp_filters=category:MLA1423#searchVariation=MLA26312163&position=13&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,1.496,BLIP,Nuevo  |  +500 vendidos,(+50 disponibles),Nuevo  |  +500 vendidos,No disponible,#1480312880,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barras Cereal Mix Yogurt Frutilla Light X 20u ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=cNKIhQPBdjXb8JS%2Fb%2Be9nWvpoJ5D99Nkcb2J%2FciQ%2BZMZltqpFFgULVJ2pZ4PaqmOubn2A4BxSGriY4lp8Cc8zVqMXBfyz1RUV69k4uwlqPQt8iA5oWUXBgIdwaBVix2qPk%2BJYAJMlr97pOpqDUHJIN2kzW4zAyx1LXCHfuZ15u3kQcCvfjUcfxcKm5k0w%2FkxI5q4FQLVRU%2F3eoWPN9QJzG8j0AX6WHnQUyiVUBlvUWvZ%2BPB6lJyZquZ7jdbHbMctAlCHvMgPJafoC0c88N29figDyqoCOoYf6wii%2BH6ITu1%2FnOcjDGFkVbLQBjOCVSfr4xAcX0yKp6XKkxN6XsSfaRsRSStR3OyQMMZkbOOHWBf3rAsnzLJhVeNtZGfHI4LS1w1%2B7UK4txol9H7dwoiyYQ6icqvw3HqqGd7wWp%2Bm7nzCmggQP3Fk0ln6fs2S63Z3olvvEinWKfZpp4YmTivRRYbBubejRzbZFF4LMpoEzmbUuMqhrjhBgTdgQi2qbhI4UT0y%2FGyixJ0qLq9%2BD4ZjRlULNyQQdYK7zqNq9M7%2BnNDTeRwm3h5mKemi2NnIAPdIXMkOrcHge%2BNQ0Gv5l2lOwhs%2B0vdUiuC0aJ7Mlo6Lu6oojqSz3UwBRAm57G71RR9ugLtKS5acpE2gYpugqa4TbpLw%2F0h6abf4rPQmyYhrRA%2BhScN903FhwwJ26N97oyDc861vYGMX&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,11.972,OPEN25HS ,Nuevo  |  +100 vendidos,(+20 disponibles),Nuevo  |  +100 vendidos,No disponible,#1616635136,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
Maiz Inflado Burbujas X 2 Kilos,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=8%2F%2FV4kBma7OGrdfCOr4jZSCV9%2Fb0MlXNpKuQ7QVnawvc2%2Bh6u3EpjGPyiOdZbZs0QPGMy7jaThyhRLsE896d02AFJjbKgItankUuuFK5knKgrGYcrlKXrOOz0zuX%2BkUI5bnPXjqWj49S96%2FsdR04K0q2Jddq4fATMA4HBmVFA1RoGiddCEkdyv6Cbjm2yumZPefvaNuJ%2F4xeYpO8dQ13ZnfPT5ck2svL6XMF6snjnaR2dEk7LWVWVL2%2FNNqJ6E7LgTulUlwzvTUcf9ta97KIeu8j%2BNZee%2BjBtCENWDY%2BoWGnLe54fFbpKtIT4vDOgYMHwoJ4CEsc1Le7qoUOoDXizaK0X%2Ffxbr2VkxF0R742e2fA0rjjsY49snn1STMPz919aV2jNdRCW4E3OHcdFO0T1sbXFcZeUF%2FYOwxPg4RrKGzTSHT0BajPmlq%2BQEh3UconZLvXAYEbrax1y9TSYhipmQkHfAhxzU0DTyJerr4uRTq8aW4FA3MEgLeGpunYONkwe9z2ZGUnL%2Bjxynwr22d%2Fz3NSra4Llj80jgLft4L4e93NqXKAfpLyljCDKE8NTdv0aOWfpGj%2Bx6SGpbqFASRE28bCMADXandobyxpEYX7ky1upA2J%2Blw7clElFVlxFIYx0JlRMTmrnirgDCuObxMMzOo8okh%2B5Xtw4I4F9%2FR%2FugOADW2%2BoXLcGZ9H&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,13.900,LEONVEGANO,Nuevo  |  +50 vendidos,(5 disponibles),Nuevo  |  +50 vendidos,No disponible,#906449151,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales
Barra Almendra Y Nuez Integra 41 G X 10 Unidades,https://www.mercadolibre.com.ar/barra-almendra-y-nuez-integra-41-g-x-10-unidades/p/MLA28134679?pdp_filters=category:MLA1423#searchVariation=MLA28134679&position=8&search_layout=stack&type=product&tracking_id=428ededd-fe27-471e-a96b-0c1cedeb33fb,8.490,Integra,Nuevo  |  +1000 vendidos,(+10 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1626496624,2024-05-18 15:13:18,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal
