Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Quinoa Pop Inflado Yin Yang,https://articulo.mercadolibre.com.ar/MLA-1141531811-quinoa-pop-inflado-yin-yang-_JM#position=45&search_layout=stack&type=item&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,648,No disponible,Nuevo  |  +10mil vendidos,(+20 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1141531811,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales,Quinoa
Ki Bar Barrita Proteica Vainilla Datiles Mani + 3 Claras 40g,https://www.mercadolibre.com.ar/ki-bar-barrita-proteica-vainilla-datiles-mani-3-claras-40g/p/MLA23024429?pdp_filters=category:MLA1423#searchVariation=MLA23024429&position=1&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,1.399,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1369823337,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Arveja Amarilla Texturizada (sin Tacc) Dicomere X 350g,https://www.mercadolibre.com.ar/arveja-amarilla-texturizada-sin-tacc-dicomere-x-350g/p/MLA21088434?pdp_filters=category:MLA1423#searchVariation=MLA21088434&position=2&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,1.928,No disponible,Nuevo  |  +1000 vendidos,(+50 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1315400118,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales,nan
Almohaditas Rellenas Avellana X 1kg - s A Todo El Pais,https://www.mercadolibre.com.ar/almohaditas-rellenas-avellana-x-1kg-s-a-todo-el-pais/p/MLA26444832?pdp_filters=category:MLA1423#searchVariation=MLA26444832&position=3&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,5.490,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1603427794,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales,nan
12 Barras Laddubar Frutos Rojos 30g Raw Vegan S/ Tacc Kosher,https://www.mercadolibre.com.ar/12-barras-laddubar-frutos-rojos-30g-raw-vegan-s-tacc-kosher/p/MLA19846793?pdp_filters=category:MLA1423#searchVariation=MLA19846793&position=5&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,4.252,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1423279435,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Aritos Frutados X 1kg - Envíos A Todo El País,https://www.mercadolibre.com.ar/aritos-frutados-x-1kg-envios-a-todo-el-pais/p/MLA25677572?pdp_filters=category:MLA1423#searchVariation=MLA25677572&position=4&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,4.282,No disponible,Nuevo  |  +1000 vendidos,(+20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1399289265,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales,nan
Display Barrita Cereal Arandanos Laddubar Vegano Sin Tacc,https://www.mercadolibre.com.ar/display-barrita-cereal-arandanos-laddubar-vegano-sin-tacc/p/MLA24705999?pdp_filters=category:MLA1423#searchVariation=MLA24705999&position=7&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,4.682,No disponible,Nuevo  |  +5mil vendidos,(+50 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1457672246,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,nan
Copos Naturales X 1kg - Envíos Todo El País,https://www.mercadolibre.com.ar/copos-naturales-x-1kg-envios-todo-el-pais/p/MLA25374441?pdp_filters=category:MLA1423#searchVariation=MLA25374441&position=8&search_layout=stack&type=product&tracking_id=dec506c0-cdd1-40a3-807e-874c44ad946d,3.236,No disponible,Nuevo  |  +5mil vendidos,(+20 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1430695339,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales,nan
Tutucas Dulces De 1 Kilo ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GxJ%2FjBq3LrhmFi5%2BW8iVZYGt7z3VtQx5QZosV2%2FTT71T0i%2FGsI4apjRSu0skVNNIgTIiLkAz4XUPrlYGiGrP4CyuHnB4izzV1eQjWvXkg%2BVyl1%2FpigW3m7au2gsGSezdlnhysOGfbbp%2FKXGysq9XtrhCxrB6gCKfldHh%2B8d%2FjKtJMqUE0hWenhSlwNHjaRelcGL8zWLrGlwZHtimSbBm2PzTBUu2oYgrjs2HicIVYvitXmjzKh7jBhgu42jOmdA%2F1fozMqskqIgpcfscKryx0SswRY3j67trltV4iuQW7YH3aG9ptn2%2FV1kcjhRfqNJY%2Bf1ECkVqmo7hUoaaHvf2f8NVJkoRGhueJs0c%2BoCqUuV%2Fz3T9yzZiZ%2FHtn8atbRYRmbeP4%2BJOfq7wBpX4l8OVCCdNKdx1612kKMsrhV5h74HayG1tcEh0GYktsSjPTEqY2aAXhDchDbhvnpCA%2BDHeJ78umBT0uDke9Ihn90ELtpTBCr%2Bnr5MbomfijoIb7tfw69fQ6hNc3502vouObfp63FhnWQwv%2Fgk6Z4RdNVe5x7k%2BlgSRiSGsQdjNE%2FeSHl4QQOkylTWBaI31LR0%2Bl2QnJ0m4wEk3wl7slAR0nSCbGJEDfG3BIZr%2BxMxfjg9ibkkvkLZFO7tZmZqu%2BsZ3oyVKHz%2B5DI3pfdSu1S1H1IxaYOFrZg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,4.017,No disponible,Nuevo  |  +100 vendidos,(3 disponibles),Nuevo  |  +100 vendidos,No disponible,#912589303,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Cereales,Almendras
Barra Cereal Proteica Wik Fit Caja X 15 Unid Sin Tacc Vegano,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7fKP0HNGVEOdKoUpLUI294PepMsC5EfhsCXDZSgvUqZXrJp0qcHfp30Fel5m4WWKdSjS%2FFFbWBGBC8Zz0NLMCUHPqVI%2F7ug9SQ3GGVrxeLVt5IJe6zMamvF1shp%2FK8E85Z1sIYaWal0EGa%2BbjufKnLfG518xUBtoPF%2Fgxsg4%2FBPP5yq7bZDNNSbRvVhit%2ByEwI%2F%2BpxnN%2Bf%2FUrH82bQ6%2BzP0%2B%2FvnAC0lmSUnsNbyb%2BLWZSMCXAswLsYluKMWyghoHbGyFrMC6ZKnsvnchYOP9lLlsCqI%2FiJGlgPoUfdZMXt35YmNSP0jtOcPeKCWZ7jB9061ACnGqiZ0hI5urADmGkA5MuAxzqrkTSDPFub%2FnRmYUmJKLEufTvKbSNEJjUhwsd2hJfLHyq8z1%2FSEeh9kD9rOabjBLvyisLTneliOZDC7wNTHrnLcIaYAJsrF73V4MjsIAaQtw4Em7wSomWTNMpcLsfEVbn61sxX8RgGTjLBk%2BHgvXKYfvmNafwQmkdgEDJ1DIzEoG5nLCfXs6x7InnpsFQS3h5mAg7vro%2Fqe3IYxgS396NoIxNJRX3czWJZX70StMnO%2Fm8FGEAuYqAx2wBXiANEamw4Nc6M%2FdJLEGY%2Fuo6C1ZOWtDnyHybqwye5iD8ha0KeEfjgaFdw1SJ%2FIdDQXm7n%2FAyHf5lu3ekAKTFshZmGZtf4QY6PTJLX16%2BLnJPqGSkR1JWR3IFiuKZin4aPYVkYQsOM2ImUM%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2BDEFAULT%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fmax-bid-capped%2B36382&rb=x,17.500,No disponible,Nuevo  |  +25 vendidos,(+5 disponibles),Nuevo  |  +25 vendidos,No disponible,#1412300953,2024-06-04 17:09:11,Alimentos y Bebidas,Almacén,Cereales y Barras,Barras de Cereal,Barra Cereal
