Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Caramelos Masticables Billiken Yogur  X 200 Uni Gomarket ,https://articulo.mercadolibre.com.ar/MLA-1100115867-caramelos-masticables-billiken-yogur-x-200-uni-gomarket-_JM#position=46&search_layout=stack&type=item&tracking_id=f7c4dfcc-b7fc-4488-8267-508239c1f2a6,4.717,GOMARKETMAYORISTA,Nuevo  |  +50 vendidos,(4 disponibles),Nuevo  |  +50 vendidos,No disponible,#1100115867,2024-01-25 21:21:26,Alimentos y Bebidas,Almacén,Dulces y Chocolates,Golosinas,
Hierba Medicinal Yerba Carnicera X 100 Gr. - Pacha Kuyuy,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=6sjuCVdZ2BteuXDcVYHo6ZwuuiGD0j%2BYwIEjZ40UFIxsOAZQ8Bp%2F0uAkUhDEO1xGCd6SSeWeiNlOw9g7Dip%2Bw3JiMcJj3yQ77XT5JE9C%2F3%2B%2F%2B9hAPn%2Fv%2BHErDBPqoFGslCcTvqYy9yegXmfXbYK58KzYPm90MgTVlzX4lfM7YeLtsFWfj5sTSUFR0Xr6uMKCCXb3pCoOpXcvLkq2hRQZP5EWzlERWueCpQzYDK8NQsqL90%2Bu4MGqMw8wo2CIYy4L549CP7CLwxHPzMFuT6rQZzgZVm9%2BQt5xgYW6Vtlh4tEJSExLxsHNASl86gfAEQVZQpFnf3DMG3auLPkFG4D7jT7%2FXiP1WOlAdoEkvxkeIsmheK6RLfLFWkaS%2BrejCbM8Ti8GHSMXWqfzU%2BTey72zs1XUwtO1oBbaDvfln3cb4QETBa4Cys%2FZcOflJXorD1wI9dBtvk0xZR7xbsT%2BICsSylqv0cGphfVhLFaiu9x7%2FK3zZnGsDk5kDBKfgV5%2F0ijROLx5fbk%2BNHO1UX0%2BGP1rkNngbL0ZY29OauyEKg7tRRchHcqCjJPwxYVSH%2FkYfwuhvNjZdxGwxJSDAQHWrFoI0ZzGexbCTTw9rpXOxLzaYF06fZNUo8%2FkBpMRQT%2FQAtnklLZGS%2BgQKpAFJB3bGXkr%2BubmoYv5RrC6BgORFjYefW1R%2B9uUJME6s8FTfC7%2B5e70IB3jR%2FOUByV5mA%2BNWG9Z&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,645.0,PACHA-KUYUY,Nuevo  |  +50 vendidos,(25 disponibles),Nuevo  |  +50 vendidos,No disponible,#1100140413,2024-01-25 21:16:08,Alimentos y Bebidas,Almacén,Infusiones,Té,
Harina Morixe De Trigo 0000 Pack  10 Paquetes 1kg,https://articulo.mercadolibre.com.ar/MLA-1100621369-harina-morixe-de-trigo-0000-pack-10-paquetes-1kg-_JM#position=51&search_layout=stack&type=item&tracking_id=190e5f27-7ce7-4c4c-bb12-f7682668c8e0,9.884,Mayorista Masivos,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#1100621369,2024-01-25 21:12:30,Alimentos y Bebidas,Almacén,Harina,,
Harina Morixe De Trigo 0000 Pack  10 Paquetes 1kg,https://articulo.mercadolibre.com.ar/MLA-1100621369-harina-morixe-de-trigo-0000-pack-10-paquetes-1kg-_JM#position=47&search_layout=stack&type=item&tracking_id=69423c85-4002-4f8e-a043-8d08cd1f23f2,9.884,Mayorista Masivos,Nuevo  |  +500 vendidos,(8 disponibles),Nuevo  |  +500 vendidos,No disponible,#1100621369,2024-01-26 17:46:50,Alimentos y Bebidas,Almacén,Harina,,
Azúcar Mascabo Ba-la-ju X 5 Kg,https://articulo.mercadolibre.com.ar/MLA-1100630145-azucar-mascabo-ba-la-ju-x-5-kg-_JM#position=56&search_layout=stack&type=item&tracking_id=bf313cab-b677-492e-9d3d-702d1070f2f2,12.744,DIETÉTICA CALLAO,Nuevo  |  +100 vendidos,(11 disponibles),Nuevo  |  +100 vendidos,No disponible,#1100630145,2024-01-30 12:02:02,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,
Azúcar Mascabo Ba-la-ju X 5 Kg,https://articulo.mercadolibre.com.ar/MLA-1100630145-azucar-mascabo-ba-la-ju-x-5-kg-_JM#position=53&search_layout=stack&type=item&tracking_id=7db06dad-8468-42ac-bb0d-28a20a2612d5,12.744,DIETÉTICA CALLAO,Nuevo  |  +100 vendidos,(13 disponibles),Nuevo  |  +100 vendidos,No disponible,#1100630145,2024-01-28 18:34:38,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,Azúcar,
Esmalte Poliuretanico Negro + Catalizador X 1 Litro,https://articulo.mercadolibre.com.ar/MLA-1100880479-esmalte-poliuretanico-negro-catalizador-x-1-litro-_JM#position=47&search_layout=stack&type=item&tracking_id=52ba600c-bc99-429d-a86a-a4c5c62eb2ff,14.59,MENDELLAPOLVORINES,Nuevo  |  +50 vendidos,(1139 disponibles),Nuevo  |  +50 vendidos,No disponible,#1100880479,2024-01-25 21:27:16,Alimentos y Bebidas,Bebidas,Aguas,Aguas Minerales,
Papel De Arroz 16 Cm X 50 Unidades - Origen Vietnam,https://articulo.mercadolibre.com.ar/MLA-1100925295-papel-de-arroz-16-cm-x-50-unidades-origen-vietnam-_JM#position=44&search_layout=stack&type=item&tracking_id=4e32c4e1-8f03-4c8f-9988-0d8ba4719b5e,4.25,HACHI_ARG,Nuevo  |  +500 vendidos,(9 disponibles),Nuevo  |  +500 vendidos,No disponible,#1100925295,2024-01-25 21:05:29,Alimentos y Bebidas,Almacén,Repostería y Pastelería,Papel Arroz,
Cafe Bonafide Tostado Pack 3 Kilos,https://articulo.mercadolibre.com.ar/MLA-1100935922-cafe-bonafide-tostado-pack-3-kilos-_JM#position=43&search_layout=stack&type=item&tracking_id=2050b25f-7615-43df-a71e-10b73dc5059f,84.7,BONAFIDE ONLINE,Nuevo  |  +5mil vendidos,(537 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-01-30 12:07:01,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
Cafe Bonafide Tostado Pack 3 Kilos,https://articulo.mercadolibre.com.ar/MLA-1100935922-cafe-bonafide-tostado-pack-3-kilos-_JM#position=41&search_layout=stack&type=item&tracking_id=c6a1ff7d-fd84-4894-a682-7725f9729bd8,84.7,BONAFIDE ONLINE,Nuevo  |  +5mil vendidos,(539 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1100935922,2024-01-29 12:26:25,Alimentos y Bebidas,Almacén,Infusiones,Café,Café en Granos y Molido
