Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Fideos Tirabuzón Lucchetti 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-lucchetti-500g/p/MLA20719337?pdp_filters=category:MLA1423#searchVariation=MLA20719337&position=1&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,989,TAP GROCERY,Nuevo  |  +10mil vendidos,(367 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1286443752,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Matarazzo 3 Vegetales Penne Rigate N°45 500g,https://www.mercadolibre.com.ar/fideos-matarazzo-3-vegetales-penne-rigate-n45-500g/p/MLA28611321?pdp_filters=category:MLA1423#searchVariation=MLA28611321&position=3&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,1.720,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(21 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1599549430,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=2&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,880,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(20 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395499445,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos penne rigate Matarazzo sin tacc libre de gluten 500g,https://www.mercadolibre.com.ar/fideos-penne-rigate-matarazzo-sin-tacc-libre-de-gluten-500g/p/MLA20882391?pdp_filters=category:MLA1423#searchVariation=MLA20882391&position=5&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,2.599,TAP GROCERY,Nuevo  |  +5mil vendidos,(83 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1292498434,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=51&search_layout=stack&type=item&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,879,No disponible,Nuevo  |  +10mil vendidos,No disponible,Nuevo  |  +10mil vendidos,No disponible,#1284845345,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Favorita Codito Con Hierro X 500 Gr,https://www.mercadolibre.com.ar/fideos-favorita-codito-con-hierro-x-500-gr/p/MLA28571279?pdp_filters=category:MLA1423#searchVariation=MLA28571279&position=4&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,803,Tresemmé,Nuevo  |  +5mil vendidos,(721 disponibles),Nuevo  |  +5mil vendidos,OFERTA DEL DÍA,#1584768492,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=7&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,1.312,TAP GROCERY,Nuevo  |  +10mil vendidos,(276 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1280821337,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA1423#searchVariation=MLA19937131&position=8&search_layout=stack&type=product&tracking_id=8a8c0813-760e-4ca9-b679-511ce71e714e,1.399,TAP GROCERY,Nuevo  |  +10mil vendidos,(553 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1272606932,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Largos Fettuccini Don Vicente X 500gr Pack 20 U ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nF8I2KLYvrEcjmNrVPFJlVx2K4UjQ09WUHLjPB807KqJCKUWSXNSqeJpHTuP1jMTf%2BMpQUflSx7sfKuid0%2FUfYfBrxHen3gqr91d3t0VxhyJ8EynoYDcn7LyZ7wXdyoE6BsteoTt4SJtfn895FrCgQeQJsfjIlbVAM8GTRmvjRS98RSOlsHlAFZeFmk%2FGOJfq2fgTiTjcEfHIAwIXwIAJCkDx0FGoD7q6Eu2fA9mD%2FM8f2Bo43rh0JS6v76IGbITpnVG6qQ5v978wJhsBeRLGwD%2BWPNowSKXEet6GzQ5PEIHevt1D6mZXfSdQmzQ28vUObEh9v2th56LzniahYmdwarwtjdznNXWj0f865arq%2B2WjZNqQ%2FMlHwNBYl9qsJydT%2FOiTYz81r8sgwFbtunhkVOVjyOWHIHQJuavTFp%2FjjvnCnEKUPGGHo5ArAcET2cUs6quBFYKbMHpFhirzGitrs2HVH3lXKoG2uXimiTj2Hjnh50HbpBCiupol%2BbkzczR7P3RKrkw5QkKJo0VdRmjpKGL50OXVv14Y86FCAYGbU8sEghyZpZscLcbDM162UDrigl4RFXT0DKghvy%2FXWMT29UN4LTQOgYzJa48MuyyBfu5vXejQaFtQFYZ3199EvwPt3BVbCvtO8cabqJA%2F65gyWrhBdBWe74IHC9fvoXmUn6%2FTQRAQTnNtYQZkVjId58%2BFfciIzQVjIw2zSUm6SH4a0Xm&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,47.000,JUMBALAY,Nuevo  |  +25 vendidos,(22 disponibles),Nuevo  |  +25 vendidos,No disponible,#1510137344,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Pastas,nan
Ramen Nissin Carne 85 Gr. Caja 30 U. Fideos En 3 Minutos ,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oYvDEln2ADMgIQke%2F6XeCncNgNGlZwIs4v3EkiH2xCTzrzxUSxIlknkRbkYNCzIIQ45xmGhJlyJkd2fZiWQ%2FTBJkYTHFWcJDi7axdFA6YxgNP5Z%2BDODHrLVURk7i30MwWNXifFvy%2F%2F2zD8QtMjtmtESuzwWcYAHBlJdIhQ67Llnft2ACgHediwk%2Fr9DijwvUDlDuZje6MRj6%2FKyOZkGjATfrPMnhc0JJRT2BCEAzYAe%2FsTHrLrLJD78rxo%2F66W76EL4S4w8jn%2Bn5L8j%2BKndGZiwjbsK9GcoKeX80jjy77bi2JtMBC1ZXCRqcqMLaaFCxNGksdPkj%2FN0AtrfLginE3Jl3pupmPBfxlo9cUmdYoRMB1dfva14odblVo4Xd0Vc9OOX0v9dWwtgmVsyZHHcW8IgWgdJkAjs93fChZYvBiYvmAGV953kvAzZfjtUWK%2BX1cXTSJiOuAKtRMpxo0Ydw0fqayw%2FTAN1ziT%2B1fjoTffvaHCAHTMlokmbT4zPGpiwN7d6mLABwJLQVYRxebgKo3a16jUGofX0z1yV%2F%2BuE5BKgne%2BXH6rZeEpsoXjTVneohrb4AdZ%2FVZuXLn1hz%2BdlOzWruteMqjN8SHt3Oriunzhuk6nOSHavDBq2FaRwvokl%2BFRcrxAuUEBuHlOMcVtNkWUtsxSpQ2cJa8Rza87eMvgxXcdbiCBJy278g3gKKQt5GTs5kfkIlwQIw1cpLSSA%2B72B3&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,37.612,MERCADOGOURMET.ONLINE,Nuevo  |  +500 vendidos,No disponible,Nuevo  |  +500 vendidos,No disponible,#857642786,2024-02-02 11:54:33,Alimentos y Bebidas,Almacén,Alimentos Instantáneos,Fideos Instantáneos
