Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4
Fideos Tirabuzon Verizzia 500gr,https://articulo.mercadolibre.com.ar/MLA-1284845345-fideos-tirabuzon-verizzia-500gr-_JM#position=46&search_layout=stack&type=item&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,879,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(971 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284845345,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzón Lucchetti 500g,https://www.mercadolibre.com.ar/fideos-tirabuzon-lucchetti-500g/p/MLA20719337?pdp_filters=category:MLA1423#searchVariation=MLA20719337&position=6&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.068,TAP GROCERY,Nuevo  |  +10mil vendidos,(1123 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1286443752,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarín Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-tallarin-matarazzo-500g/p/MLA19937131?pdp_filters=category:MLA1423#searchVariation=MLA19937131&position=10&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.234,TAP GROCERY,Nuevo  |  +10mil vendidos,(201 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1272606932,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tirabuzon Matarazzo X500 Gr,https://www.mercadolibre.com.ar/fideos-tirabuzon-matarazzo-x500-gr/p/MLA19943667?pdp_filters=category:MLA1423#searchVariation=MLA19943667&position=3&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.150,TAP GROCERY,Nuevo  |  +10mil vendidos,(628 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1280821337,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos  Most.rayad. 500 Gr Sta.isabel,https://www.mercadolibre.com.ar/fideos-mostrayad-500-gr-staisabel/p/MLA21164899?pdp_filters=category:MLA1423#searchVariation=MLA21164899&position=2&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,910,ARTICULOS MOHE,Nuevo  |  +1000 vendidos,(52 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1395499445,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Terrabusi 3 Vegetales Fusilli 500gr,https://www.mercadolibre.com.ar/fideos-terrabusi-3-vegetales-fusilli-500gr/p/MLA28569927?pdp_filters=category:MLA1423#searchVariation=MLA28569927&position=4&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.199,TAP GROCERY,Nuevo  |  +500 vendidos,(120 disponibles),Nuevo  |  +500 vendidos,No disponible,#1660241072,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Sin Tacc De Arroz Tradicional Soyarroz X 300 Gr.,https://www.mercadolibre.com.ar/fideos-sin-tacc-de-arroz-tradicional-soyarroz-x-300-gr/p/MLA21807572?pdp_filters=category:MLA1423#searchVariation=MLA21807572&position=7&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,2.075,PURAVIDA STORE,Nuevo  |  +5mil vendidos,(86 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1372544783,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Fettuccini Don Vicente 500g,https://www.mercadolibre.com.ar/fideos-fettuccini-don-vicente-500g/p/MLA21089521?pdp_filters=category:MLA1423#searchVariation=MLA21089521&position=1&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.647,TAP GROCERY,Nuevo  |  +10mil vendidos,(427 disponibles),Nuevo  |  +10mil vendidos,OFERTA DEL DÍA,#1310565992,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Spaghetti Matarazzo 500g,https://www.mercadolibre.com.ar/fideos-spaghetti-matarazzo-500g/p/MLA19943735?pdp_filters=category:MLA1423#searchVariation=MLA19943735&position=13&search_layout=stack&type=product&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,1.220,ECOMODICO,Nuevo  |  +10mil vendidos,(540 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1580995776,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
Fideos Tallarin Verizzia 500 G,https://articulo.mercadolibre.com.ar/MLA-1284800195-fideos-tallarin-verizzia-500-g-_JM#position=47&search_layout=stack&type=item&tracking_id=2b57f7ef-f0bd-4053-a66d-1b5cf26e1bb1,879,GRUPO ELNENE,Nuevo  |  +10mil vendidos,(61 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1284800195,2024-02-26 10:55:09,Alimentos y Bebidas,Almacén,Pastas,nan
